order,value
1,41
2,153
3,32
4,16
5,32
6,489
7,18
8,105
9,62
10,45
11,70
12,201
13,198
14,159
15,13
16,649
17,111
18,471
19,374
20,0
21,444
22,372
23,63
24,769
25,102
26,538
27,645
28,13
29,78
30,211
31,70
32,141
33,111
34,10
35,148
36,247
37,296
38,53
39,276
40,107
41,432
42,134
43,150
44,2800
45,72
46,272
47,452
48,420
49,187
50,241
51,157
52,281
53,84
54,207
55,41
56,149
57,173
58,41
59,834
60,150
61,52
62,237
63,112
64,748
65,466
66,129
67,315
68,1674
69,479
70,197
71,56
72,129
73,336
74,90
75,75
76,520
77,63
78,27
79,292
80,727
81,68
82,292
83,1516
84,501
85,88
86,213
87,285
88,197
89,192
90,1412
91,20
92,24
93,445
94,246
95,110
96,29
97,215
98,80
99,238
100,120
101,43
102,131
103,181
104,140
105,4
106,501
107,889
108,248
109,285
110,3493
111,281
112,52
113,97
114,93
115,268
116,173
117,1501
118,194
119,307
120,46
121,1549
122,191
123,2387
124,197
125,3560
126,197
127,310
128,73
129,304
130,65
131,143
132,70
133,31
134,40
135,353
136,230
137,906
138,219
139,4629
140,223
141,0
142,51
143,254
144,899
145,108
146,427
147,234
148,121
149,62
150,44
151,268
152,111
153,839
154,180
155,137
156,187
157,49
158,824
159,59
160,1317
161,164
162,141
163,142
164,58
165,537
166,738
167,352
168,551
169,176
170,59
171,222
172,377
173,53
174,782
175,86
176,835
177,249
178,137
179,137
180,2644
181,125
182,50
183,1067
184,30
185,62
186,296
187,250
188,153
189,74
190,193
191,653
192,359
193,195
194,612
195,64
196,106
197,354
198,118
199,122
200,163
201,77
202,151
203,130
204,444
205,352
206,145
207,393
208,495
209,262
210,98
211,0
212,83
213,3
214,51
215,0
216,109
217,27
218,101
219,64
220,99
221,685
222,999
223,103
224,449
225,214
226,629
227,191
228,468
229,182
230,73
231,456
232,548
233,2035
234,118
235,68
236,500
237,526
238,289
239,260
240,333
241,156
242,756
243,123
244,223
245,120
246,117
247,205
248,135
249,155
250,170
251,326
252,237
253,1435
254,122
255,2200
256,240
257,243
258,123
259,155
260,589
261,1488
262,2108
263,134
264,190
265,79
266,84
267,82
268,161
269,43
270,98
271,149
272,316
273,499
274,541
275,154
276,458
277,131
278,1279
279,379
280,542
281,194
282,275
283,364
284,1665
285,132
286,68
287,367
288,189
289,83
290,74
291,361
292,123
293,75
294,403
295,150
296,234
297,263
298,52
299,177
300,325
301,1286
302,428
303,3482
304,152
305,579
306,109
307,1091
308,1226
309,70
310,157
311,173
312,369
313,1087
314,137
315,169
316,28
317,92
318,364
319,224
320,51
321,697
322,171
323,52
324,73
325,52
326,73
327,236
328,202
329,35
330,10
331,92
332,148
333,193
334,94
335,958
336,282
337,991
338,1662
339,234
340,282
341,59
342,65
343,189
344,86
345,230
346,344
347,148
348,304
349,121
350,463
351,259
352,301
353,93
354,310
355,62
356,393
357,165
358,696
359,578
360,6150
361,87
362,74
363,86
364,236
365,400
366,62
367,164
368,554
369,973
370,112
371,348
372,187
373,331
374,50
375,34
376,68
377,197
378,183
379,188
380,120
381,925
382,481
383,114
384,265
385,72
386,274
387,29
388,88
389,93
390,42
391,104
392,53
393,76
394,367
395,239
396,76
397,111
398,174
399,210
400,96
401,127
402,210
403,862
404,256
405,283
406,69
407,421
408,124
409,0
410,302
411,61
412,218
413,539
414,209
415,473
416,51
417,56
418,46
419,311
420,1136
421,73
422,654
423,337
424,205
425,44
426,501
427,62
428,241
429,139
430,914
431,83
432,664
433,240
434,134
435,271
436,0
437,637
438,87
439,318
440,254
441,60
442,137
443,136
444,645
445,215
446,277
447,80
448,76
449,167
450,112
451,91
452,127
453,50
454,243
455,182
456,244
457,387
458,86
459,117
460,291
461,195
462,1201
463,60
464,351
465,116
466,610
467,98
468,251
469,189
470,247
471,1966
472,375
473,162
474,130
475,1
476,4158
477,256
478,142
479,163
480,185
481,126
482,123
483,143
484,356
485,436
486,78
487,274
488,73
489,205
490,86
491,187
492,143
493,401
494,387
495,1649
496,83
497,1248
498,161
499,326
