order,value
1,618944
2,649862
3,304306
4,620786
5,172016
6,225937
7,389008
8,563283
9,245567
10,415684
11,586821
12,607261
13,659304
14,180422
15,204294
16,274735
17,344369
18,466099
19,525849
20,642464
21,644563
22,182728
23,203960
24,290350
25,339222
26,485615
27,568960
28,624010
29,494268
30,649239
31,536563
32,656010
33,307924
34,497641
35,622578
36,648571
37,223798
38,384903
39,560514
40,248024
41,419922
42,588887
43,605320
44,659736
45,179536
46,206163
47,271568
48,348124
49,462609
50,522618
51,643516
52,643730
53,183655
54,202448
55,293764
56,335416
57,489290
58,227071
59,397398
60,446137
61,539727
62,566279
63,625874
64,655429
65,177315
66,252159
67,594794
68,174302
69,257525
70,444475
71,565338
72,592179
73,657405
74,172131
75,223437
76,388347
77,488344
78,621920
79,655513
80,184141
81,191848
82,300241
83,642607
84,644319
85,337220
86,525265
87,535023
88,311610
89,500977
90,624337
91,647844
92,221667
93,380741
94,557678
95,250537
96,424162
97,590934
98,603372
99,660161
100,178723
101,208043
102,268476
103,351942
104,459094
105,542836
106,519331
107,642379
108,644964
109,184667
110,200938
111,297163
112,331601
113,492908
114,563541
115,225212
116,393346
117,627669
118,654775
119,177340
120,255268
121,450212
122,597004
123,172292
124,173898
125,254718
126,286765
127,440894
128,590053
129,657262
130,183047
131,225610
132,392426
133,484981
134,620036
135,656124
136,193604
137,643757
138,341023
139,347686
140,528322
141,531768
142,643353
143,179931
144,201986
145,486993
146,231419
147,392574
148,566217
149,623958
150,657746
151,177014
152,257328
153,443683
154,606846
155,657793
156,185715
157,249241
158,423749
159,587870
160,243882
161,417916
162,448982
163,567863
164,588513
165,604635
166,658149
167,263334
168,296653
169,315348
170,504266
171,626058
172,647081
173,219527
174,376528
175,554753
176,253073
177,428392
178,592935
179,601396
180,660529
181,178019
182,209949
183,265446
184,355804
185,455552
186,545912
187,290331
188,401611
189,515978
190,641168
191,646129
192,185747
193,199458
194,300579
195,327764
196,389268
197,496448
198,223371
199,560761
200,629386
201,654040
202,177399
203,258362
204,454179
205,599165
206,173548
207,251994
208,437272
209,587886
210,657049
211,172526
212,227830
213,396579
214,481588
215,570357
216,618121
217,656641
218,182010
219,195452
220,293073
221,644864
222,343988
223,344864
224,528507
225,531381
226,642382
227,181039
228,200307
229,490674
230,229510
231,388644
232,563277
233,625778
234,657222
235,177214
236,260250
237,447958
238,609482
239,657679
240,185632
241,246743
242,420196
243,585472
244,246309
245,422272
246,445157
247,591097
248,602373
249,658187
250,186377
251,237809
252,260464
253,405832
254,269710
255,459096
256,578713
257,609798
258,658748
259,183114
260,382536
261,563440
262,617214
263,661021
264,183838
265,207265
266,287956
267,319092
268,477423
269,507500
270,627717
271,646293
272,172862
273,217425
274,255660
275,345848
276,372311
277,507081
278,548384
279,551766
280,634374
281,651960
282,193888
283,293908
284,319397
285,432606
286,594893
287,599392
288,660837
289,177326
290,211896
291,262464
292,359675
293,452009
294,548931
295,647252
296,512587
297,639868
298,186879
299,197979
300,304007
301,323870
302,499917
303,219774
304,221576
305,385137
306,557918
307,631061
308,653210
309,177502
310,261478
311,458083
312,601291
313,173255
314,249317
315,433587
316,585665
317,656763
318,197412
319,230140
320,400830
321,572827
322,616191
323,657081
324,181065
325,289555
326,645889
327,340315
328,348724
329,525225
330,534438
331,641380
332,182159
333,198753
334,494316
335,227668
336,384754
337,560324
338,627573
339,656668
340,177525
341,263296
342,452180
343,612082
344,657540
345,185593
346,244310
347,416668
348,583020
349,248781
350,426633
351,441296
352,593600
353,600048
354,658159
355,186134
356,239874
357,257672
358,409978
359,266728
360,297520
361,386832
362,455281
363,581296
364,607557
365,658826
366,182698
367,183083
368,221959
369,566217
370,615321
371,661626
372,208759
373,284686
374,322836
375,474008
376,510680
377,629325
378,645451
379,173287
380,215351
381,258292
382,349845
383,368113
384,503669
385,548749
386,551435
387,632694
388,652974
389,191721
390,192689
391,315755
392,319270
393,436794
394,596802
395,597383
396,661073
397,176684
398,213853
399,259543
400,352280
401,363584
402,448449
403,478166
404,518760
405,537034
406,551884
407,638315
408,647657
409,182678
410,209187
411,289572
412,481813
413,509152
414,621086
415,638501
416,648322
417,176137
418,188061
419,196517
420,224339
421,307470
422,319954
423,381021
424,391598
425,503324
426,566648
427,656732
428,219813
429,263668
430,450344
431,555001
432,602246
433,632683
434,652274
435,658531
436,177666
437,179787
438,247186
439,264639
440,426801
441,461874
442,589413
443,603370
444,172997
445,246768
446,429822
447,583384
448,656414
449,232600
450,405141
451,474733
452,575302
453,614251
454,657457
455,180161
456,199454
457,286102
458,352639
459,640343
460,646834
461,336631
462,521939
463,537471
464,183286
465,197275
466,301142
467,497953
468,225862
469,557331
470,629342
471,656105
472,177911
473,241941
474,266464
475,413149
476,456352
477,614640
478,657359
479,580534
480,251312
481,430957
482,437384
483,596059
484,597650
485,658080
486,185962
487,242016
488,254929
489,414045
490,182370
491,263795
492,451431
493,583837
494,605256
495,224250
496,568970
497,613408
498,662161
499,182447
500,210321
501,281537
502,326625
503,391202
504,470575
505,513797
506,554455
507,630882
508,644540
509,173822
510,213305
511,260943
512,353880
513,363918
514,380908
515,500259
516,545689
517,630984
518,653940
519,185569
520,191470
521,193247
522,312118
523,323045
524,440910
525,595380
526,598672
527,661218
528,176039
529,215870
530,256704
531,348278
532,367454
533,522199
534,533898
535,554758
536,639718
537,646397
538,183582
539,195046
540,292761
541,485717
542,505710
543,622905
544,637067
545,649365
546,176490
547,189283
548,222094
549,310968
550,316036
551,387517
552,506673
553,563944
554,655975
555,658797
556,177860
557,218060
558,266324
559,376884
560,454422
561,552041
562,604364
563,605385
564,634233
565,651253
566,658240
567,179787
568,244653
569,422957
570,586781
571,172823
572,244293
573,426003
574,581059
575,585805
576,602753
577,656011
578,660546
579,185785
580,232144
581,235164
582,245527
583,261015
584,396852
585,409531
586,444865
587,448039
588,471292
589,573804
590,577777
591,612331
592,657747
593,179286
594,201585
595,207387
596,221006
597,275654
598,282761
599,356592
600,465035
601,619425
602,647724
603,657938
604,185975
605,332918
606,375235
607,518652
608,540474
609,560878
610,639298
611,655233
612,184445
613,185713
614,195823
615,211736
616,291609
617,304790
618,485110
619,501547
620,623842
621,224091
622,351342
623,554317
624,631096
625,655518
626,178416
627,267893
628,269706
629,460481
630,465593
631,617144
632,657135
633,185599
634,239627
635,409623
636,577995
637,253939
638,433423
639,435215
640,595225
641,598493
642,657950
643,185856
644,244229
645,252304
646,377097
647,418076
648,658677
649,182149
650,260965
651,395611
652,447595
653,586324
654,602933
655,226572
656,571704
657,611472
658,662594
659,181919
660,211977
661,278484
662,330410
663,467124
664,516876
665,557472
666,632405
667,643560
668,174439
669,211363
670,263635
671,357980
672,359736
673,496850
674,542605
675,629238
676,654857
677,190279
678,194802
679,308495
680,326778
681,420884
682,441230
683,444989
684,593366
685,600522
686,661308
687,175389
688,205639
689,217936
