order,value
1,5545
2,4516
3,4767
4,5026
5,4918
6,5181
7,5584
8,6015
9,5791
10,4770
11,3539
12,2784
13,2361
14,1529
15,963
16,506
17,321
18,273
19,367
20,814
21,2718
22,5673
23,6511
24,5471
25,5097
26,4887
27,5337
28,5692
29,6137
30,4623
31,3591
32,2898
33,2637
34,1777
35,1015
36,598
37,369
38,312
39,367
40,835
41,2726
42,5689
43,6990
44,5985
45,5309
46,4603
47,4884
48,5104
49,5178
50,5501
51,5713
52,6292
53,6057
54,4907
55,3503
56,3037
57,2822
58,1992
59,1166
60,627
61,388
62,368
63,2489
64,5537
65,6628
66,5534
67,5403
68,4770
69,5217
70,5870
71,5967
72,6108
73,6128
74,6069
75,6169
76,5384
77,4063
78,3364
79,2971
80,2450
81,1832
82,1231
83,718
84,545
85,411
86,688
87,1352
88,2072
89,3342
90,4258
91,4861
92,5191
93,5669
94,5074
95,5025
96,5153
97,5024
98,4779
99,4362
100,3860
101,3160
102,2992
103,3202
104,1941
105,1233
106,323
107,312
108,627
109,1508
110,1539
111,2232
112,4568
113,4624
114,4529
115,5139
116,6640
117,6589
118,4429
119,4329
120,3833
121,4015
122,3382
123,2815
124,2110
125,1555
126,959
127,455
128,336
129,265
130,314
131,779
132,2571
133,5563
134,6676
135,5966
136,4832
137,4395
138,4411
139,4648
140,4602
141,5125
142,5502
143,5979
144,5663
145,4259
146,3069
147,2378
148,2030
149,1400
150,917
151,515
152,302
153,251
154,798
155,2678
156,5733
157,6449
158,5765
159,5599
160,4534
161,4691
162,5067
163,5030
164,5300
165,5777
166,6349
167,6127
168,4460
169,3418
170,2775
171,2306
172,1846
173,947
174,494
175,332
176,261
177,361
178,5875
179,6793
180,6793
181,6283
182,6283
183,5680
184,5680
185,4632
186,4887
187,5030
188,5067
189,5227
190,5610
191,6286
192,4775
193,3340
194,3013
195,2603
196,1910
197,1037
198,347
199,350
200,850
201,2791
202,5809
203,6798
204,6304
205,5291
206,4638
207,5557
208,5818
209,6272
210,5944
211,4949
212,3511
213,3039
214,2679
215,2094
216,1284
217,630
218,410
219,331
220,372
221,739
222,2561
223,5586
224,6992
225,5860
226,5230
227,4864
228,5146
229,5526
230,5383
231,5758
232,5889
233,6057
234,6028
235,5257
236,1897
237,1335
238,769
239,570
240,413
241,399
242,740
243,1420
244,2220
245,3479
246,4546
247,4579
248,4438
249,4623
250,4440
251,4495
252,4483
253,4591
254,4477
255,4221
256,3672
257,3015
258,2769
259,2875
260,1931
261,1309
262,870
263,654
264,364
265,262
266,505
267,861
268,1132
269,1797
270,2685
271,2685
272,2685
273,3370
274,3370
275,3662
276,3662
277,4076
278,4076
279,4076
280,4128
281,4128
282,4128
283,4358
284,4358
285,4358
286,4342
287,4342
288,4234
289,4271
290,4271
291,4080
292,3453
293,2718
294,2439
295,1819
296,1002
297,1002
298,542
299,542
300,303
301,239
302,335
303,335
304,810
305,810
306,2606
307,2606
308,5714
309,6798
310,6114
311,5094
312,4473
313,4529
314,4823
315,4872
316,5238
317,5584
318,6246
319,5957
320,4535
321,3234
322,2677
323,2077
324,1380
325,927
326,500
327,324
328,257
329,354
330,769
331,2769
332,5789
333,7055
334,6408
335,5254
336,4547
337,4784
338,5015
339,5057
340,5430
341,5813
342,6496
343,6429
344,5142
345,3311
346,2777
347,2331
348,1767
349,1093
350,554
351,333
352,267
353,358
354,777
355,2732
356,5637
357,5564
358,6274
359,5403
360,5403
361,4680
362,4642
363,4979
364,4851
365,4291
366,4714
367,6723
368,6180
369,4843
370,3435
371,2921
372,2763
373,1930
374,1160
375,654
376,374
377,301
378,397
379,794
380,2564
381,5358
382,6441
383,5536
384,5256
385,4619
386,5107
387,5147
388,5283
389,5704
390,5887
391,6307
392,5953
393,4519
394,3427
395,2921
396,2649
397,2005
398,1177
399,699
400,436
401,353
402,353
403,399
404,720
405,720
406,720
407,720
408,2370
409,2370
410,5162
411,5162
412,5162
413,5777
414,5777
415,5235
416,5235
417,5235
418,4606
419,4606
420,4328
421,4282
422,4489
423,4908
424,5620
425,5849
426,5849
427,4945
428,4619
429,4479
430,3804
431,2908
432,2942
433,3077
434,3077
435,2051
436,2051
437,2051
438,1270
439,1270
440,773
441,773
442,589
443,432
444,432
445,401
446,401
447,401
448,759
449,759
450,759
451,1313
452,1313
453,1313
