order,value
1,770
2,961
3,908
4,900
5,935
6,980
7,1056
8,1085
9,1090
10,1085
11,1084
12,1035
13,1050
14,1130
15,1110
16,1060
17,1088
18,1090
19,1090
20,1174
21,1210
22,1200
23,1260
24,1297
25,1310
26,1310
27,1282
28,1240
29,1240
30,1220
31,1180
32,1170
33,1080
34,1040
35,1045
36,1051
37,1023
38,990
39,780
40,800
41,875
42,849
43,860
44,830
45,847
46,840
47,843
48,826
49,851
50,811
51,820
52,798
53,792
54,715
55,685
56,695
57,695
58,747
59,779
60,758
61,740
62,725
63,730
64,713
65,740
66,743
67,738
68,710
69,701
70,666
71,625
72,590
73,599
74,640
75,585
76,575
77,548
78,522
79,520
80,502
81,480
82,501
83,495
84,520
85,620
86,580
87,599
88,610
89,605
90,600
91,591
92,590
93,602
94,622
95,612
96,646
97,644
98,640
99,640
100,665
101,670
102,672
103,720
104,740
105,742
106,764
107,774
108,750
109,760
110,761
111,775
112,780
113,812
114,790
115,800
116,800
117,775
118,875
119,888
120,884
121,850
122,901
123,869
124,850
125,840
126,795
127,760
128,745
129,700
130,668
131,608
132,606
133,597
134,599
135,595
136,605
137,620
138,633
139,620
140,644
141,619
142,574
143,562
144,558
145,525
146,500
147,495
148,461
149,470
150,440
151,400
152,459
153,470
154,545
155,578
156,540
157,520
158,495
159,490
160,485
161,477
162,475
163,530
164,557
165,575
166,590
167,580
168,565
169,570
170,568
171,574
172,595
173,600
174,580
175,573
176,590
177,595
178,600
179,600
180,571
181,575
182,574
183,582
184,561
185,585
186,577
187,575
188,565
189,563
190,575
191,597
192,596
193,580
194,590
195,585
196,579
197,584
198,585
199,540
200,520
201,545
202,480
203,471
204,470
205,445
206,445
207,449
208,436
209,431
210,411
211,432
212,432
213,429
214,412
215,409
216,377
217,359
218,391
219,390
220,374
221,405
222,404
223,415
224,425
225,400
226,400
227,375
228,372
229,357
230,369
231,360
232,360
233,344
234,340
235,348
236,346
237,340
238,342
239,325
240,325
241,327
242,300
243,285
244,286
245,284
246,276
247,251
248,257
249,260
250,262
251,265
252,271
253,276
254,270
255,281
256,279
257,290
258,293
259,329
260,309
261,313
262,324
263,308
264,308
265,314
266,305
267,316
268,323
269,328
270,337
271,333
272,380
273,395
274,343
275,340
276,369
277,360
278,360
279,375
280,377
281,356
282,361
283,365
284,365
285,367
286,379
287,394
288,378
289,387
290,390
291,385
292,373
293,373
294,378
295,386
296,369
297,367
298,371
299,369
300,351
301,346
302,335
303,349
304,349
305,352
306,345
307,347
308,335
309,312
310,310
311,318
312,306
313,307
314,302
315,302
316,311
317,310
318,313
319,325
320,309
321,320
322,325
323,318
324,328
325,325
326,313
327,315
328,326
329,346
330,353
331,375
332,372
333,383
334,378
335,402
336,384
337,380
338,373
339,385
340,390
341,393
342,402
343,393
344,377
345,395
346,408
347,414
348,409
349,419
350,415
351,401
352,412
353,425
354,466
355,539
356,529
357,529
358,540
359,560
360,554
361,613
362,588
363,590
364,593
365,625
366,664
367,636
368,602
369,629
370,632
371,620
372,690
373,684
374,680
375,668
376,605
377,635
378,612
379,623
380,629
381,610
382,606
383,619
384,619
385,622
386,640
387,607
388,614
389,590
390,591
391,545
392,515
393,506
394,498
395,510
396,515
397,533
398,548
399,535
400,549
401,564
402,559
403,564
404,566
405,570
406,567
407,560
408,554
409,557
410,599
411,604
412,600
413,589
414,556
415,544
416,551
417,540
418,554
419,560
420,545
421,545
422,539
423,538
424,531
425,531
426,532
427,544
428,559
429,590
430,569
431,568
432,536
433,533
434,550
435,554
436,569
437,545
438,549
439,548
440,534
441,537
442,552
443,547
444,536
445,539
446,544
447,534
448,533
449,530
450,528
451,521
452,527
453,520
454,518
455,519
456,529
457,538
458,540
459,555
460,555
461,559
462,547
463,539
464,532
465,521
466,520
467,505
468,510
469,512
470,497
471,485
472,493
473,525
474,525
475,538
476,527
477,531
478,539
479,545
480,548
481,530
482,535
483,531
484,539
485,551
486,549
487,550
488,539
489,533
490,544
491,558
492,569
493,571
494,572
495,562
496,570
497,563
498,565
499,562
500,569
501,556
502,555
503,554
504,543
505,549
506,544
507,545
508,562
509,555
510,555
511,556
512,561
513,481
514,607
515,599
516,594
517,622
518,622
519,635
520,642
521,649
522,654
523,634
524,624
525,615
526,608
527,599
528,595
529,574
530,596
531,619
532,626
533,645
534,615
535,645
536,648
537,644
538,643
539,640
540,640
541,645
542,682
543,650
544,667
545,641
546,641
547,642
548,667
549,673
550,690
551,706
552,719
553,724
554,732
555,719
556,715
557,700
558,705
559,703
560,722
561,717
562,711
563,724
564,732
565,724
566,740
567,748
568,780
569,790
570,795
571,758
572,756
573,742
574,744
575,741
576,750
577,750
578,761
579,749
580,740
581,745
582,759
583,777
584,742
585,788
586,768
587,735
588,740
589,745
590,740
591,733
592,700
593,699
594,675
595,665
596,693
597,707
598,733
599,741
600,711
601,702
602,680
603,663
604,641
605,683
606,670
607,650
608,669
609,676
610,676
611,688
612,679
613,675
614,688
615,675
616,663
617,665
618,666
619,692
620,690
621,693
622,710
623,707
624,711
625,716
626,717
627,710
628,725
629,707
630,706
631,718
632,705
633,735
634,727
635,716
636,702
637,724
638,726
639,725
640,725
641,741
642,758
643,752
644,749
645,750
646,749
647,735
648,737
649,730
650,732
651,733
652,722
653,723
654,724
655,727
656,744
657,746
658,758
659,775
660,781
661,791
662,818
663,787
664,801
665,805
666,795
667,790
668,793
669,796
670,802
671,816
672,800
673,795
674,798
675,775
676,765
677,778
678,787
679,767
680,771
681,800
682,771
683,793
684,762
685,790
686,804
687,805
688,791
689,830
690,847
691,845
692,170
693,166
694,164
695,168
696,173
697,167
698,170
699,169
700,169
701,172
702,183
703,182
704,183
705,181
706,177
707,174
708,165
709,162
710,160
711,164
712,166
713,175
714,172
715,165
716,162
717,161
718,155
719,154
720,156
721,155
722,161
723,163
724,162
725,162
726,161
727,154
728,152
729,153
730,150
731,148
732,148
733,146
734,147
735,145
736,141
737,142
738,141
739,151
740,155
741,151
742,148
743,147
744,145
745,142
746,138
747,146
748,148
749,152
750,148
751,145
752,145
753,150
754,150
755,146
756,145
757,144
758,141
759,142
760,142
761,145
762,146
763,150
764,159
765,155
766,148
767,142
768,142
769,140
770,142
771,140
772,138
773,140
774,138
775,140
776,140
777,143
778,140
779,138
780,140
781,139
782,140
783,137
784,139
785,136
786,136
787,131
788,129
789,130
