order,value
1,75
2,74
3,75
4,66
5,72
6,68
7,68
8,48
9,61
10,57
11,62
12,61
13,57
14,70
15,31
16,16
17,18
18,61
19,77
20,12
21,72
22,81
23,75
24,70
25,55
26,22
27,53
28,24
29,35
30,33
31,0
32,22
33,0
34,0
35,0
36,3
37,33
38,20
39,24
40,27
41,70
42,62
43,68
44,70
45,75
46,77
47,64
48,12
49,55
50,40
51,46
52,40
53,46
54,42
55,35
56,40
57,33
58,31
59,35
60,31
61,24
62,0
63,27
64,49
65,57
66,27
67,5
68,22
69,42
70,53
71,7
72,7
73,9
74,11
75,11
76,11
77,11
78,11
79,11
80,18
81,0
82,14
83,12
84,14
85,0
86,0
87,0
88,3
89,11
90,9
91,0
92,5
93,0
94,1
95,3
96,0
97,7
98,0
99,3
100,0
101,0
102,0
103,7
104,7
105,0
106,5
107,38
108,11
109,9
110,12
111,9
112,9
113,9
114,9
115,9
116,46
117,38
118,12
119,48
120,37
121,44
122,25
123,35
124,42
125,46
126,40
127,44
128,44
129,24
130,31
131,29
132,44
133,38
134,16
135,37
136,40
137,3
138,7
139,1
140,0
141,14
142,33
143,49
144,57
145,61
146,46
147,70
148,66
149,68
150,42
151,66
152,77
153,70
154,75
155,72
156,49
157,49
158,7
159,0
160,3
161,1
162,0
163,12
164,14
165,38
166,46
167,18
168,38
169,46
170,16
171,12
172,33
173,40
174,38
175,46
176,44
177,37
178,11
179,9
180,37
181,46
182,35
183,40
184,38
185,0
186,29
187,37
188,14
189,18
190,42
191,20
192,24
193,33
194,14
195,7
196,0
197,27
198,0
199,29
200,0
201,27
202,5
203,29
204,38
205,44
206,16
207,20
208,37
209,25
210,53
211,35
212,53
213,46
214,24
215,48
216,14
217,49
218,25
219,0
220,3
221,29
222,40
223,37
224,55
225,35
226,61
227,64
228,59
229,1
230,46
231,57
232,64
233,0
234,9
235,29
236,25
237,44
238,35
239,29
240,38
241,33
242,27
243,42
244,49
245,48
246,51
247,18
248,61
249,57
250,48
251,55
252,55
253,57
254,62
255,57
256,57
257,64
258,57
259,59
260,24
261,59
262,66
263,62
264,53
265,53
266,53
267,31
268,42
269,24
270,22
271,18
272,0
273,0
274,0
275,3
276,9
277,0
278,0
279,3
280,3
281,3
282,1
283,11
284,3
285,3
286,1
287,1
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,3
297,1
298,3
299,3
300,1
301,1
302,5
303,7
304,22
305,11
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,31
324,42
325,35
326,44
327,51
328,59
329,55
330,57
331,61
332,55
333,57
334,59
335,53
336,62
337,61
338,66
339,61
340,57
341,51
342,61
343,38
344,1
345,1
346,3
347,35
348,42
349,53
350,31
351,9
352,38
353,44
354,49
355,44
356,0
357,25
358,20
359,29
360,5
361,37
362,27
363,16
364,0
365,14
366,48
367,55
368,55
369,66
370,53
371,64
372,61
373,31
374,42
375,53
376,53
377,55
378,31
379,46
380,53
381,38
382,61
383,11
384,24
385,14
386,0
387,11
388,0
389,31
390,0
391,7
392,44
393,59
394,49
395,42
396,55
397,55
398,33
399,37
400,77
401,70
402,75
403,57
404,59
405,61
406,59
407,53
408,25
409,53
410,55
411,48
412,5
413,35
414,46
415,16
416,46
417,68
418,61
419,12
420,49
421,59
422,62
423,61
424,77
425,57
426,9
427,5
428,9
429,9
430,35
431,57
432,57
433,7
434,33
435,59
436,55
437,53
438,48
439,27
440,31
441,64
442,70
443,16
444,51
445,38
446,37
447,29
448,51
449,35
450,40
451,51
452,37
453,48
454,33
455,14
456,9
457,62
458,18
459,35
460,29
461,0
462,0
463,0
464,0
465,16
466,35
467,40
468,18
469,25
470,46
471,24
472,24
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,7
488,0
489,1
490,48
491,9
492,5
493,5
494,0
495,0
496,9
497,40
498,42
499,33
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,1
519,9
520,0
521,0
522,3
523,33
524,29
525,46
526,0
527,0
528,3
529,0
530,0
531,0
532,0
533,0
534,0
535,3
536,12
537,0
538,0
539,0
540,0
541,1
542,0
543,1
544,1
545,0
546,3
547,0
548,0
549,1
550,5
551,0
552,0
553,3
554,0
555,0
556,0
557,0
558,9
559,14
560,9
561,7
562,11
563,0
564,0
565,1
566,0
567,0
568,1
569,7
570,11
571,16
572,11
573,0
574,9
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,1
586,1
587,0
588,0
589,5
590,11
591,33
592,38
593,48
594,40
595,25
596,51
597,38
598,14
599,38
600,27
601,12
602,0
603,0
604,7
605,1
606,27
607,46
608,64
609,66
610,77
611,77
612,70
613,77
614,83
615,83
616,81
617,66
618,72
619,55
620,72
621,74
622,79
623,48
624,74
625,61
626,83
627,86
628,85
629,92
630,75
631,81
632,81
633,79
634,86
635,83
636,81
637,62
638,74
639,77
640,79
641,86
642,77
643,66
644,16
645,0
646,0
647,0
648,1
649,3
650,1
651,0
652,0
653,1
654,3
655,0
656,0
657,0
658,0
659,22
660,48
661,48
662,51
663,7
664,27
665,53
666,51
667,57
668,66
669,38
670,55
671,57
672,53
673,53
674,18
675,48
676,49
677,59
678,53
679,57
680,61
681,51
682,64
683,9
684,44
685,51
686,46
687,42
688,66
689,57
690,49
691,59
692,64
693,42
694,51
695,55
696,46
697,51
698,40
699,53
700,35
701,48
702,20
703,33
704,33
705,35
706,24
707,1
708,35
709,40
710,35
711,29
712,51
713,44
714,44
715,0
716,20
717,40
718,48
719,61
720,57
721,16
722,0
723,0
724,57
725,16
726,51
727,68
728,62
729,62
730,61
731,44
732,46
733,49
734,53
735,38
736,0
737,35
738,46
739,48
740,40
741,46
742,38
743,24
744,61
745,59
746,62
747,38
748,44
749,53
750,5
751,5
752,5
753,31
754,18
755,24
756,46
757,66
758,49
759,38
760,20
761,1
762,24
763,24
764,53
765,37
766,44
767,18
768,5
769,3
770,1
771,40
772,40
773,57
774,64
775,59
776,70
777,68
778,59
779,29
780,62
781,61
782,0
783,27
784,53
785,44
786,46
787,12
788,37
789,61
790,37
791,18
792,27
793,11
794,22
795,12
796,0
797,0
798,0
799,0
800,7
801,0
802,0
803,3
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,3
812,0
813,0
814,3
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,3
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,9
842,9
843,0
844,5
845,5
846,11
847,0
848,0
849,0
850,0
851,0
852,0
853,16
854,22
855,44
856,24
857,37
858,31
859,46
860,20
861,5
862,0
863,0
864,5
865,29
866,44
867,53
868,38
869,25
870,77
871,57
872,61
873,62
874,75
875,74
876,77
877,66
878,55
879,46
880,68
881,48
882,24
883,42
884,53
885,44
886,72
887,62
888,9
889,38
890,55
891,11
892,70
893,62
894,64
895,27
896,77
897,59
898,59
899,59
900,48
901,57
902,68
903,61
904,48
905,59
906,72
907,75
908,68
909,0
910,20
911,62
912,0
913,62
914,70
915,64
916,74
917,53
918,61
919,68
920,66
921,57
922,59
923,48
924,51
925,66
926,64
927,64
928,62
929,59
930,55
931,74
