order,value
1,35
2,18
3,-26
4,47
5,36
6,33
7,39
8,17
9,17
10,33
11,17
12,17
13,17
14,61
15,44
16,43
17,38
18,18
19,17
20,65
21,33
22,44
23,35
24,63
25,38
26,62
27,38
28,63
29,35
30,35
31,44
32,17
33,38
34,45
35,60
36,35
37,35
38,34
39,38
40,59
41,33
42,33
43,33
44,19
45,19
46,52
47,19
48,38
49,47
50,38
51,54
52,17
53,19
54,37
55,-27
56,61
57,-27
58,61
59,38
60,38
61,19
62,51
63,37
64,35
65,38
66,17
67,38
68,36
69,38
70,34
71,36
72,38
73,37
74,38
75,33
76,38
77,38
78,38
79,46
80,35
81,33
82,35
83,18
84,35
85,17
86,38
87,-27
88,64
89,51
90,38
91,5
92,36
93,-7
94,19
95,62
96,37
97,62
98,38
99,46
100,63
101,61
102,38
103,33
104,33
105,63
106,38
107,36
108,17
109,59
110,17
111,37
112,19
113,38
114,38
115,-9
116,0
117,44
118,64
119,-5
120,63
121,19
122,46
123,35
124,36
125,47
126,-29
127,31
128,46
129,17
130,19
131,2
132,38
133,19
134,38
135,52
136,52
137,38
138,38
139,19
140,19
141,38
142,45
143,44
144,27
145,46
146,38
147,36
148,18
149,33
150,38
151,19
152,33
153,62
154,33
155,38
156,38
157,33
158,37
159,46
160,35
161,51
162,37
163,38
164,37
165,33
166,37
167,33
168,19
169,52
170,52
171,36
172,19
173,-7
174,37
175,17
176,33
177,44
178,38
179,63
180,19
181,37
182,19
183,46
184,37
185,37
186,38
187,34
188,19
189,37
190,39
191,37
192,38
193,33
194,-7
195,43
196,38
197,37
198,38
199,19
200,51
201,44
202,38
203,17
204,44
205,41
206,61
207,38
208,19
209,38
210,34
211,34
212,34
213,62
214,-57
215,52
216,38
217,38
218,60
219,19
220,38
221,19
222,61
223,45
224,60
225,32
226,46
227,34
228,33
229,38
230,37
231,37
232,61
233,34
234,34
235,37
236,36
237,37
238,38
239,63
240,33
241,37
242,39
243,35
244,46
245,35
246,61
247,33
248,38
249,33
250,37
251,19
252,17
253,49
254,-8
255,63
256,19
257,52
258,52
259,19
260,38
261,39
262,17
263,49
264,38
265,62
266,35
267,35
268,38
269,38
270,38
271,38
272,33
273,36
274,38
275,38
276,38
277,52
278,48
279,38
280,39
281,18
282,38
283,38
284,19
285,42
286,33
287,63
288,19
289,36
290,36
291,33
292,33
293,65
294,33
295,-6
296,51
297,38
298,37
299,64
300,45
301,67
302,38
303,38
304,19
305,62
306,61
307,60
308,-22
309,60
310,31
311,36
312,38
313,38
314,33
315,38
316,33
317,34
318,38
319,38
320,38
321,60
322,17
323,38
324,38
325,38
326,-32
327,62
328,-25
329,38
330,38
331,38
332,31
333,38
334,35
335,38
336,38
337,38
338,38
339,38
