Timestamp,Value
0,0
5,4
7,0
9,0
16,0
23,0
29,0
37,0
38,0
39,0
46,0
53,2
57,0
62,0
71,0
72,2
76,2
84,8
88,8
96,6
105,6
109,6
114,6
122,0
127,2
134,2
135,2
138,8
141,6
146,8
150,0
157,1
166,248
175,8
180,2
189,0
190,5
205,4
207,3073
208,2049
209,2052
213,2053
217,2052
224,2050
232,2048
233,2
235,3
239,3
241,2
246,1
257,0
258,2049
267,2050
275,2050
278,2050
280,0
288,1
296,1
303,2049
309,2050
314,2050
318,2048
324,2
331,4
332,4
336,2
344,2048
346,2051
351,2052
353,2051
359,2048
362,2
367,2
374,1
375,2048
380,2050
387,2050
393,2049
402,1
403,2
405,2
413,0
415,2050
422,2051
427,2051
440,2050
441,1
448,3
452,4
456,4
459,2
467,0
468,2050
479,2052
487,2052
488,2051
494,2049
495,1
502,3
510,3
