Order,Value
1,3073
2,2049
3,2052
4,2053
5,2052
6,2050
7,2048
8,2049
9,2050
10,2050
11,2050
12,2049
13,2050
14,2050
15,2048
16,2048
17,2051
18,2052
19,2051
20,2048
21,2048
22,2050
23,2050
24,2049
25,2050
26,2051
27,2051
28,2050
29,2050
30,2052
31,2052
32,2051
33,2049
34,248
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,2
47,0
48,0
49,0
50,2
51,2
52,8
53,8
54,6
55,6
56,6
57,6
58,0
59,2
60,2
61,2
62,8
63,6
64,8
65,0
66,8
67,2
68,4
69,5
70,4
71,1
72,2
73,3
74,3
75,2
76,1
77,0
78,0
79,1
80,1
81,2
82,4
83,4
84,2
85,2
86,2
87,1
88,1
89,2
90,2
91,0
92,1
93,3
94,4
95,4
96,2
97,0
98,1
99,3
100,3
