Order,Value
1,3
2,3
3,1
4,0
5,2
6,4
7,4
8,3
9,1
10,0
11,2
12,2
13,1
14,1
15,2
16,2
17,2
18,4
19,4
20,2
21,1
22,1
23,0
24,0
25,1
26,2
27,3
28,3
29,2
30,1
31,4
32,5
33,4
34,2
35,8
36,248
37,0
38,8
39,6
40,8
41,2
42,2
43,2
44,0
45,6
46,6
47,6
48,6
49,8
50,8
51,2
52,2
53,0
54,0
55,0
56,2
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,2049
69,2051
70,2052
71,2052
72,2050
73,2050
74,2051
75,2051
76,2050
77,2049
78,2050
79,2050
80,2048
81,2048
82,2051
83,2052
84,2051
85,2048
86,2048
87,2050
88,2050
89,2049
90,2050
91,2050
92,2050
93,2049
94,2048
95,2050
96,2052
97,2053
98,2052
99,2049
100,3073
