Order,Timestamp
1,207
2,208
3,209
4,213
5,217
6,224
7,232
8,258
9,267
10,275
11,278
12,303
13,309
14,314
15,318
16,344
17,346
18,351
19,353
20,359
21,375
22,380
23,387
24,393
25,415
26,422
27,427
28,440
29,468
30,479
31,487
32,488
33,494
34,0
35,5
36,7
37,9
38,16
39,23
40,29
41,37
42,38
43,39
44,46
45,53
46,57
47,62
48,71
49,72
50,76
51,84
52,88
53,96
54,105
55,109
56,114
57,122
58,127
59,134
60,135
61,138
62,141
63,146
64,150
65,157
66,166
67,175
68,180
69,189
70,190
71,205
72,233
73,235
74,239
75,241
76,246
77,257
78,280
79,288
80,296
81,324
82,331
83,332
84,336
85,362
86,367
87,374
88,402
89,403
90,405
91,413
92,441
93,448
94,452
95,456
96,459
97,467
98,495
99,502
100,510
