Order,Timestamp
1,0
2,5
3,7
4,9
5,16
6,23
7,29
8,37
9,38
10,39
11,46
12,53
13,57
14,62
15,71
16,72
17,76
18,84
19,88
20,96
21,105
22,109
23,114
24,122
25,127
26,134
27,135
28,138
29,141
30,146
31,150
32,157
33,208
34,209
35,213
36,217
37,224
38,232
39,166
40,175
41,180
42,189
43,190
44,198
45,202
46,233
47,235
48,239
49,241
50,246
51,250
52,258
53,267
54,275
55,278
56,280
57,288
58,296
59,303
60,309
61,314
62,318
63,324
64,331
65,332
66,336
67,344
68,346
69,351
70,353
71,359
72,362
73,367
74,372
75,375
76,380
77,387
78,393
79,402
80,403
81,405
82,406
83,415
84,422
85,427
86,430
87,434
88,435
89,443
90,450
91,459
92,467
93,471
94,479
95,487
96,488
97,494
98,497
99,502
100,510
