Order,Timestamp
1,0
2,7
3,9
4,16
5,23
6,29
7,37
8,38
9,39
10,46
11,57
12,62
13,71
14,122
15,189
16,257
17,280
18,413
19,467
20,157
21,246
22,288
23,296
24,374
25,402
26,441
27,495
28,233
29,241
30,324
31,336
32,362
33,367
34,403
35,405
36,459
37,235
38,239
39,448
40,502
41,510
42,5
43,205
44,331
45,332
46,452
47,456
48,190
49,150
50,180
51,96
52,105
53,109
54,114
55,141
56,53
57,72
58,76
59,127
60,134
61,135
62,84
63,88
64,138
65,146
66,175
67,166
68,232
69,318
70,344
71,359
72,375
73,208
74,258
75,303
76,393
77,494
78,224
79,267
80,275
81,278
82,309
83,314
84,380
85,387
86,415
87,440
88,468
89,346
90,353
91,422
92,427
93,488
94,209
95,217
96,351
97,479
98,487
99,213
100,207
