Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,1677638861900,100,100000,152928.0,13,0.19116
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,755530886700,0,100000,147667.0,12,0.18458375
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,362235586000,0,100000,144388.0,11,0.180485
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,206188286100,100,100000,141900.0,10,0.177375
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,96834202000,0,100000,142648.0,9,0.17831
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,54495465600,100,100000,146819.0,8,0.18352375
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,38627471200,0,100000,156401.0,7,0.19550125
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,35765815700,0,100000,176794.0,6,0.2209925
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,27506458100,0,100000,216755.0,5,0.27094375
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,9347683100,100,100000,292997.0,4,0.36624625
