Encoding,Dataset,Block Size,Compression Ratio
REGER,CS-Sensors,4,2.8873569855993066
REGER,CS-Sensors,5,3.7311344514299574
REGER,CS-Sensors,6,4.61723150798781
REGER,CS-Sensors,7,5.25079090037937
REGER,CS-Sensors,8,5.628808240575264
REGER,CS-Sensors,9,5.79080709373869
REGER,CS-Sensors,10,5.816743496153678
REGER,CS-Sensors,11,5.719433204169467
REGER,CS-Sensors,12,5.577944806236142
REGER,CS-Sensors,13,5.369127516778524
REGER-Without-Reordering,CS-Sensors,4,2.2909376234958563
REGER-Without-Reordering,CS-Sensors,5,2.768530118147023
REGER-Without-Reordering,CS-Sensors,6,3.253487331733702
REGER-Without-Reordering,CS-Sensors,7,3.5752911627740684
REGER-Without-Reordering,CS-Sensors,8,3.765591903977407
REGER-Without-Reordering,CS-Sensors,9,3.869706966439966
REGER-Without-Reordering,CS-Sensors,10,3.920915141594048
REGER-Without-Reordering,CS-Sensors,11,3.9462909797653936
REGER-Without-Reordering,CS-Sensors,12,3.95432751717661
REGER-Without-Reordering,CS-Sensors,13,3.949096150618527
REGER,Cyber-Vehicle,4,2.636916835699797
REGER,Cyber-Vehicle,5,3.2448574803325085
REGER,Cyber-Vehicle,6,3.7789716836668488
REGER,Cyber-Vehicle,7,4.039731424449255
REGER,Cyber-Vehicle,8,4.134014764338445
REGER,Cyber-Vehicle,9,4.185351270553064
REGER,Cyber-Vehicle,10,4.205782951558393
REGER,Cyber-Vehicle,11,4.273052767506017
REGER,Cyber-Vehicle,12,4.007155635062611
REGER,Cyber-Vehicle,13,4.114854171376894
REGER-Without-Reordering,Cyber-Vehicle,4,2.436656960203501
REGER-Without-Reordering,Cyber-Vehicle,5,2.934655540774781
REGER-Without-Reordering,Cyber-Vehicle,6,3.3350130560263875
REGER-Without-Reordering,Cyber-Vehicle,7,3.5519992193408316
REGER-Without-Reordering,Cyber-Vehicle,8,3.64419081944236
REGER-Without-Reordering,Cyber-Vehicle,9,3.685422836459362
REGER-Without-Reordering,Cyber-Vehicle,10,3.671945929587411
REGER-Without-Reordering,Cyber-Vehicle,11,3.823429006591214
REGER-Without-Reordering,Cyber-Vehicle,12,3.8391562294001322
REGER-Without-Reordering,Cyber-Vehicle,13,4.114854171376894
REGER,EPM-Education,4,2.629136859464929
REGER,EPM-Education,5,3.4096368818821685
REGER,EPM-Education,6,4.191979364120432
REGER,EPM-Education,7,4.697378522963905
REGER,EPM-Education,8,4.800508165819629
REGER,EPM-Education,9,4.671320706284032
REGER,EPM-Education,10,4.50111679590086
REGER,EPM-Education,11,4.409942319627734
REGER,EPM-Education,12,4.340119721340993
REGER,EPM-Education,13,4.213375508211845
REGER-Without-Reordering,EPM-Education,4,2.381880555964555
REGER-Without-Reordering,EPM-Education,5,2.848613972607242
REGER-Without-Reordering,EPM-Education,6,3.148260119093828
REGER-Without-Reordering,EPM-Education,7,3.281598150533986
REGER-Without-Reordering,EPM-Education,8,3.3015323636716927
REGER-Without-Reordering,EPM-Education,9,3.308131703442224
REGER-Without-Reordering,EPM-Education,10,3.3162403510774583
REGER-Without-Reordering,EPM-Education,11,3.3235144531823195
REGER-Without-Reordering,EPM-Education,12,3.301977106643042
REGER-Without-Reordering,EPM-Education,13,3.2612217185070707
REGER,GW-Magnetic,4,2.755402655191438
REGER,GW-Magnetic,5,3.5700078411423926
REGER,GW-Magnetic,6,4.079039115988727
REGER,GW-Magnetic,7,4.239197711931631
