Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,1449778300,0,99999,246060.0,13,0.3075780757807578
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,698244300,0,99999,244498.0,12,0.30562555625556254
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,361210900,0,99999,242478.0,11,0.30310053100531004
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,199831200,100,99999,243120.0,10,0.3039030390303903
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,115204100,100,99999,243318.0,9,0.30415054150541504
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,76104300,0,99999,242484.0,8,0.3031080310803108
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,63814600,0,99999,243408.0,7,0.3042630426304263
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,48719500,0,99999,253548.0,6,0.31693816938169384
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,46199400,100,99999,280480.0,5,0.35060350603506035
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,43969600,0,99999,335396.0,4,0.41924919249192494
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,1344732600,0,99999,248514.0,13,0.31064560645606454
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,665591800,0,99999,241754.0,12,0.30219552195521954
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,331038400,0,99999,239056.0,11,0.2988229882298823
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,188887700,0,99999,239324.0,10,0.2991579915799158
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,114272100,0,99999,238212.0,9,0.2977679776797768
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,74502000,100,99999,236944.0,8,0.2961829618296183
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,54715800,0,99999,237510.0,7,0.29689046890468906
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,46039200,0,99999,247926.0,6,0.30991059910599106
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,45500800,0,99999,274914.0,5,0.3436459364593646
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,61105100,0,99999,330078.0,4,0.41260162601626016
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-Without-Reordering,466942800,0,25224,60876.0,13,0.30167697431018076
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-Without-Reordering,203485400,0,25224,60684.0,12,0.3007254995242626
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-Without-Reordering,99857100,0,25224,60686.0,11,0.30073541071994925
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-Without-Reordering,53454600,0,25224,60856.0,10,0.3015778623533143
