Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,724897300,0,29730,62602.0,13,0.26321056172216617
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,354363000,0,29730,61886.0,12,0.2602001345442314
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,179018100,0,29730,62156.0,11,0.2613353514968046
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,101488300,100,29730,62524.0,10,0.26288261015808945
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,55219800,0,29730,64534.0,9,0.27133366969391187
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,36407100,0,29730,64226.0,8,0.27003868146653215
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,27085700,0,29730,65522.0,7,0.2754877228388833
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,22188000,100,29730,67906.0,6,0.2855112680793811
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,17518000,0,29730,74832.0,5,0.3146316851664985
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-Without-Reordering,14417300,100,29730,88858.0,4,0.3736041035990582
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,834519500,0,29730,71554.0,13,0.300849310460814
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,370786400,100,29730,70870.0,12,0.29797342751429534
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,176545200,0,29730,71282.0,11,0.2997056844937773
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,101161300,0,29730,71668.0,10,0.30132862428523377
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,52320800,100,29730,73428.0,9,0.3087285570131181
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,32849000,0,29730,72828.0,8,0.3062058526740666
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,23671500,0,29730,73716.0,7,0.3099394550958628
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,18138900,0,29730,76248.0,6,0.32058526740665994
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,18649400,0,29730,83000.0,5,0.3489741002354524
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-Without-Reordering,15546200,0,29730,96640.0,4,0.4063235788765557
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,781795600,0,29730,57804.0,13,0.24303733602421795
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,360152300,0,29730,56968.0,12,0.23952236797847293
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,178926400,0,29730,56698.0,11,0.23838715102589977
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,97869000,100,29730,56670.0,10,0.2382694248234107
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,50973500,0,29730,58192.0,9,0.2446686848301379
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,29539800,0,29730,58092.0,8,0.24424823410696267
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,19685700,0,29730,60052.0,7,0.25248906828119744
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,14957100,100,29730,63638.0,6,0.2675664312142617
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,12808000,0,29730,71620.0,5,0.30112680793810964
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-Without-Reordering,14812400,0,29730,86342.0,4,0.3630255634039691
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,725200400,100,29730,67168.0,13,0.2824083417423478
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,353789800,0,29730,66420.0,12,0.279263370332997
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,173994200,100,29730,66786.0,11,0.28080221997981836
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,96508700,0,29730,67268.0,10,0.28282879246552306
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,50166300,100,29730,68976.0,9,0.2900100908173562
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,29724200,0,29730,68322.0,8,0.28726034308779014
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,20235500,0,29730,69722.0,7,0.29314665321224354
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,15494600,0,29730,72944.0,6,0.3066935755129499
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,13175500,0,29730,80726.0,5,0.33941305079044737
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-Without-Reordering,12359200,100,29730,95312.0,4,0.4007399932727884
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,753244100,100,29730,77600.0,13,0.32626976118398926
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,354722200,0,29730,76900.0,12,0.3233266061217625
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,175046900,0,29730,77284.0,11,0.3249411368987555
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,96244900,0,29730,77726.0,10,0.32679952909519006
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,50599500,0,29730,79712.0,9,0.33514968045745036
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,33086400,0,29730,79216.0,8,0.3330642448705012
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,20453200,100,29730,80694.0,7,0.3392785065590313
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,15574200,0,29730,83164.0,6,0.3496636394214598
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,13312700,100,29730,89928.0,5,0.3781029263370333
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel4.csv,REGER-Without-Reordering,12378100,0,29730,103196.0,4,0.4338883282879247
