Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,245233000,100,10107,27514.0,13,0.3402839616107648
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,134082200,0,10107,27534.0,12,0.34053131493024635
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,85088500,0,10107,27542.0,11,0.340630256258039
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,38653200,0,10107,27728.0,10,0.34293064212921737
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,20328600,0,10107,26386.0,9,0.32633323439200557
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,11919800,100,10107,26246.0,8,0.3246017611556347
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,7893300,0,10107,26422.0,7,0.3267784703670723
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,5957600,100,10107,27770.0,6,0.3434500841001286
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,5325100,100,10107,31116.0,5,0.3848322944493915
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0a.csv,REGER-Without-Reordering,4667900,0,10107,36878.0,4,0.45609478579202534
