Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,k,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,361520409400,100,100000,142110.0,10,0.1776375
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,363553201500,100,100000,142216.0,9,0.17777
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,240462137200,100,100000,142413.0,8,0.17801625
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,202932541700,100,100000,142354.0,7,0.1779425
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,185389116900,100,100000,142287.0,6,0.17785875
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,170642193400,0,100000,142276.0,5,0.177845
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,160139473700,0,100000,142393.0,4,0.17799125
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,144400956900,100,100000,142402.0,3,0.1780025
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,152205208000,0,100000,142448.0,2,0.17806
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,REGER,93322127500,0,100000,142360.0,1,0.17795
