Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,k,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,91341468600,100,99999,172138.0,10,0.21517465174651745
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,82108738600,100,99999,172183.0,9,0.2152309023090231
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,77366491500,100,99999,172191.0,8,0.2152409024090241
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,59384113900,100,99999,172138.0,7,0.21517465174651745
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,62345482400,100,99999,172188.0,6,0.21523715237152372
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,56331213800,0,99999,172193.0,5,0.21524340243402434
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,49285209600,100,99999,172192.0,4,0.21524215242152422
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,46554979000,100,99999,172198.0,3,0.21524965249652497
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,32093956100,100,99999,172188.0,2,0.21523715237152372
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER,18160629300,100,99999,172188.0,1,0.21523715237152372
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,72219461200,100,99999,170612.0,10,0.21326713267132671
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,55143713200,100,99999,170613.0,9,0.21326838268382683
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,50710814100,100,99999,170612.0,8,0.21326713267132671
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,43745177500,100,99999,170613.0,7,0.21326838268382683
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,40273837600,100,99999,170613.0,6,0.21326838268382683
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,32325556700,100,99999,170613.0,5,0.21326838268382683
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,30810557400,0,99999,170611.0,4,0.2132658826588266
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,22217244500,100,99999,170613.0,3,0.21326838268382683
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,21458973900,0,99999,170612.0,2,0.21326713267132671
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER,11229997200,100,99999,170609.0,1,0.21326338263382633
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,19393956200,0,25224,44693.0,10,0.22148053441167143
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,27264145500,0,25224,44667.0,9,0.221351688867745
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,16682061100,100,25224,44693.0,8,0.22148053441167143
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,18321198400,100,25224,44671.0,7,0.2213715112591183
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,19659247500,100,25224,44680.0,6,0.2214161116397082
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,14769684900,100,25224,44657.0,5,0.22130213288931178
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,8958726100,0,25224,44654.0,4,0.22128726609578178
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,11491359200,100,25224,44662.0,3,0.22132691087852838
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,8859318300,100,25224,44664.0,2,0.22133682207421504
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER,4817450800,100,25224,44685.0,1,0.22144088962892483
