Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,k,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,443630839400,100,10107,26883.0,10,0.332479964381122
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,395266077400,100,10107,26873.0,9,0.3323562877213812
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,320761389700,0,10107,26914.0,8,0.3328633620263184
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,268921648900,100,10107,26923.0,7,0.3329746710200851
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,229753310300,100,10107,26922.0,6,0.33296230335411103
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,203602852700,100,10107,26923.0,5,0.3329746710200851
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,233027123900,100,10107,26900.0,4,0.3326902147026813
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,828783262500,100,10107,26888.0,3,0.3325418027109924
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,124109071500,0,10107,26992.0,2,0.33382803997229643
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\YZ-Electricity\0.csv,REGER,135297899300,0,10107,26920.0,1,0.33293756802216284
