Encoding,Dataset,p,Compression Ratio
REGER-32-FLOAT,CS-Sensors,1,5.639561524091502
REGER-32-FLOAT,CS-Sensors,2,5.365022734283837
REGER-32-FLOAT,CS-Sensors,3,5.21294896522963
REGER-32-FLOAT,CS-Sensors,4,5.216348034740879
REGER-32-FLOAT,CS-Sensors,5,5.146514844478754
REGER-32-FLOAT,CS-Sensors,6,4.974412863831666
REGER-32-FLOAT,CS-Sensors,7,4.872018172627784
REGER-32-FLOAT,CS-Sensors,8,4.808212426825017
REGER-32-FLOAT,CS-Sensors,9,4.718038239699933
REGER-64-DOUBLE,CS-Sensors,1,5.577905914671985
REGER-64-DOUBLE,CS-Sensors,2,5.28171338782301
REGER-64-DOUBLE,CS-Sensors,3,5.108556832694764
REGER-64-DOUBLE,CS-Sensors,4,5.08634063223214
REGER-64-DOUBLE,CS-Sensors,5,4.995348082098546
REGER-64-DOUBLE,CS-Sensors,6,4.81026510573564
REGER-64-DOUBLE,CS-Sensors,7,4.6945326299358605
REGER-64-DOUBLE,CS-Sensors,8,4.6145149567966035
REGER-64-DOUBLE,CS-Sensors,9,4.511566528687924
REGER-32-FLOAT,Cyber-Vehicle,1,4.00765197286027
REGER-32-FLOAT,Cyber-Vehicle,2,3.689765715082171
REGER-32-FLOAT,Cyber-Vehicle,3,3.460117159186778
REGER-32-FLOAT,Cyber-Vehicle,4,3.2644276041433127
REGER-32-FLOAT,Cyber-Vehicle,5,3.12916398022781
REGER-32-FLOAT,Cyber-Vehicle,6,2.9836065573770494
REGER-32-FLOAT,Cyber-Vehicle,7,2.87046438041539
REGER-32-FLOAT,Cyber-Vehicle,8,2.7519467755348908
REGER-32-FLOAT,Cyber-Vehicle,9,2.6384698324680387
REGER-64-DOUBLE,Cyber-Vehicle,1,3.770994936610508
REGER-64-DOUBLE,Cyber-Vehicle,2,3.4002405389941734
REGER-64-DOUBLE,Cyber-Vehicle,3,3.1271813485969564
REGER-64-DOUBLE,Cyber-Vehicle,4,2.9002828572566837
REGER-64-DOUBLE,Cyber-Vehicle,5,2.740447957839262
REGER-64-DOUBLE,Cyber-Vehicle,6,2.576991150442478
REGER-64-DOUBLE,Cyber-Vehicle,7,2.452685572784624
REGER-64-DOUBLE,Cyber-Vehicle,8,2.3248387302803857
REGER-64-DOUBLE,Cyber-Vehicle,9,2.206612259125387
REGER-32-FLOAT,EPM-Education,1,4.533754972028973
REGER-32-FLOAT,EPM-Education,2,4.403204928689372
REGER-32-FLOAT,EPM-Education,3,4.320805465290985
REGER-32-FLOAT,EPM-Education,4,4.268979528940487
REGER-32-FLOAT,EPM-Education,5,4.294620559235716
REGER-32-FLOAT,EPM-Education,6,4.224476578057454
REGER-32-FLOAT,EPM-Education,7,4.142366982349485
REGER-32-FLOAT,EPM-Education,8,4.058571666257909
REGER-32-FLOAT,EPM-Education,9,3.9863755230027267
REGER-64-DOUBLE,EPM-Education,1,4.454556498111426
REGER-64-DOUBLE,EPM-Education,2,4.29203739983158
REGER-64-DOUBLE,EPM-Education,3,4.180103827395608
REGER-64-DOUBLE,EPM-Education,4,4.099160191799242
REGER-64-DOUBLE,EPM-Education,5,4.090068074246563
REGER-64-DOUBLE,EPM-Education,6,3.995176056227289
REGER-64-DOUBLE,EPM-Education,7,3.892844620006221
REGER-64-DOUBLE,EPM-Education,8,3.7907505702293744
REGER-64-DOUBLE,EPM-Education,9,3.7019229052910463
REGER-32-FLOAT,GW-Magnetic,1,4.276991774806825
REGER-32-FLOAT,GW-Magnetic,2,4.014820489588656
REGER-32-FLOAT,GW-Magnetic,3,3.8418569152636404
REGER-32-FLOAT,GW-Magnetic,4,3.5899686090220917
REGER-32-FLOAT,GW-Magnetic,5,3.5023169835876806
REGER-32-FLOAT,GW-Magnetic,6,3.278496182451478
REGER-32-FLOAT,GW-Magnetic,7,3.2180844284429266
REGER-32-FLOAT,GW-Magnetic,8,3.023993593040238
REGER-32-FLOAT,GW-Magnetic,9,2.9704862864654697
REGER-64-DOUBLE,GW-Magnetic,1,4.010447231638153
