Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,324147800,100,7280,1,15430.0,0.2649381868131868
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,427527000,100,7280,2,16721.0,0.2871050824175824
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,502625600,0,7280,3,18277.0,0.3138221153846154
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,601516600,100,7280,4,19728.0,0.33873626373626375
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,633905300,0,7280,5,20775.0,0.3567135989010989
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,705738800,0,7280,6,22061.0,0.37879464285714287
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,1003602100,0,7280,7,23272.0,0.3995879120879121
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,1201551100,100,7280,8,24543.0,0.4214114010989011
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-64-DOUBLE,964219900,100,7280,9,25990.0,0.44625686813186816
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-64-DOUBLE,549261000,100,7280,1,14312.0,0.24574175824175823
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-64-DOUBLE,521363800,100,7280,2,16080.0,0.2760989010989011
