Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,17214245000,100,99999,1,178207.0,0.2227609776097761
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,20334903400,0,99999,2,184831.0,0.2310410604106041
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,18651866700,100,99999,3,190025.0,0.23753362533625336
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,20933152200,0,99999,4,194482.0,0.2431049310493105
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,22458218500,100,99999,5,198441.0,0.24805373053730537
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,23905545600,0,99999,6,202242.0,0.2528050280502805
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,26627784200,0,99999,7,207061.0,0.2588288382883829
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,26524042100,0,99999,8,212481.0,0.26560390603906037
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-64-DOUBLE,30450975200,100,99999,9,217286.0,0.271610216102161
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,18485953100,0,99999,1,181833.0,0.22729352293522936
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,17896227400,0,99999,2,186983.0,0.2337310873108731
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,19090501600,0,99999,3,187874.0,0.2348448484484845
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,20453831800,0,99999,4,191103.0,0.23888113881138812
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,23435143900,100,99999,5,194745.0,0.24343368433684337
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,24328539100,0,99999,6,198641.0,0.24830373303733036
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,23574708200,0,99999,7,204610.0,0.2557650576505765
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,24808302800,0,99999,8,209784.0,0.26223262232622324
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-64-DOUBLE,26377272800,0,99999,9,215663.0,0.26958144581445814
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,4250265400,100,25224,1,45083.0,0.2234132175705677
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,4076098800,0,25224,2,47259.0,0.23419659847764035
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,4359914700,0,25224,3,49501.0,0.24530704884237234
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,4516595300,100,25224,4,50422.0,0.24987115445607358
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,5011368700,0,25224,5,48833.0,0.24199670948303204
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,5259850600,0,25224,6,50407.0,0.24979682048842372
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,5762267700,0,25224,7,51669.0,0.25605078496669836
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,6161851800,0,25224,8,53185.0,0.2635634712971773
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-64-DOUBLE,6423817700,0,25224,9,54322.0,0.2691979860450365
