Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,873883200,100,18353,1,36919.0,0.25145071650411377
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,965613200,100,18353,2,39649.0,0.2700444069089522
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,1142890100,100,18353,3,42480.0,0.2893259957500136
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,1217177600,100,18353,4,45711.0,0.3113319348335422
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,1243515300,0,18353,5,47614.0,0.32429303111207974
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,1221852900,100,18353,6,50993.0,0.3473069797853212
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,1503648100,100,18353,7,53572.0,0.3648722279736283
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,1548914700,0,18353,8,56741.0,0.3864558927695745
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-64-DOUBLE,1575471000,100,18353,9,59546.0,0.4055603988448755
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-64-DOUBLE,2859514900,0,58373,1,116805.0,0.2501263426584208
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-64-DOUBLE,3507057400,100,58373,2,129319.0,0.27692383464958115
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-64-DOUBLE,3353655300,100,58373,3,138537.0,0.29666326897709555
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-64-DOUBLE,3732210400,100,58373,4,151973.0,0.32543513268120533
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-64-DOUBLE,4018509500,100,58373,5,157414.0,0.3370864954687955
