Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,313784700,0,3706,1,4675.0,0.15768348623853212
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,366509900,100,3706,2,5248.0,0.1770102536427415
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,449649900,100,3706,3,5714.0,0.1927280086346465
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,504345700,0,3706,4,6200.0,0.20912034538586077
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,520557800,0,3706,5,6430.0,0.21687803561791688
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,526754900,100,3706,6,7333.0,0.24733540205072854
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,579094600,0,3706,7,7589.0,0.25597004856988664
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,602008400,100,3706,8,7869.0,0.26541419320021586
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-64-DOUBLE,592185200,0,3706,9,7981.0,0.26919185105234755
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,294309800,0,3707,1,4608.0,0.15538171027785272
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,381691700,0,3707,2,5254.0,0.17716482330725655
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,351714400,0,3707,3,5713.0,0.19264229835446453
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,449502300,0,3707,4,6186.0,0.20859185325060697
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,435023000,100,3707,5,6474.0,0.21830321014297274
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,495544600,0,3707,6,7270.0,0.2451443215538171
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,501711300,0,3707,7,7517.0,0.2534731588885892
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,553230600,0,3707,8,7809.0,0.26331939573779334
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-64-DOUBLE,590504700,0,3707,9,7930.0,0.26739951443215537
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,320155500,0,3710,1,4641.0,0.1563679245283019
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,387910700,100,3710,2,5301.0,0.17860512129380055
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,390550100,0,3710,3,5778.0,0.19467654986522911
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,414025900,100,3710,4,6145.0,0.20704177897574125
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,476037700,0,3710,5,6507.0,0.21923854447439353
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,482771800,100,3710,6,7329.0,0.24693396226415093
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,548151500,0,3710,7,7618.0,0.2566711590296496
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,525275500,100,3710,8,7876.0,0.26536388140161726
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-64-DOUBLE,589981600,100,3710,9,7997.0,0.2694407008086253
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,294850800,0,3710,1,4673.0,0.15744609164420484
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,335396200,0,3710,2,5281.0,0.17793126684636118
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,421813200,0,3710,3,5730.0,0.19305929919137466
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,442755100,100,3710,4,6162.0,0.2076145552560647
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,516353500,100,3710,5,6429.0,0.21661051212938007
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,507753700,0,3710,6,7287.0,0.2455188679245283
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,578165000,0,3710,7,7585.0,0.25555929919137466
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,509835000,0,3710,8,7852.0,0.26455525606469005
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,695342400,100,3710,9,7945.0,0.267688679245283
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,346826000,100,3710,1,4318.0,0.14548517520215634
