Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,783840000,0,29730,1,66149.0,0.2781239488731921
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,905900500,0,29730,2,79487.0,0.33420366633030607
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,1156062400,100,29730,3,89725.0,0.37724941136898754
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,1439323000,100,29730,4,103195.0,0.4338841237806929
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,1257134900,0,29730,5,112477.0,0.47291035990581903
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,1250406900,0,29730,6,121454.0,0.5106542213252607
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,1282690400,0,29730,7,130913.0,0.550424655230407
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,1399707200,0,29730,8,139288.0,0.5856374032963336
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-64-DOUBLE,1789073200,0,29730,9,147805.0,0.6214471913891692
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-64-DOUBLE,768671500,0,29730,1,74581.0,0.31357635385132865
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-64-DOUBLE,898505800,0,29730,2,88168.0,0.370702993609149
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-64-DOUBLE,1024601500,100,29730,3,98186.0,0.41282374705684494
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-64-DOUBLE,1229745900,100,29730,4,111207.0,0.46757063572149343
