Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,10961008200,0,51222,1,35532.0,0.08671078833313811
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,9103415000,0,51222,2,39311.0,0.09593289992581312
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,9575796100,100,51222,3,45157.0,0.11019923079926594
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,10381672000,100,51222,4,48398.0,0.11810842997149662
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,11106367000,0,51222,5,51175.0,0.12488530319003553
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,12056892500,100,51222,6,54559.0,0.13314347350747727
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,15100795700,100,51222,7,57774.0,0.14098922338057865
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,13489077700,0,51222,8,61029.0,0.1489325875600328
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-64-DOUBLE,13751199300,0,51222,9,63776.0,0.15563625004880716
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,7932969100,0,51222,1,71625.0,0.17479061731287338
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,10335346800,0,51222,2,75830.0,0.18505232126820506
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,11056209700,100,51222,3,81282.0,0.1983571512240834
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,10277572100,0,51222,4,85284.0,0.20812346257467496
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,12574746100,0,51222,5,87752.0,0.21414626527663894
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,13209748600,0,51222,6,90451.0,0.22073279059779002
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,11887504700,0,51222,7,92627.0,0.22604300886337902
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,14335040800,0,51222,8,95188.0,0.23229276482761313
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-64-DOUBLE,13971846800,100,51222,9,98893.0,0.2413342899535356
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-64-DOUBLE,4530537200,0,29512,1,31007.0,0.1313321699647601
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-64-DOUBLE,5874185000,0,29512,2,33400.0,0.14146787747357006
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-64-DOUBLE,5197499900,0,29512,3,36039.0,0.15264553402005965
