Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,15559354900,100,75809,1,177508.0,0.2926895223522273
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,18436801500,0,75809,2,184837.0,0.3047741692938833
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,20981860200,100,75809,3,190293.0,0.31377046260998037
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,21152696300,100,75809,4,195564.0,0.32246171298922294
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,20238605300,0,75809,5,199888.0,0.3295914733079186
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,20789174800,0,75809,6,204134.0,0.33659262092891346
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,20535020800,100,75809,7,208024.0,0.34300676700655597
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,21288883100,0,75809,8,212331.0,0.3501084963526758
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-64-DOUBLE,33194781500,100,75809,9,215705.0,0.3556718199686053
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,15200089100,100,75809,1,188001.0,0.3099912279544645
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,15304660600,0,75809,2,195072.0,0.321650463665264
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,22186870100,0,75809,3,200279.0,0.33023618567716234
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,20159200700,100,75809,4,204865.0,0.3377979527496735
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,20565750800,0,75809,5,209019.0,0.344647403342611
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,21893214000,100,75809,6,213365.0,0.3518134390375813
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,21600659500,100,75809,7,217261.0,0.3582374783996623
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,22366396500,0,75809,8,221249.0,0.36481321478980067
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-64-DOUBLE,23927896700,0,75809,9,224428.0,0.37005500666147817
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,13580508200,0,75809,1,180156.0,0.2970557585510955
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,27690076800,100,75809,2,187475.0,0.309123916685354
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,23212483000,100,75809,3,192693.0,0.31772777638538957
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,25247496600,100,75809,4,197449.0,0.32556985318365894
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,23593334500,0,75809,5,202276.0,0.3335290005144508
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,24263319100,0,75809,6,206702.0,0.34082694666860136
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,24422662400,0,75809,7,210789.0,0.34756592225197536
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,23795446800,100,75809,8,214899.0,0.35434282209236373
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-64-DOUBLE,26950752100,0,75809,9,218927.0,0.3609845137120922
