Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,579474300,100,7280,1,14518.0,0.24927884615384616
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,617217000,0,7280,2,15377.0,0.2640281593406593
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,623273600,100,7280,3,16485.0,0.28305288461538464
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,726073200,0,7280,4,17488.0,0.30027472527472526
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,725338700,0,7280,5,18135.0,0.31138392857142855
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,866936800,0,7280,6,18981.0,0.32591002747252745
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,1021758200,100,7280,7,19816.0,0.34024725274725276
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,1053727100,100,7280,8,20655.0,0.35465315934065933
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-FLOAT,976571200,0,7280,9,21670.0,0.37208104395604397
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-FLOAT,512757500,100,7280,1,13400.0,0.23008241758241757
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-FLOAT,793695800,100,7280,2,14736.0,0.253021978021978
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-FLOAT,780971900,0,7280,3,15728.0,0.27005494505494504
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-FLOAT,753658900,100,7280,4,16775.0,0.2880322802197802
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-FLOAT,760153600,0,7280,5,17553.0,0.3013907967032967
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-FLOAT,681509300,0,7280,6,18464.0,0.317032967032967
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-FLOAT,736444500,0,7280,7,19187.0,0.3294471153846154
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-FLOAT,987288200,100,7280,8,20063.0,0.3444883241758242
