Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,24416049300,100,99999,1,175087.0,0.2188609386093861
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,19145378000,0,99999,2,180151.0,0.2251910019100191
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,19252678500,0,99999,3,183785.0,0.22973354733547335
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,23450001100,0,99999,4,186722.0,0.23340483404834048
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,27214327000,100,99999,5,189129.0,0.23641361413614137
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,27909719000,0,99999,6,191378.0,0.2392248922489225
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,39391471200,0,99999,7,194709.0,0.24338868388683887
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,41903995100,100,99999,8,198585.0,0.24823373233732338
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-FLOAT,56027031900,100,99999,9,201926.0,0.252410024100241
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,28471013100,100,99999,1,178713.0,0.22339348393483935
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,28491351800,100,99999,2,182303.0,0.2278810288102881
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,24739528700,100,99999,3,181634.0,0.22704477044770446
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,34334820500,0,99999,4,183343.0,0.2291810418104181
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,51128211000,100,99999,5,185433.0,0.23179356793567935
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,66140537200,200,99999,6,187777.0,0.23472359723597236
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,78375496600,100,99999,7,192258.0,0.2403249032490325
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,93884473900,0,99999,8,195888.0,0.24486244862448625
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-FLOAT,81300982600,0,99999,9,200303.0,0.2503812538125381
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,8674636900,100,25224,1,44283.0,0.21944873929590866
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,10419320800,0,25224,2,46059.0,0.22824988106565175
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,11530819800,100,25224,3,47933.0,0.23753667142404059
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,18902523800,100,25224,4,48462.0,0.2401581826831589
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,15399526600,100,25224,5,46481.0,0.2303411433555344
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,12722496400,100,25224,6,47663.0,0.23619866000634315
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,16965840600,100,25224,7,48533.0,0.24051003013003489
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,16082041400,100,25224,8,49657.0,0.24608012210593086
E:\encoding-reorder-my\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-FLOAT,16528838200,0,25224,9,50402.0,0.2497720424992071
