Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,1278242300,0,18353,1,34633.0,0.23588105486841388
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,1437661300,100,18353,2,36241.0,0.24683294284313193
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,1469515400,100,18353,3,37968.0,0.25859532501498395
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,1936092000,100,18353,4,40111.0,0.2731910314390018
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,2268403800,0,18353,5,40985.0,0.27914373671879256
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,1998331200,100,18353,6,43321.0,0.29505394213480085
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,2237086500,100,18353,7,44868.0,0.30559036669754264
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,2295927400,0,18353,8,47021.0,0.32025418187762217
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,REGER-32-FLOAT,2092956400,0,18353,9,48826.0,0.3325478123467553
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,4076298100,100,58373,1,109557.0,0.23460546828156853
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,4219242800,100,58373,2,118519.0,0.2537967039555959
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,4706985900,0,58373,3,124265.0,0.2661011940451921
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,5577353500,0,58373,4,134253.0,0.2874895071351481
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,6840056200,100,58373,5,136343.0,0.2919650352046323
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,6029893400,0,58373,6,147622.0,0.31611789697291554
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,6749269000,100,58373,7,148332.0,0.3176382916759461
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,7707270600,100,58373,8,160060.0,0.34275264248882187
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,REGER-32-FLOAT,8046770600,100,58373,9,160416.0,0.34351498124132734
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,1122947100,0,17785,1,32745.0,0.23014478493112173
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,1162688300,0,17785,2,34415.0,0.24188220410458253
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,1363829000,0,17785,3,35622.0,0.25036547652516167
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,1609370400,100,17785,4,37853.0,0.2660458251335395
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,2336965000,200,17785,5,39700.0,0.2790272701714928
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,2508116100,100,17785,6,41657.0,0.29278183862805734
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,2001449300,100,17785,7,42984.0,0.3021085184143942
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,2894050200,100,17785,8,45102.0,0.3169946584200169
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,REGER-32-FLOAT,2636980200,100,17785,9,46526.0,0.32700309249367443
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,4181043600,100,58373,1,109557.0,0.23460546828156853
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,4313314100,0,58373,2,118519.0,0.2537967039555959
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,4684042000,0,58373,3,124265.0,0.2661011940451921
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,4896198900,0,58373,4,134253.0,0.2874895071351481
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,5205546500,100,58373,5,136343.0,0.2919650352046323
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,7323029600,0,58373,6,147622.0,0.31611789697291554
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,7835955900,100,58373,7,148332.0,0.3176382916759461
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,6780798000,100,58373,8,160060.0,0.34275264248882187
E:\encoding-reorder-my\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,REGER-32-FLOAT,7235899100,0,58373,9,160416.0,0.34351498124132734
