Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,470384300,100,3706,1,4435.0,0.14958850512682137
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,481185200,0,3706,2,4888.0,0.1648677819751754
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,462274600,0,3706,3,5234.0,0.17653804641122503
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,532709400,0,3706,4,5600.0,0.18888289260658392
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,609516300,100,3706,5,5710.0,0.19259309228278468
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,670309800,100,3706,6,6493.0,0.21900296815974096
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,865230800,100,3706,7,6629.0,0.22359012412304372
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,828920400,0,3706,8,6789.0,0.22898677819751753
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-FLOAT,879179100,100,3706,9,6861.0,0.23141527253103075
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,506700500,100,3707,1,4368.0,0.1472889128675479
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,557674600,0,3707,2,4894.0,0.1650256271917993
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,503580600,100,3707,3,5233.0,0.17645670353385487
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,548658500,0,3707,4,5586.0,0.1883598597248449
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,702299000,100,3707,5,5754.0,0.19402481791205828
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,743041800,100,3707,6,6430.0,0.2168195306177502
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,859394100,0,3707,7,6557.0,0.22110196924736983
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,784002600,100,3707,8,6729.0,0.22690180739142163
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-FLOAT,835239000,0,3707,9,6810.0,0.2296331265173995
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,471514600,0,3710,1,4401.0,0.14828167115902965
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,538917400,0,3710,2,4941.0,0.16647574123989217
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,517827200,0,3710,3,5298.0,0.17850404312668464
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,506948100,100,3710,4,5545.0,0.18682614555256064
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,594039200,0,3710,5,5787.0,0.1949797843665768
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,694133000,100,3710,6,6489.0,0.2186320754716981
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,681574100,100,3710,7,6658.0,0.22432614555256064
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,789250900,0,3710,8,6796.0,0.22897574123989217
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-32-FLOAT,793201100,100,3710,9,6877.0,0.23170485175202157
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,424889500,0,3710,1,4433.0,0.14935983827493263
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,489018000,100,3710,2,4921.0,0.16580188679245284
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,706519400,0,3710,3,5250.0,0.17688679245283018
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,689932900,100,3710,4,5562.0,0.1873989218328841
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,716196300,0,3710,5,5709.0,0.19235175202156335
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,804038900,100,3710,6,6447.0,0.21721698113207547
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,804027200,0,3710,7,6625.0,0.22321428571428573
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,1337513700,100,3710,8,6772.0,0.22816711590296496
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-32-FLOAT,1594309900,100,3710,9,6825.0,0.22995283018867924
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,598596800,100,3710,1,4078.0,0.1373989218328841
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,540400600,100,3710,2,4624.0,0.15579514824797844
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,547143900,100,3710,3,4946.0,0.16664420485175202
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,605865100,100,3710,4,5225.0,0.176044474393531
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,751964200,100,3710,5,5375.0,0.18109838274932616
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,653619000,0,3710,6,6107.0,0.20576145552560646
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,581500400,100,3710,7,6291.0,0.2119609164420485
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,706736100,100,3710,8,6458.0,0.2175876010781671
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-32-FLOAT,855518300,100,3710,9,6475.0,0.21816037735849056
