Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,1165545400,100,29730,1,58821.0,0.2473133198789102
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,1601933300,100,29730,2,68655.0,0.2886604439959637
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,1602819300,0,29730,3,75517.0,0.31751177262024893
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,1848462800,100,29730,4,85755.0,0.36055751765893035
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,1677019900,100,29730,5,91789.0,0.38592751429532457
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,2531190400,100,29730,6,97727.0,0.4108938782374706
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,2229813200,0,29730,7,104097.0,0.4376765893037336
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,2568464900,0,29730,8,109675.0,0.4611293306424487
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,REGER-32-FLOAT,2708432100,0,29730,9,115297.0,0.4847670702993609
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,1182202500,0,29730,1,67253.0,0.28276572485704676
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,1444246600,0,29730,2,77344.0,0.3251934073326606
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,1487579500,100,29730,3,83978.0,0.3530861083081063
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,1578088200,0,29730,4,93750.0,0.3941725529767911
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,2119649900,100,29730,5,99878.0,0.41993777329297005
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,2564874500,0,29730,6,105623.0,0.44409266733938785
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,2649868900,0,29730,7,111317.0,0.4680331315169862
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,2628022000,0,29730,8,116618.0,0.4903212243525059
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,REGER-32-FLOAT,2644167600,100,29730,9,122189.0,0.5137445341405987
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,1354008900,100,29730,1,54683.0,0.2299150689539186
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,1530720200,100,29730,2,64550.0,0.27140094180961993
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,1664974000,100,29730,3,71513.0,0.30067692566431214
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,1870986000,100,29730,4,80912.0,0.3401950891355533
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,1702615300,100,29730,5,87089.0,0.36616633030608814
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,1923786000,0,29730,6,92940.0,0.39076690211907167
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,1879344200,100,29730,7,99497.0,0.41833585603767237
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,1928291600,100,29730,8,105339.0,0.44289858728557013
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,REGER-32-FLOAT,2056635300,100,29730,9,110244.0,0.46352169525731585
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Fuel\syndata_fuel3.csv,REGER-32-FLOAT,1097000000,100,29730,1,64206.0,0.2699545913218971
