Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,12147149200,0,51222,1,33937.0,0.08281841786732264
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,12812984900,100,51222,2,36911.0,0.09007604154464878
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,13825336100,0,51222,3,41957.0,0.10239008629104682
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,15501154200,0,51222,4,44398.0,0.10834699933622272
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,17434753400,100,51222,5,46375.0,0.11317158642770685
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,17786590400,100,51222,6,49015.0,0.11961413064698763
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,19233400600,100,51222,7,51439.0,0.1255295576119636
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,14365816800,100,51222,8,53901.0,0.1315377181679747
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-FLOAT,14123095700,0,51222,9,55856.0,0.1363086173909648
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,8627331500,0,51222,1,70025.0,0.1708860450587638
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,8767242900,0,51222,2,73435.0,0.1792076646753348
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,9430329700,100,51222,3,78082.0,0.19054800671586428
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,10704448200,0,51222,4,81284.0,0.19836203193940105
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,11247781100,0,51222,5,82952.0,0.20243254851431025
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,12161984900,0,51222,6,84907.0,0.20720344773730037
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,12429198000,0,51222,7,86291.0,0.21058090273710514
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,14135075300,0,51222,8,88060.0,0.21489789543555504
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-FLOAT,14391616600,100,51222,9,90973.0,0.22200665729569324
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,4868867500,100,29512,1,30079.0,0.12740156546489564
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,5272335000,100,29512,2,32008.0,0.1355719707237734
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,5496306300,0,29512,3,34183.0,0.1447843250203307
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,5714190100,0,29512,4,36634.0,0.1551656953103822
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,6135692400,100,29512,5,34388.0,0.1456526158850637
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,6567800000,0,29512,6,39128.0,0.16572919490376795
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,7680712800,100,29512,7,40742.0,0.17256539712659258
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,7776455800,100,29512,8,38760.0,0.1641705069124424
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-32-FLOAT,8340963600,0,29512,9,42952.0,0.18192599620493358
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-32-FLOAT,4103613000,0,29512,1,45174.0,0.19133742206560042
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-32-FLOAT,5308701600,100,29512,2,46667.0,0.1976611208999729
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-32-FLOAT,5872060200,0,29512,3,49104.0,0.20798319327731093
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-32-FLOAT,5938923700,0,29512,4,50683.0,0.21467115071835186
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-32-FLOAT,6486460900,0,29512,5,48959.0,0.2073690363242071
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-32-FLOAT,7005019200,0,29512,6,53400.0,0.22617918134995935
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-32-FLOAT,7183023500,0,29512,7,54437.0,0.23057146245595012
E:\encoding-reorder-my\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-32-FLOAT,10155418500,0,29512,8,52938.0,0.22422235023041476
