Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,15095691100,0,75809,1,175145.0,0.28879321716418893
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,15982219100,100,75809,2,181285.0,0.29891734490627764
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,17395983200,100,75809,3,185557.0,0.3059613634265061
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,24278068400,0,75809,4,189684.0,0.3127662942394702
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,22629596900,0,75809,5,192832.0,0.3179569708082154
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,24547403700,100,75809,6,195902.0,0.32301903467925974
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,26335023200,0,75809,7,198616.0,0.3274940970069517
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,27519271600,100,75809,8,201819.0,0.3327754620163833
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,REGER-32-FLOAT,30089938000,0,75809,9,204025.0,0.3364128929282803
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,16889037100,100,75809,1,185633.0,0.3060866783627274
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,17578807000,0,75809,2,191520.0,0.3157936392776583
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,20092574500,0,75809,3,195543.0,0.32242708649368806
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,21375401200,100,75809,4,198985.0,0.32810253399992084
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,22354731800,100,75809,5,201963.0,0.33301290084290786
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,24320203000,100,75809,6,205133.0,0.33823985278792756
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,26193524000,100,75809,7,207853.0,0.34272480840005803
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,28380521700,100,75809,8,210737.0,0.34748018045350815
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,REGER-32-FLOAT,29541587900,100,75809,9,212748.0,0.35079607962115317
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,18456591400,100,75809,1,177788.0,0.29315120895935837
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,23657233900,100,75809,2,183923.0,0.3032670922977483
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,23029702300,0,75809,3,187957.0,0.30991867720191535
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,21199403400,100,75809,4,191569.0,0.3158744344339063
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,23980978600,0,75809,5,195220.0,0.32189449801474757
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,28641197900,100,75809,6,198470.0,0.3272533604189476
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,28374150500,100,75809,7,201378.0,0.3320483056101518
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,33443981000,0,75809,8,204387.0,0.33700978775607116
E:\encoding-reorder-my\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,REGER-32-FLOAT,30485062200,100,75809,9,207247.0,0.3417255866717672
