Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,79519200,100,7280,1,14771.0,0.2536229395604396
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,88009400,100,7280,2,17310.0,0.2972184065934066
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,111557900,100,7280,3,18031.0,0.30959821428571427
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,119817600,100,7280,4,18998.0,0.3262019230769231
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,116849400,100,7280,5,19696.0,0.3381868131868132
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,123088300,100,7280,6,20282.0,0.34824862637362636
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,130645200,0,7280,7,21028.0,0.3610576923076923
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,151900100,100,7280,8,21825.0,0.37474244505494503
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,REGER-32-INT,149708800,0,7280,9,22746.0,0.3905563186813187
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,73877600,0,7280,1,14705.0,0.2524896978021978
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,81127500,100,7280,2,14984.0,0.25728021978021975
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,86644200,100,7280,3,15894.0,0.27290521978021975
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,83159400,0,7280,4,16964.0,0.29127747252747255
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,95489600,100,7280,5,17786.0,0.30539148351648354
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,118320600,100,7280,6,18500.0,0.3176510989010989
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,128848900,100,7280,7,19368.0,0.33255494505494504
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,116018700,100,7280,8,20201.0,0.3468578296703297
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,REGER-32-INT,119971200,0,7280,9,21063.0,0.36165865384615387
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,75362300,100,7280,1,13863.0,0.2380322802197802
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,71741300,0,7280,2,14817.0,0.25441277472527474
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,77919300,100,7280,3,16081.0,0.2761160714285714
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,118663100,100,7280,4,17103.0,0.29366414835164834
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,107968100,100,7280,5,17776.0,0.30521978021978025
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,122546100,100,7280,6,18563.0,0.3187328296703297
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,121070300,0,7280,7,19299.0,0.3313701923076923
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,122243900,100,7280,8,20195.0,0.3467548076923077
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle2.csv,REGER-32-INT,125474700,100,7280,9,21050.0,0.36143543956043955
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,67633400,100,7280,1,14594.0,0.2505837912087912
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,81714300,100,7280,2,15791.0,0.27113667582417583
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,79150100,100,7280,3,16879.0,0.2898179945054945
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,113092900,100,7280,4,17859.0,0.3066449175824176
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,119007500,100,7280,5,18609.0,0.31952266483516484
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,134030800,100,7280,6,19586.0,0.33629807692307695
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,174397300,100,7280,7,20343.0,0.3492960164835165
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,183561600,100,7280,8,21111.0,0.3624828296703297
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-32-INT,166807100,0,7280,9,23232.0,0.3989010989010989
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,95953200,100,7280,1,18125.0,0.31121222527472525
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,93757700,100,7280,2,18286.0,0.31397664835164835
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,86657600,0,7280,3,19277.0,0.3309924450549451
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,108906700,100,7280,4,20112.0,0.3453296703296703
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,102679800,0,7280,5,20953.0,0.3597699175824176
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,111632800,100,7280,6,21617.0,0.37117101648351647
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,119277100,100,7280,7,22377.0,0.38422046703296703
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,124024900,100,7280,8,23135.0,0.3972355769230769
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-32-INT,147262700,100,7280,9,24112.0,0.414010989010989
