Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,2892715600,0,99999,1,156761.0,0.19595320953209533
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,1156334200,100,99999,2,178141.0,0.22267847678476785
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,2766872900,100,99999,3,182920.0,0.22865228652286523
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,2395079300,200,99999,4,190772.0,0.23846738467384673
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,2752267800,100,99999,5,198619.0,0.24827623276232763
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,2797234500,100,99999,6,210613.0,0.26326888268882687
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,2129846100,100,99999,7,210822.0,0.263530135301353
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,3747799000,100,99999,8,213681.0,0.2671039210392104
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-32-INT,3031317000,0,99999,9,218513.0,0.2731439814398144
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,2112695200,100,99999,1,154405.0,0.19300818008180082
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,2205773200,100,99999,2,175554.0,0.21944469444694448
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,2798297900,100,99999,3,182352.0,0.22794227942279424
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,2705670000,100,99999,4,189424.0,0.23678236782367823
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,2996129600,100,99999,5,202161.0,0.25270377703777036
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,3341553600,100,99999,6,199765.0,0.24970874708747087
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,2188847300,100,99999,7,207239.0,0.2590513405134051
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,3903232400,100,99999,8,214597.0,0.2682489324893249
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-32-INT,3197465700,100,99999,9,219375.0,0.27422149221492215
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,328938100,0,25224,1,43566.0,0.21589557564224549
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,552863000,100,25224,2,42673.0,0.2114702267681573
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,468568800,100,25224,3,44784.0,0.22193149381541388
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,383400900,0,25224,4,46025.0,0.22808139073897876
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,376208400,0,25224,5,46827.0,0.23205578020932446
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,386709500,100,25224,6,47752.0,0.23663970821439897
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,463580400,100,25224,7,49170.0,0.24366674595623217
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,1252510800,100,25224,8,50380.0,0.24966301934665397
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-32-INT,1325377800,100,25224,9,50749.0,0.2514916349508405
