Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,33490600,100,3706,1,5776.0,0.19481921208850514
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,38789800,100,3706,2,9180.0,0.30963302752293576
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,44859600,100,3706,3,9545.0,0.3219441446303292
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,43746800,100,3706,4,9355.0,0.31553561791689155
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,51762900,100,3706,5,9264.0,0.31246627091203455
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,55003600,0,3706,6,9031.0,0.304607393416082
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,73166900,100,3706,7,10831.0,0.36531975175391257
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,58594600,100,3706,8,11097.0,0.3742916891527253
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-32-INT,66412500,100,3706,9,8492.0,0.2864274150026983
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-INT,39612000,100,3707,1,5581.0,0.18819125977879686
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-INT,47977800,100,3707,2,6576.0,0.2217426490423523
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-INT,51445800,100,3707,3,6900.0,0.23266792554626384
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-32-INT,52766500,0,3707,4,7313.0,0.24659428108983006
