Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,706454000,100,51222,1,54273.0,0.13244553121705518
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,799691900,100,51222,2,60478.0,0.14758795049002382
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,893644400,0,51222,3,62749.0,0.15313000273320057
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,915578500,100,51222,4,66384.0,0.16200070282300574
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,976910000,100,51222,5,69407.0,0.169377904025614
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,1076713600,100,51222,6,71169.0,0.17367781422045214
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,1020433100,100,51222,7,72224.0,0.17625239155050565
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,1016196800,100,51222,8,74438.0,0.18165534340712974
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-32-INT,1218708000,100,51222,9,75420.0,0.1840517746280895
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,636849600,0,51222,1,87202.0,0.2128040685642888
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,601314400,100,51222,2,84302.0,0.2057270313537152
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,1056839700,200,51222,3,86209.0,0.21038079340908203
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,818929500,100,51222,4,88767.0,0.2166232283003397
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,804968400,0,51222,5,91146.0,0.22242883917066886
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,870528600,0,51222,6,93049.0,0.2270728397954004
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,937516900,100,51222,7,95103.0,0.23208533442661355
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,913725900,100,51222,8,97468.0,0.23785678028971927
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-32-INT,970885300,100,51222,9,98591.0,0.2405973019405724
