Encoding,Dataset,Segment Size,Compression Ratio
REGER,CS-Sensors,3,5.574330209385779
REGER,CS-Sensors,4,5.816743496153678
REGER,CS-Sensors,5,5.820382981200163
REGER,CS-Sensors,6,5.742918263915809
REGER-Without-Reordering,CS-Sensors,3,3.8195638058133765
REGER-Without-Reordering,CS-Sensors,4,3.920915141594048
REGER-Without-Reordering,CS-Sensors,5,3.9393342525113253
REGER-Without-Reordering,CS-Sensors,6,3.9392178682922503
REGER,Cyber-Vehicle,3,4.002804162256526
REGER,Cyber-Vehicle,4,4.039731424449255
REGER,Cyber-Vehicle,5,3.98849472674976
REGER,Cyber-Vehicle,6,3.883702320618832
REGER-Without-Reordering,Cyber-Vehicle,3,3.491816056118473
REGER-Without-Reordering,Cyber-Vehicle,4,3.5519992193408316
REGER-Without-Reordering,Cyber-Vehicle,5,3.5357828019135966
REGER-Without-Reordering,Cyber-Vehicle,6,3.4717916924984507
REGER,EPM-Education,3,4.60963891275908
REGER,EPM-Education,4,4.7411236238149135
REGER,EPM-Education,5,4.699307039502953
REGER,EPM-Education,6,4.595866320359041
REGER-Without-Reordering,EPM-Education,3,3.2975463654077544
REGER-Without-Reordering,EPM-Education,4,3.308131703442224
REGER-Without-Reordering,EPM-Education,5,3.253378193891226
REGER-Without-Reordering,EPM-Education,6,3.1619399637963466
REGER,GW-Magnetic,3,4.239197711931631
REGER,GW-Magnetic,4,4.232959054974246
REGER,GW-Magnetic,5,4.184804719690459
REGER,GW-Magnetic,6,4.0733543547079565
REGER-Without-Reordering,GW-Magnetic,3,3.950977975396446
REGER-Without-Reordering,GW-Magnetic,4,3.9626751777153704
REGER-Without-Reordering,GW-Magnetic,5,3.9310979264246733
REGER-Without-Reordering,GW-Magnetic,6,3.850046655748656
REGER,Metro-Traffic,3,3.4794503243735844
REGER,Metro-Traffic,4,3.5119303486211795
REGER,Metro-Traffic,5,3.471150557185807
REGER,Metro-Traffic,6,3.406331708006502
REGER-Without-Reordering,Metro-Traffic,3,2.988383537015367
REGER-Without-Reordering,Metro-Traffic,4,3.0205219788827273
REGER-Without-Reordering,Metro-Traffic,5,3.009161139289895
REGER-Without-Reordering,Metro-Traffic,6,2.96889627987189
REGER,Nifty-Stocks,3,6.583077408010175
REGER,Nifty-Stocks,4,6.208556614925222
REGER,Nifty-Stocks,5,4.538427833675903
REGER,Nifty-Stocks,6,4.395871817945902
REGER-Without-Reordering,Nifty-Stocks,3,4.404230481440261
REGER-Without-Reordering,Nifty-Stocks,4,4.435309524900271
REGER-Without-Reordering,Nifty-Stocks,5,4.401881578466624
REGER-Without-Reordering,Nifty-Stocks,6,4.336765593015594
REGER,TH-Climate,3,7.101444588184563
REGER,TH-Climate,4,7.219849022482228
REGER,TH-Climate,5,7.194026183227995
REGER,TH-Climate,6,7.084070439575211
REGER-Without-Reordering,TH-Climate,3,4.236529316949445
REGER-Without-Reordering,TH-Climate,4,4.287769315888824
REGER-Without-Reordering,TH-Climate,5,4.30750116477714
REGER-Without-Reordering,TH-Climate,6,4.2531637396694215
REGER,TY-Fuel,3,3.7421527133124597
REGER,TY-Fuel,4,3.716273226707668
REGER,TY-Fuel,5,3.623621183496862
REGER,TY-Fuel,6,3.551292465000717
REGER-Without-Reordering,TY-Fuel,3,3.262649901643122
REGER-Without-Reordering,TY-Fuel,4,3.2679307502061
REGER-Without-Reordering,TY-Fuel,5,3.211450175533351
REGER-Without-Reordering,TY-Fuel,6,3.133167523817554
REGER,TY-Transport,3,7.05762024018256
REGER,TY-Transport,4,7.135287574007142
REGER,TY-Transport,5,7.031896340646758
REGER,TY-Transport,6,6.7983856335073805
REGER-Without-Reordering,TY-Transport,3,4.600006984061297
REGER-Without-Reordering,TY-Transport,4,4.595442329801152
REGER-Without-Reordering,TY-Transport,5,4.53178778060483
REGER-Without-Reordering,TY-Transport,6,4.451497967639368
REGER,USGS-Earthquakes,3,3.3766361991370113
REGER,USGS-Earthquakes,4,3.472247456048612
REGER,USGS-Earthquakes,5,3.4736395954011057
REGER,USGS-Earthquakes,6,3.4416528262769415
REGER-Without-Reordering,USGS-Earthquakes,3,3.2282674076321576
REGER-Without-Reordering,USGS-Earthquakes,4,3.290309279842015
REGER-Without-Reordering,USGS-Earthquakes,5,3.2723780198276233
REGER-Without-Reordering,USGS-Earthquakes,6,3.222304084784426
REGER,Vehicle-Charge,3,2.3574342504990886
REGER,Vehicle-Charge,4,2.3837107249429526
REGER,Vehicle-Charge,5,2.3837107249429526
REGER,Vehicle-Charge,6,2.3658536585365852
REGER-Without-Reordering,Vehicle-Charge,3,2.2896644747934585
REGER-Without-Reordering,Vehicle-Charge,4,2.2892784895482134
REGER-Without-Reordering,Vehicle-Charge,5,2.245741690094262
REGER-Without-Reordering,Vehicle-Charge,6,2.209926769731489
REGER,YZ-Electricity,3,3.490739541510167
REGER,YZ-Electricity,4,3.5173133808943797
REGER,YZ-Electricity,5,3.4684282772820865
REGER,YZ-Electricity,6,3.54600473642663
REGER-Without-Reordering,YZ-Electricity,3,3.0303575444119635
REGER-Without-Reordering,YZ-Electricity,4,3.080698011125505
REGER-Without-Reordering,YZ-Electricity,5,3.0849294162533383
REGER-Without-Reordering,YZ-Electricity,6,3.052321630804078
