Encoding,Dataset,Segment Size,Compression Ratio
REGER,CS-Sensors,3,5.579306352737696
REGER,CS-Sensors,4,5.8165743285492
REGER,CS-Sensors,5,5.817081860884487
REGER,CS-Sensors,6,5.73764613067489
REGER-Without-Reordering,CS-Sensors,3,3.820986769833309
REGER-Without-Reordering,CS-Sensors,4,3.921261077562544
REGER-Without-Reordering,CS-Sensors,5,3.9392178682922503
REGER-Without-Reordering,CS-Sensors,6,3.9391402826333155
REGER,Cyber-Vehicle,3,4.0488306776785965
REGER,Cyber-Vehicle,4,4.024211602774937
REGER,Cyber-Vehicle,5,3.912190665556064
REGER,Cyber-Vehicle,6,3.8274493309849906
REGER-Without-Reordering,Cyber-Vehicle,3,3.7902847920029163
REGER-Without-Reordering,Cyber-Vehicle,4,3.801070356350346
REGER-Without-Reordering,Cyber-Vehicle,5,3.69646347965168
REGER-Without-Reordering,Cyber-Vehicle,6,3.4625445897740783
REGER,EPM-Education,3,3.5483414415483416
REGER,EPM-Education,4,3.567633441909912
REGER,EPM-Education,5,3.5074596493842662
REGER,EPM-Education,6,3.4580630002682096
REGER-Without-Reordering,EPM-Education,3,3.404620262820031
REGER-Without-Reordering,EPM-Education,4,3.4170915738456014
REGER-Without-Reordering,EPM-Education,5,3.348813573487592
REGER-Without-Reordering,EPM-Education,6,3.2751662082684674
REGER,GW-Magnetic,3,4.2138895722209595
REGER,GW-Magnetic,4,4.205890750808214
REGER,GW-Magnetic,5,4.163274554973293
REGER,GW-Magnetic,6,4.057669640997686
REGER-Without-Reordering,GW-Magnetic,3,4.197256201529466
REGER-Without-Reordering,GW-Magnetic,4,4.188604925803197
REGER-Without-Reordering,GW-Magnetic,5,4.1423169385055045
REGER-Without-Reordering,GW-Magnetic,6,4.026673267935372
REGER,Metro-Traffic,3,4.281666370580921
REGER,Metro-Traffic,4,4.329886257733464
REGER,Metro-Traffic,5,4.328525407177093
REGER,Metro-Traffic,6,4.282760075965395
REGER-Without-Reordering,Metro-Traffic,3,4.281666370580921
REGER-Without-Reordering,Metro-Traffic,4,4.329886257733464
REGER-Without-Reordering,Metro-Traffic,5,4.328525407177093
REGER-Without-Reordering,Metro-Traffic,6,4.282760075965395
REGER,Nifty-Stocks,3,6.590093226253547
REGER,Nifty-Stocks,4,6.662020818555732
REGER,Nifty-Stocks,5,6.642330967531606
REGER,Nifty-Stocks,6,6.566470989721945
REGER-Without-Reordering,Nifty-Stocks,3,6.590093226253547
REGER-Without-Reordering,Nifty-Stocks,4,6.65783448373736
REGER-Without-Reordering,Nifty-Stocks,5,6.642330967531606
REGER-Without-Reordering,Nifty-Stocks,6,6.566470989721945
REGER,TH-Climate,3,7.1169332784128905
REGER,TH-Climate,4,7.234269790172352
REGER,TH-Climate,5,7.209823169271818
REGER,TH-Climate,6,7.101683837451406
REGER-Without-Reordering,TH-Climate,3,7.1169332784128905
REGER-Without-Reordering,TH-Climate,4,7.2329789935285556
REGER-Without-Reordering,TH-Climate,5,7.208343877167187
REGER-Without-Reordering,TH-Climate,6,7.0999616024574435
REGER,TY-Fuel,3,3.721168920166345
REGER,TY-Fuel,4,3.665573447093927
REGER,TY-Fuel,5,3.529830810329475
REGER,TY-Fuel,6,3.3438684497632414
REGER-Without-Reordering,TY-Fuel,3,3.6697700684764527
REGER-Without-Reordering,TY-Fuel,4,3.6093895117672417
REGER-Without-Reordering,TY-Fuel,5,3.449055947098234
REGER-Without-Reordering,TY-Fuel,6,3.2047343401351753
REGER,TY-Transport,3,6.9403679723536005
REGER,TY-Transport,4,7.029831576393102
REGER,TY-Transport,5,7.001158067969248
REGER,TY-Transport,6,6.87925337810797
REGER-Without-Reordering,TY-Transport,3,6.789626473874995
REGER-Without-Reordering,TY-Transport,4,6.878996557687219
REGER-Without-Reordering,TY-Transport,5,6.856834119427153
REGER-Without-Reordering,TY-Transport,6,6.763711942393483
REGER,USGS-Earthquakes,3,3.3947938493459193
REGER,USGS-Earthquakes,4,3.3987827704861076
REGER,USGS-Earthquakes,5,3.391926860006414
REGER,USGS-Earthquakes,6,3.353922952989453
REGER-Without-Reordering,USGS-Earthquakes,3,3.081066526675868
REGER-Without-Reordering,USGS-Earthquakes,4,3.0526089728532604
REGER-Without-Reordering,USGS-Earthquakes,5,2.8917349303376785
REGER-Without-Reordering,USGS-Earthquakes,6,2.623360594280969
REGER,Vehicle-Charge,3,2.32973065705953
REGER,Vehicle-Charge,4,2.3511080332409975
REGER,Vehicle-Charge,5,2.347044590390598
REGER,Vehicle-Charge,6,2.3257407090255184
REGER-Without-Reordering,Vehicle-Charge,3,2.2657879369316762
REGER-Without-Reordering,Vehicle-Charge,4,2.266733433483559
REGER-Without-Reordering,Vehicle-Charge,5,2.2309840643995402
REGER-Without-Reordering,Vehicle-Charge,6,2.1995464852607713
REGER,YZ-Electricity,3,3.4881794650560827
REGER,YZ-Electricity,4,3.5781740939062705
REGER,YZ-Electricity,5,3.5813438455064888
REGER,YZ-Electricity,6,3.555829192136858
REGER-Without-Reordering,YZ-Electricity,3,3.4881794650560827
REGER-Without-Reordering,YZ-Electricity,4,3.5781740939062705
REGER-Without-Reordering,YZ-Electricity,5,3.5813438455064888
REGER-Without-Reordering,YZ-Electricity,6,3.555829192136858
