Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Segment Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,144261800,0,99999,255170.0,6,0.3189656896568966
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,134023400,100,99999,247454.0,6,0.3093205932059321
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-Without-Reordering,45659200,100,25224,64674.0,6,0.32049833491912466
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,164832200,100,99999,247784.0,5,0.3097330973309733
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,136022000,0,99999,241452.0,5,0.3018180181801818
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-Without-Reordering,33063900,0,25224,62670.0,5,0.3105673168411037
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,115914100,100,99999,243318.0,4,0.30415054150541504
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,151595200,0,99999,238212.0,4,0.2977679776797768
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-Without-Reordering,31572900,0,25224,61534.0,4,0.30493775769108783
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,REGER-Without-Reordering,125095600,0,99999,243970.0,3,0.30496554965549655
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,REGER-Without-Reordering,119904400,0,99999,239647.0,3,0.2995617456174562
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_2.csv,REGER-Without-Reordering,32230700,0,25224,61595.0,3,0.3052400491595306
