Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Segment Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-Without-Reordering,3500400,0,3706,6940.0,6,0.2340798704803022
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-Without-Reordering,3697400,0,3707,6870.0,6,0.23165632586997573
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-Without-Reordering,4120000,100,3710,6936.0,6,0.23369272237196764
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-Without-Reordering,3912300,0,3710,6904.0,6,0.2326145552560647
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-Without-Reordering,4040300,0,3710,6556.0,6,0.22088948787061993
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-Without-Reordering,5170300,0,3706,6832.0,5,0.23043712898003238
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-Without-Reordering,3818800,0,3707,6774.0,5,0.2284192069058538
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-Without-Reordering,3834700,0,3710,6838.0,5,0.2303908355795148
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-Without-Reordering,4532900,0,3710,6804.0,5,0.22924528301886793
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-Without-Reordering,3875200,100,3710,6452.0,5,0.2173854447439353
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-Without-Reordering,4098300,100,3706,6788.0,4,0.22895304910955208
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-Without-Reordering,6548000,0,3707,6726.0,4,0.22680064742379283
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-Without-Reordering,4363300,100,3710,6788.0,4,0.22870619946091644
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-Without-Reordering,5372500,0,3710,6750.0,4,0.22742587601078168
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-Without-Reordering,6912700,0,3710,6394.0,4,0.21543126684636119
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,REGER-Without-Reordering,5136900,100,3706,6834.0,3,0.2305045871559633
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,REGER-Without-Reordering,7627000,0,3707,6796.0,3,0.22916104666846507
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,REGER-Without-Reordering,4794000,0,3710,6788.0,3,0.22870619946091644
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-Without-Reordering,3798600,0,3710,6801.0,3,0.22914420485175202
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-Without-Reordering,3416200,0,3710,6463.0,3,0.21775606469002695
