Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,PLAIN,UNCOMPRESSED,17352300,8981700,100000,400000.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,TS_2DIFF,UNCOMPRESSED,19160100,8900000,100000,62028.0,0.15507
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,RLE,UNCOMPRESSED,69105400,15387500,100000,237902.0,0.594755
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,SPRINTZ,UNCOMPRESSED,71697400,22299400,100000,95249.0,0.2381225
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,GORILLA,UNCOMPRESSED,31646800,21155900,100000,249423.0,0.6235575
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,RLBE,UNCOMPRESSED,1043646300,41849400,100000,107216.0,0.26804
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,RAKE,UNCOMPRESSED,166456300,23400,100000,428870.0,1.072175
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,CHIMP,UNCOMPRESSED,17228400,12572400,100000,127127.0,0.3178175
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,0,BUFF,UNCOMPRESSED,45979700,32042600,100000,237516.0,0.59379
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,PLAIN,UNCOMPRESSED,28221600,13968900,100000,400000.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,TS_2DIFF,UNCOMPRESSED,30716000,11504900,100000,173655.0,0.4341375
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,RLE,UNCOMPRESSED,65615100,8757700,100000,150379.0,0.3759475
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,SPRINTZ,UNCOMPRESSED,45659600,27015400,100000,169910.0,0.424775
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,GORILLA,UNCOMPRESSED,15586700,9019800,100000,157468.0,0.39367
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,RLBE,UNCOMPRESSED,1687023800,76352500,100000,289403.0,0.7235075
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,RAKE,UNCOMPRESSED,109077400,11100,100000,200638.0,0.501595
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,CHIMP,UNCOMPRESSED,11689500,12828500,100000,117089.0,0.2927225
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\CS-Sensors\test.csv,1,BUFF,UNCOMPRESSED,24260400,15554800,100000,150016.0,0.37504
