Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,PLAIN,UNCOMPRESSED,755400,136300,7280,29120.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,TS_2DIFF,UNCOMPRESSED,201799,129500,7280,8375.0,0.28760302197802196
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,RLE,UNCOMPRESSED,377800,165301,7280,28244.0,0.9699175824175824
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,SPRINTZ,UNCOMPRESSED,1822599,290001,7280,10345.0,0.3552541208791209
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,GORILLA,UNCOMPRESSED,509200,275200,7280,13662.0,0.4691620879120879
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,RLBE,UNCOMPRESSED,40782801,378400,7280,9204.0,0.31607142857142856
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,RAKE,UNCOMPRESSED,4133000,3100,7280,39925.0,1.3710508241758241
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,CHIMP,UNCOMPRESSED,460600,191300,7280,9714.0,0.3335851648351648
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,0,BUFF,UNCOMPRESSED,1399700,285501,7280,17306.0,0.5942994505494505
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,PLAIN,UNCOMPRESSED,793901,71701,7280,29120.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,TS_2DIFF,UNCOMPRESSED,153000,128499,7280,10752.0,0.36923076923076925
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,RLE,UNCOMPRESSED,329600,109200,7280,6771.0,0.2325206043956044
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,SPRINTZ,UNCOMPRESSED,1441801,175100,7280,8531.0,0.29296016483516485
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,GORILLA,UNCOMPRESSED,239000,114500,7280,6682.0,0.2294642857142857
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,RLBE,UNCOMPRESSED,38225600,495799,7280,14939.0,0.5130151098901099
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,RAKE,UNCOMPRESSED,6302000,2799,7280,21735.0,0.7463942307692307
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,CHIMP,UNCOMPRESSED,624600,644300,7280,8564.0,0.2940934065934066
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle0.csv,1,BUFF,UNCOMPRESSED,1185000,374300,7280,9116.0,0.31304945054945055
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle1.csv,0,PLAIN,UNCOMPRESSED,943900,84700,7280,29120.0,1.0
