Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,PLAIN,UNCOMPRESSED,8007600,709800,99999,399996.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,TS_2DIFF,UNCOMPRESSED,1418600,1089000,99999,36178.0,0.09044590445904459
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,RLE,UNCOMPRESSED,3507400,1380201,99999,376050.0,0.9401344013440135
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,SPRINTZ,UNCOMPRESSED,15739600,1534000,99999,82055.0,0.20513955139551396
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,GORILLA,UNCOMPRESSED,2253901,1258300,99999,74746.0,0.18686686866868668
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,RLBE,UNCOMPRESSED,62850500,3946100,99999,22246.0,0.05561555615556155
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,RAKE,UNCOMPRESSED,94427400,5600,99999,607610.0,1.519040190401904
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,CHIMP,UNCOMPRESSED,19641500,7347100,99999,116681.0,0.2917054170541705
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,0,BUFF,UNCOMPRESSED,31328000,4202799,99999,262514.0,0.6562915629156292
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,PLAIN,UNCOMPRESSED,9509600,1471500,99999,399996.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,TS_2DIFF,UNCOMPRESSED,3155700,2685300,99999,189491.0,0.47373223732237324
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,RLE,UNCOMPRESSED,6907101,2241300,99999,212091.0,0.5302328023280233
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,SPRINTZ,UNCOMPRESSED,20703800,4404201,99999,156129.0,0.3903264032640326
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,GORILLA,UNCOMPRESSED,7796000,3000000,99999,217679.0,0.5442029420294203
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,RLBE,UNCOMPRESSED,653023600,26440100,99999,330488.0,0.8262282622826228
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,RAKE,UNCOMPRESSED,143928699,5400,99999,250118.0,0.6253012530125301
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,CHIMP,UNCOMPRESSED,33788000,7776699,99999,151497.0,0.37874628746287464
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_0.csv,1,BUFF,UNCOMPRESSED,84833199,17214900,99999,212514.0,0.531290312903129
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,PLAIN,UNCOMPRESSED,11401700,2499700,99999,399996.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,TS_2DIFF,UNCOMPRESSED,3246300,2141700,99999,33730.0,0.08432584325843258
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,RLE,UNCOMPRESSED,16978900,1593900,99999,352419.0,0.8810563105631056
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,SPRINTZ,UNCOMPRESSED,32622900,3498300,99999,80988.0,0.2024720247202472
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,GORILLA,UNCOMPRESSED,17791799,4808900,99999,93448.0,0.23362233622336223
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,RLBE,UNCOMPRESSED,58773300,3515300,99999,20147.0,0.0503680036800368
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,RAKE,UNCOMPRESSED,75874899,4400,99999,567257.0,1.4181566815668156
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,CHIMP,UNCOMPRESSED,5405900,3103199,99999,114788.0,0.2869728697286973
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,0,BUFF,UNCOMPRESSED,17911299,3904199,99999,287514.0,0.7187921879218793
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,1,PLAIN,UNCOMPRESSED,12992500,1811300,99999,399996.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,1,TS_2DIFF,UNCOMPRESSED,3625700,5635100,99999,182650.0,0.456629566295663
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,1,RLE,UNCOMPRESSED,4766500,1421499,99999,212902.0,0.532260322603226
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,1,SPRINTZ,UNCOMPRESSED,16955701,2002900,99999,155559.0,0.38890138901389015
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\EPM-Education\epm_1.csv,1,GORILLA,UNCOMPRESSED,4798100,1471300,99999,227051.0,0.5676331763317634
