Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,PLAIN,UNCOMPRESSED,1976800,184700,18353,73412.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,TS_2DIFF,UNCOMPRESSED,380700,325000,18353,21582.0,0.2939846346646325
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,RLE,UNCOMPRESSED,837600,377300,18353,71223.0,0.9701819865961968
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,SPRINTZ,UNCOMPRESSED,4190100,405300,18353,29005.0,0.39509889391380154
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,GORILLA,UNCOMPRESSED,1467400,445100,18353,46505.0,0.6334795401296791
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,RLBE,UNCOMPRESSED,7830200,622000,18353,17279.0,0.23537023919795128
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,RAKE,UNCOMPRESSED,12434400,2300,18353,119474.0,1.6274451043426144
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,CHIMP,UNCOMPRESSED,1282100,624000,18353,30984.0,0.4220563395630142
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,0,BUFF,UNCOMPRESSED,4243100,1017000,18353,66546.0,0.906473056176102
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,1,PLAIN,UNCOMPRESSED,1746700,160400,18353,73412.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic0.csv,1,TS_2DIFF,UNCOMPRESSED,338100,266200,18353,16705.0,0.2275513540020705
