Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,PLAIN,UNCOMPRESSED,7289500,1297000,48203,192812.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,TS_2DIFF,UNCOMPRESSED,2562800,1727400,48203,79008.0,0.4097670269485302
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,RLE,UNCOMPRESSED,5391400,1942700,48203,187002.0,0.9698670207248512
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,SPRINTZ,UNCOMPRESSED,13454300,2473700,48203,103084.0,0.5346347737692675
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,GORILLA,UNCOMPRESSED,4291300,1906000,48203,125104.0,0.6488392838620003
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,RLBE,UNCOMPRESSED,167812600,5179800,48203,76719.0,0.3978953592100077
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,RAKE,UNCOMPRESSED,73014500,2700,48203,285515.0,1.480794763811381
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,CHIMP,UNCOMPRESSED,14309200,3031500,48203,101793.0,0.527939132419144
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,0,BUFF,UNCOMPRESSED,50681700,3837400,48203,168727.0,0.8750855755865817
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,PLAIN,UNCOMPRESSED,4907200,817000,48203,192812.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,TS_2DIFF,UNCOMPRESSED,1814100,1726900,48203,83643.0,0.4338059871792212
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,RLE,UNCOMPRESSED,7648100,4537300,48203,78534.0,0.407308673734
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,SPRINTZ,UNCOMPRESSED,13342900,2373800,48203,79060.0,0.41003671970624234
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,GORILLA,UNCOMPRESSED,4325300,1840400,48203,77013.0,0.39942016057091884
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,RLBE,UNCOMPRESSED,460784300,4958600,48203,140402.0,0.7281808186212476
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,RAKE,UNCOMPRESSED,63405500,4100,48203,155049.0,0.8041460075099061
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,CHIMP,UNCOMPRESSED,3515400,1808500,48203,83765.0,0.4344387278800075
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Metro-Traffic\syndata_metro.csv,1,BUFF,UNCOMPRESSED,13538300,2532400,48203,78346.0,0.4063336306868867
