Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,PLAIN,UNCOMPRESSED,342401,32801,3706,14824.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,TS_2DIFF,UNCOMPRESSED,88500,72000,3706,8898.0,0.6002428494333514
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,RLE,UNCOMPRESSED,144400,67300,3706,14403.0,0.9716001079330815
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,SPRINTZ,UNCOMPRESSED,730400,89200,3706,10396.0,0.7012951969778737
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,GORILLA,UNCOMPRESSED,287400,75501,3706,10756.0,0.7255801403130059
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,RLBE,UNCOMPRESSED,10656300,359900,3706,9825.0,0.6627765785213168
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,RAKE,UNCOMPRESSED,3295201,4701,3706,20578.0,1.3881543443065298
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,CHIMP,UNCOMPRESSED,405100,140200,3706,13619.0,0.918712898003238
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,0,BUFF,UNCOMPRESSED,1021100,307700,3706,13451.0,0.907379924446843
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,PLAIN,UNCOMPRESSED,386499,54800,3706,14824.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,TS_2DIFF,UNCOMPRESSED,102700,95800,3706,3426.0,0.2311117107393416
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,RLE,UNCOMPRESSED,248700,102900,3706,5123.0,0.34558823529411764
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,SPRINTZ,UNCOMPRESSED,796900,201500,3706,3414.0,0.23030221262817052
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,GORILLA,UNCOMPRESSED,218200,86900,3706,5204.0,0.3510523475445224
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,RLBE,UNCOMPRESSED,20747200,497500,3706,10354.0,0.6984619535887749
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,RAKE,UNCOMPRESSED,4488500,3300,3706,10139.0,0.6839584457636265
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,CHIMP,UNCOMPRESSED,344801,242299,3706,4466.0,0.30126821370750134
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks0.csv,1,BUFF,UNCOMPRESSED,564200,228799,3706,5112.0,0.3448461953588775
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,PLAIN,UNCOMPRESSED,380700,36500,3707,14828.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,TS_2DIFF,UNCOMPRESSED,90800,80300,3707,8900.0,0.6002158079309414
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,RLE,UNCOMPRESSED,158600,76500,3707,14403.0,0.9713380091718371
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,SPRINTZ,UNCOMPRESSED,797000,95300,3707,10388.0,0.7005664958187213
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,GORILLA,UNCOMPRESSED,303199,106001,3707,10757.0,0.7254518478554087
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,RLBE,UNCOMPRESSED,14886800,423801,3707,9827.0,0.6627326679255463
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,RAKE,UNCOMPRESSED,3854300,4199,3707,20584.0,1.388184515780955
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,CHIMP,UNCOMPRESSED,616500,269500,3707,13623.0,0.9187348260048557
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,BUFF,UNCOMPRESSED,1388601,340499,3707,13454.0,0.9073374696520097
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,PLAIN,UNCOMPRESSED,417899,67501,3707,14828.0,1.0
