Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,PLAIN,UNCOMPRESSED,2858700,274100,29730,118920.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,TS_2DIFF,UNCOMPRESSED,639700,532500,29730,44523.0,0.37439455095862767
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,RLE,UNCOMPRESSED,1541400,818700,29730,115349.0,0.969971409350824
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,SPRINTZ,UNCOMPRESSED,6371500,1067800,29730,45828.0,0.38536831483350154
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,GORILLA,UNCOMPRESSED,2072800,569900,29730,68939.0,0.5797090480995627
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,RLBE,UNCOMPRESSED,28397500,941800,29730,26256.0,0.22078708375378406
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,RAKE,UNCOMPRESSED,25810300,3300,29730,205075.0,1.7244786411032627
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,CHIMP,UNCOMPRESSED,1932900,1157100,29730,45267.0,0.38065085771947527
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,0,BUFF,UNCOMPRESSED,6301200,1802600,29730,85490.0,0.718886646485032
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,PLAIN,UNCOMPRESSED,2643100,414100,29730,118920.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,TS_2DIFF,UNCOMPRESSED,774800,744700,29730,28100.0,0.23629330642448704
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,RLE,UNCOMPRESSED,2194400,707100,29730,21947.0,0.18455264043054154
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,SPRINTZ,UNCOMPRESSED,5458200,1046400,29730,22947.0,0.19296165489404643
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,GORILLA,UNCOMPRESSED,913000,786800,29730,23750.0,0.19971409350824085
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,RLBE,UNCOMPRESSED,149332800,3298200,29730,62677.0,0.5270517995290952
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,RAKE,UNCOMPRESSED,29614100,3100,29730,54859.0,0.46131012445341407
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,CHIMP,UNCOMPRESSED,1679100,1061300,29730,32443.0,0.2728136562394887
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel0.csv,1,BUFF,UNCOMPRESSED,2545300,1445300,29730,26030.0,0.21888664648503195
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,PLAIN,UNCOMPRESSED,2876700,432200,29730,118920.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,TS_2DIFF,UNCOMPRESSED,981000,852300,29730,44523.0,0.37439455095862767
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,RLE,UNCOMPRESSED,1841700,910300,29730,115349.0,0.969971409350824
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,SPRINTZ,UNCOMPRESSED,7088200,1093000,29730,45828.0,0.38536831483350154
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,GORILLA,UNCOMPRESSED,2051600,955300,29730,68939.0,0.5797090480995627
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,RLBE,UNCOMPRESSED,49267800,1642999,29730,26256.0,0.22078708375378406
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,RAKE,UNCOMPRESSED,26455399,3000,29730,205075.0,1.7244786411032627
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,CHIMP,UNCOMPRESSED,1840200,688101,29730,45267.0,0.38065085771947527
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,BUFF,UNCOMPRESSED,10790200,1674600,29730,85490.0,0.718886646485032
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,PLAIN,UNCOMPRESSED,2469800,228700,29730,118920.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,TS_2DIFF,UNCOMPRESSED,538800,409000,29730,37690.0,0.31693575512949884
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,RLE,UNCOMPRESSED,2150500,782200,29730,30311.0,0.25488563740329634
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,SPRINTZ,UNCOMPRESSED,6714601,678400,29730,32162.0,0.2704507231752439
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,GORILLA,UNCOMPRESSED,964000,442400,29730,32286.0,0.27149344096871847
