Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,PLAIN,UNCOMPRESSED,3881200,372300,51222,204888.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,TS_2DIFF,UNCOMPRESSED,643700,548900,51222,20754.0,0.10129436570223732
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,RLE,UNCOMPRESSED,1794500,741200,51222,198701.0,0.9698030143297802
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,SPRINTZ,UNCOMPRESSED,8122200,826600,51222,43194.0,0.21081761743001054
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,GORILLA,UNCOMPRESSED,2021000,869400,51222,86040.0,0.41993674592948343
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,RLBE,UNCOMPRESSED,51332699,1422600,51222,15913.0,0.07766682284955682
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,RAKE,UNCOMPRESSED,43111400,3200,51222,390095.0,1.9039426418335872
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,CHIMP,UNCOMPRESSED,2658099,1534700,51222,65256.0,0.31849595876771697
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,0,BUFF,UNCOMPRESSED,5775600,1735999,51222,102460.0,0.5000780914450822
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,PLAIN,UNCOMPRESSED,5229600,500600,51222,204888.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,TS_2DIFF,UNCOMPRESSED,929200,800800,51222,41008.0,0.20014837374565617
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,RLE,UNCOMPRESSED,1965600,728800,51222,33595.0,0.16396763109601342
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,SPRINTZ,UNCOMPRESSED,10164101,1103399,51222,38340.0,0.1871266252782008
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,GORILLA,UNCOMPRESSED,1107699,778600,51222,25204.0,0.12301354886572176
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,RLBE,UNCOMPRESSED,215342000,2483800,51222,80723.0,0.39398598258560774
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,RAKE,UNCOMPRESSED,30289400,2299,51222,66159.0,0.3229032446995432
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,CHIMP,UNCOMPRESSED,1593000,861500,51222,53574.0,0.2614794424270821
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,1,BUFF,UNCOMPRESSED,2048900,717700,51222,38433.0,0.187580531802741
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,PLAIN,UNCOMPRESSED,3809200,361500,51222,204888.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,TS_2DIFF,UNCOMPRESSED,629699,529100,51222,20754.0,0.10129436570223732
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,RLE,UNCOMPRESSED,3013800,1374999,51222,198701.0,0.9698030143297802
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,SPRINTZ,UNCOMPRESSED,7946000,780801,51222,43194.0,0.21081761743001054
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,GORILLA,UNCOMPRESSED,1904200,781800,51222,86040.0,0.41993674592948343
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,RLBE,UNCOMPRESSED,56380599,1663001,51222,15913.0,0.07766682284955682
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,RAKE,UNCOMPRESSED,41698000,3100,51222,390095.0,1.9039426418335872
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,CHIMP,UNCOMPRESSED,3201300,1212999,51222,65256.0,0.31849595876771697
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,0,BUFF,UNCOMPRESSED,6385000,1555801,51222,102460.0,0.5000780914450822
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,PLAIN,UNCOMPRESSED,4383599,380300,51222,204888.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,TS_2DIFF,UNCOMPRESSED,1080501,1334399,51222,66825.0,0.3261538011010894
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,RLE,UNCOMPRESSED,2841700,932500,51222,57584.0,0.2810511108508063
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,SPRINTZ,UNCOMPRESSED,8896301,1013801,51222,63783.0,0.3113066651048378
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,GORILLA,UNCOMPRESSED,1546499,1476200,51222,48265.0,0.23556772480574753
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,RLBE,UNCOMPRESSED,284151000,3089000,51222,123366.0,0.6021143258756003
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,RAKE,UNCOMPRESSED,30510300,2701,51222,132091.0,0.6446985670219827
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,CHIMP,UNCOMPRESSED,2321799,1371000,51222,61616.0,0.3007301550115185
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,1,BUFF,UNCOMPRESSED,4540800,1111001,51222,57641.0,0.2813293116239116
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,PLAIN,UNCOMPRESSED,2795900,266201,29512,118048.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,TS_2DIFF,UNCOMPRESSED,485400,406500,29512,14813.0,0.12548285443209542
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,RLE,UNCOMPRESSED,1218199,528400,29512,114481.0,0.9697834779072919
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,SPRINTZ,UNCOMPRESSED,5692900,564900,29512,30542.0,0.2587252642992681
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,GORILLA,UNCOMPRESSED,1310100,606701,29512,44391.0,0.37604194903767957
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,RLBE,UNCOMPRESSED,118503099,1049900,29512,27192.0,0.2303469775006777
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,RAKE,UNCOMPRESSED,15923700,3300,29512,188974.0,1.6008233938736784
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,CHIMP,UNCOMPRESSED,1500100,783600,29512,37575.0,0.3183027243155327
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,0,BUFF,UNCOMPRESSED,4358900,1016099,29512,62729.0,0.5313855380862023
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,PLAIN,UNCOMPRESSED,3012300,296200,29512,118048.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,TS_2DIFF,UNCOMPRESSED,541800,472000,29512,24622.0,0.20857617240444565
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,RLE,UNCOMPRESSED,1130499,436999,29512,20647.0,0.17490342911358092
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,SPRINTZ,UNCOMPRESSED,5475300,552799,29512,22544.0,0.19097316345893195
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,GORILLA,UNCOMPRESSED,740600,426799,29512,24507.0,0.20760199240986718
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,RLBE,UNCOMPRESSED,125545901,1531100,29512,77503.0,0.6565380184331797
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,RAKE,UNCOMPRESSED,17274800,2201,29512,47263.0,0.4003710355109786
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,CHIMP,UNCOMPRESSED,903399,496300,29512,31309.0,0.26522262130658714
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,1,BUFF,UNCOMPRESSED,1258901,406900,29512,22150.0,0.18763553808620223
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,PLAIN,UNCOMPRESSED,2205400,209101,29512,118048.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,TS_2DIFF,UNCOMPRESSED,374900,330201,29512,14813.0,0.12548285443209542
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,RLE,UNCOMPRESSED,932100,406401,29512,114481.0,0.9697834779072919
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,SPRINTZ,UNCOMPRESSED,4502800,447801,29512,30542.0,0.2587252642992681
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,GORILLA,UNCOMPRESSED,1073300,441700,29512,44391.0,0.37604194903767957
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,RLBE,UNCOMPRESSED,115154300,1126501,29512,27192.0,0.2303469775006777
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,RAKE,UNCOMPRESSED,13664400,2000,29512,188974.0,1.6008233938736784
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,CHIMP,UNCOMPRESSED,1183699,577000,29512,37575.0,0.3183027243155327
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,0,BUFF,UNCOMPRESSED,3325200,760100,29512,62729.0,0.5313855380862023
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,PLAIN,UNCOMPRESSED,2206601,208600,29512,118048.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,TS_2DIFF,UNCOMPRESSED,450699,370900,29512,38812.0,0.328781512605042
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,RLE,UNCOMPRESSED,1017400,332099,29512,32930.0,0.2789543236649499
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,SPRINTZ,UNCOMPRESSED,4322900,514801,29512,37413.0,0.31693040119273513
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,GORILLA,UNCOMPRESSED,918799,371700,29512,39682.0,0.3361513960422879
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,RLBE,UNCOMPRESSED,157606800,2478700,29512,94566.0,0.8010809162374627
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,RAKE,UNCOMPRESSED,18205401,2400,29512,76384.0,0.6470588235294118
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,CHIMP,UNCOMPRESSED,1268700,728200,29512,37305.0,0.31601551911087017
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,1,BUFF,UNCOMPRESSED,2315300,546300,29512,33217.0,0.2813855380862022
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,PLAIN,UNCOMPRESSED,2818900,254200,34048,136192.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,TS_2DIFF,UNCOMPRESSED,465201,388100,34048,15487.0,0.11371446193609022
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,RLE,UNCOMPRESSED,1178600,497499,34048,132076.0,0.9697779605263158
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,SPRINTZ,UNCOMPRESSED,5454800,549400,34048,32506.0,0.23867774906015038
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,GORILLA,UNCOMPRESSED,1419100,549199,34048,61779.0,0.453616952537594
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,RLBE,UNCOMPRESSED,70873300,903900,34048,22163.0,0.16273349389097744
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,RAKE,UNCOMPRESSED,16325800,2900,34048,231060.0,1.6965754229323309
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,CHIMP,UNCOMPRESSED,1458900,859801,34048,43366.0,0.31841811560150374
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,0,BUFF,UNCOMPRESSED,4698000,896300,34048,72368.0,0.5313674812030075
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,1,PLAIN,UNCOMPRESSED,2671201,258400,34048,136192.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,1,TS_2DIFF,UNCOMPRESSED,476401,425300,34048,28779.0,0.21131197133458646
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,1,RLE,UNCOMPRESSED,976600,387800,34048,23491.0,0.17248443374060152
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,1,SPRINTZ,UNCOMPRESSED,5397599,569900,34048,26243.0,0.19269120065789475
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,1,GORILLA,UNCOMPRESSED,710600,736700,34048,23645.0,0.17361519031954886
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,1,RLBE,UNCOMPRESSED,147737899,2056199,34048,76894.0,0.5645999765037594
