Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,PLAIN,UNCOMPRESSED,12939700,641000,75809,303236.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,TS_2DIFF,UNCOMPRESSED,12351300,1386900,75809,115584.0,0.3811684628474192
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,RLE,UNCOMPRESSED,4960500,9444600,75809,294093.0,0.969848566792861
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,SPRINTZ,UNCOMPRESSED,18787200,2232700,75809,144272.0,0.47577464417153637
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,GORILLA,UNCOMPRESSED,12696700,1783300,75809,238045.0,0.7850156313894129
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,RLBE,UNCOMPRESSED,885964700,9146100,75809,139729.0,0.4607929137701328
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,RAKE,UNCOMPRESSED,114891900,3700,75809,463850.0,1.5296666622696513
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,CHIMP,UNCOMPRESSED,6102500,2772000,75809,138392.0,0.45638380667203104
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,0,BUFF,UNCOMPRESSED,14900200,5229000,75809,236920.0,0.7813056497249667
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,1,PLAIN,UNCOMPRESSED,6730000,583000,75809,303236.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,1,TS_2DIFF,UNCOMPRESSED,5340000,1417500,75809,82987.0,0.27367133189990633
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes0.csv,1,RLE,UNCOMPRESSED,4062000,2473200,75809,303190.0,0.9998483029719426
