order,value
1,999
2,999
3,999
4,999
5,999
6,999
7,999
8,140
9,2
10,56
11,999
12,999
13,999
14,999
15,999
16,999
17,999
18,999
19,110
20,140
21,69
22,140
23,999
24,999
25,999
26,999
27,999
28,999
29,999
30,999
31,999
32,999
33,999
34,999
35,999
36,999
37,999
38,999
39,999
40,999
41,265
42,303
43,160
44,999
45,999
46,112
47,255
48,214
49,89
50,113
51,87
52,169
53,147
54,101
55,20
56,15
57,263
58,247
59,153
60,123
61,0
62,8
63,405
64,0
65,172
66,132
67,0
68,12
69,465
70,0
71,121
72,281
73,156
74,157
75,0
76,63
77,56
78,20
79,61
80,38
81,60
82,38
83,69
84,74
85,11
86,7
87,0
88,20
89,999
90,999
91,999
92,999
93,999
94,268
95,127
96,132
97,33
98,62
99,0
100,103
101,8
102,27
103,999
104,999
105,999
106,312
107,0
108,170
109,147
110,125
111,55
112,999
113,999
114,999
115,8
116,217
117,120
118,31
119,32
120,68
121,0
122,999
123,170
124,153
125,77
126,35
127,999
128,999
129,999
130,0
131,0
132,295
133,0
134,0
135,999
136,644
137,0
138,999
139,276
140,999
141,0
142,277
143,10
144,86
145,0
146,167
147,0
148,999
149,999
150,466
151,999
152,999
153,999
154,999
155,999
156,113
157,999
158,999
159,999
160,999
161,999
162,999
163,999
164,999
165,999
166,999
167,468
168,416
169,999
170,999
171,999
172,999
173,999
174,999
175,999
176,999
177,999
178,999
179,999
180,999
181,999
182,999
183,999
184,999
185,999
186,999
187,999
188,999
189,999
190,999
191,999
192,999
193,999
194,999
195,999
196,999
197,999
198,999
199,999
200,999
201,999
202,999
203,999
204,999
205,999
206,999
207,999
208,999
209,999
210,999
211,999
212,999
213,999
214,999
215,999
216,999
217,299
218,292
219,347
220,243
221,115
222,0
223,999
224,999
225,999
226,999
227,999
228,999
229,999
230,999
231,999
232,999
233,999
234,999
235,999
236,999
237,999
238,999
239,999
240,999
241,999
242,999
243,999
244,999
245,999
246,999
247,999
248,999
249,999
250,999
251,999
252,999
253,999
254,999
255,999
256,999
257,999
258,999
259,999
260,999
261,999
262,999
263,999
264,999
265,999
266,999
267,999
268,999
269,999
270,999
271,999
272,999
273,999
274,999
275,999
276,999
277,999
278,999
279,999
280,999
281,999
282,999
283,999
284,999
285,999
286,999
287,999
288,999
289,999
290,999
291,999
292,999
293,999
294,999
295,999
296,999
297,999
298,999
299,999
300,999
301,999
302,999
303,999
304,999
305,999
306,999
307,999
308,999
309,999
310,999
311,999
312,999
313,999
314,999
315,999
316,999
317,999
318,999
319,999
320,269
321,999
322,360
323,267
324,339
325,84
326,366
327,310
328,257
329,165
330,48
331,999
332,999
333,999
334,999
335,999
336,999
337,999
338,999
339,999
340,999
341,999
342,999
343,106
344,233
345,126
346,34
347,999
348,999
349,86
350,8
351,999
352,0
353,0
354,100
355,153
356,127
357,0
358,0
359,999
360,999
361,999
362,999
363,158
364,17
365,0
366,999
367,999
368,84
369,339
370,119
371,61
372,77
373,5
374,999
375,999
376,999
377,999
378,443
379,199
380,141
381,155
382,0
383,37
384,51
385,9
386,137
387,149
388,117
389,28
390,999
391,999
392,359
393,108
394,7
395,0
396,56
397,7
398,82
399,86
400,8
401,236
402,24
403,22
404,51
405,52
406,103
407,0
408,7
409,15
410,999
411,999
412,136
413,13
414,51
415,34
416,0
417,42
418,24
419,38
420,999
421,999
422,0
423,999
424,999
425,999
426,287
427,249
428,163
429,56
430,999
431,181
432,156
433,122
434,114
435,0
436,999
437,139
438,127
439,0
440,20
441,390
442,339
443,263
444,170
445,0
446,31
447,0
448,125
449,106
450,4
451,9
452,999
453,999
454,999
455,999
456,999
457,999
458,999
459,999
460,999
461,999
462,999
463,999
464,999
465,999
466,999
467,999
468,999
469,69
470,144
471,158
472,0
473,48
474,999
475,999
476,999
477,999
478,999
479,999
480,999
481,999
482,999
483,999
484,999
485,999
486,172
487,0
488,999
489,999
490,999
491,999
492,999
493,999
494,999
495,999
496,999
497,999
498,999
499,999
500,999
501,999
502,999
503,999
504,999
505,999
506,16
507,999
508,0
509,133
510,81
511,132
512,120
513,4
514,16
515,170
516,157
517,127
518,121
519,44
520,0
521,66
522,102
523,10
524,0
525,999
526,999
527,30
528,248
529,139
530,0
531,0
532,105
533,0
534,83
535,61
536,37
537,8
538,65
539,65
540,38
541,66
542,66
543,23
544,65
545,0
546,6
547,14
548,38
549,999
550,0
551,4
552,0
553,125
554,52
555,14
556,95
557,19
558,31
559,124
560,7
561,17
562,999
563,999
564,999
565,999
566,120
567,68
568,73
569,0
570,999
571,184
572,64
573,74
574,54
575,5
576,9
577,17
578,999
579,200
580,171
581,2
582,0
583,999
584,999
585,999
586,999
587,152
588,169
589,43
590,42
591,45
592,17
593,21
594,999
595,0
596,169
597,1
598,999
599,0
600,0
601,161
602,100
603,0
604,53
605,314
606,0
607,140
608,123
609,78
610,71
611,16
612,999
613,999
614,169
615,46
616,162
617,21
618,0
619,18
620,999
621,999
622,142
623,285
624,51
625,63
626,0
627,120
628,91
629,71
630,87
631,70
632,44
633,104
634,9
635,22
636,999
637,999
638,999
639,999
640,999
641,0
642,255
643,152
644,11
645,129
646,109
647,74
648,6
649,0
650,11
651,7
652,167
653,126
654,0
655,130
656,999
657,999
658,999
659,999
660,999
661,999
662,999
663,999
664,999
665,999
666,999
667,999
668,999
669,999
670,999
671,999
672,999
673,999
674,999
675,999
676,999
677,999
678,999
679,999
680,999
681,999
682,999
683,999
684,999
685,999
686,999
687,999
688,999
689,999
690,999
691,999
692,999
693,999
694,999
695,999
696,999
697,999
698,999
699,999
700,999
701,999
702,999
703,999
704,999
705,999
706,999
707,999
708,999
709,999
710,999
711,999
712,999
713,999
714,999
715,999
716,999
717,999
718,999
719,999
720,999
721,999
722,999
723,999
724,999
725,999
726,999
727,999
728,999
729,999
730,999
731,999
732,999
733,999
734,999
735,999
736,999
737,999
738,999
739,999
740,999
741,999
742,999
743,999
744,999
745,999
746,999
747,999
748,999
749,999
750,999
751,999
752,999
753,999
754,999
755,999
756,999
757,999
758,999
759,999
760,999
761,999
762,999
763,999
764,999
765,999
766,999
767,999
768,999
769,999
770,999
771,999
772,999
773,999
774,999
775,999
776,999
777,999
778,999
779,999
780,999
781,999
782,999
783,999
784,999
785,999
786,999
787,999
788,999
789,999
790,999
791,999
792,999
793,999
794,999
795,999
796,999
797,999
798,999
799,999
800,999
801,999
802,999
803,999
804,999
805,999
806,999
807,999
808,999
809,999
810,999
811,999
812,999
813,999
814,999
815,999
816,999
817,999
818,999
819,999
820,999
821,999
822,999
823,999
824,999
825,999
826,999
827,999
828,102
829,32
830,61
831,54
832,999
833,999
834,248
835,168
836,29
837,10
838,999
839,0
840,83
841,32
842,58
843,42
844,0
845,0
846,43
847,33
848,10
849,0
850,8
851,13
852,999
853,384
854,5
855,999
856,999
857,999
858,999
859,999
860,136
861,76
862,99
863,0
864,137
865,24
866,120
867,2
868,0
869,10
870,111
871,131
872,33
873,0
874,54
875,62
876,0
877,8
878,999
879,999
880,206
881,133
882,0
883,0
884,38
885,242
886,0
887,8
888,999
889,999
890,999
891,999
892,999
893,999
894,136
895,24
896,20
897,46
898,45
899,7
900,999
901,999
902,999
903,139
904,121
905,28
906,23
907,33
908,8
909,0
910,45
911,1
912,0
913,30
914,8
915,28
916,0
917,59
918,0
919,999
920,433
921,90
922,94
923,21
924,0
925,20
926,71
927,0
928,0
929,14
930,3
931,6
932,22
933,52
934,39
935,18
936,36
937,0
938,0
939,0
940,999
941,0
942,999
943,999
944,68
945,6
946,999
947,999
948,0
949,101
950,1
951,129
952,35
953,0
954,59
955,10
956,999
957,999
958,999
959,27
960,155
961,32
962,201
963,145
964,0
965,0
966,64
967,62
968,0
969,0
970,22
971,999
972,999
973,999
974,999
975,67
976,23
977,999
978,999
979,999
980,999
981,999
982,999
983,999
984,999
985,999
986,999
987,999
988,999
989,999
990,999
991,999
992,999
993,51
994,999
995,999
996,999
997,999
998,999
999,999
1000,999
1001,999
1002,999
1003,999
1004,999
1005,999
1006,999
1007,0
1008,999
1009,999
1010,999
1011,999
1012,999
1013,999
1014,42
1015,999
1016,999
1017,999
1018,999
1019,999
1020,999
1021,999
1022,999
1023,999
1024,999
1025,999
1026,999
1027,999
1028,999
1029,999
1030,999
1031,999
1032,999
1033,999
1034,999
1035,999
1036,999
1037,999
1038,999
1039,999
1040,83
1041,116
1042,46
1043,999
1044,999
1045,999
1046,999
1047,999
1048,999
1049,999
1050,999
1051,999
1052,999
1053,999
1054,999
1055,999
1056,999
1057,48
1058,999
1059,999
1060,62
1061,999
1062,999
1063,999
1064,999
1065,999
1066,999
1067,999
1068,999
1069,999
1070,999
1071,999
1072,999
1073,257
1074,165
1075,171
1076,999
1077,999
1078,999
1079,181
1080,142
1081,39
1082,131
1083,154
1084,107
1085,62
1086,0
1087,154
1088,270
1089,0
1090,999
1091,361
1092,14
1093,130
1094,90
1095,0
1096,6
1097,999
1098,999
1099,0
1100,68
1101,0
1102,0
1103,10
1104,37
1105,999
1106,999
1107,127
1108,130
1109,111
1110,67
1111,81
1112,0
1113,42
1114,12
1115,0
1116,33
1117,63
1118,78
1119,16
1120,106
1121,52
1122,0
1123,9
1124,364
1125,260
1126,125
1127,146
1128,143
1129,0
1130,91
1131,73
1132,8
1133,126
1134,5
1135,16
1136,15
1137,31
1138,999
1139,999
1140,999
1141,999
1142,309
1143,11
1144,155
1145,130
1146,125
1147,103
1148,0
1149,0
1150,9
1151,71
1152,28
1153,55
1154,7
1155,11
1156,999
1157,999
1158,999
1159,0
1160,271
1161,0
1162,999
1163,600
1164,0
1165,169
1166,0
1167,32
1168,115
1169,0
1170,77
1171,0
1172,11
1173,999
1174,0
1175,32
1176,999
1177,999
1178,999
1179,999
1180,432
1181,172
1182,153
1183,110
1184,0
1185,35
1186,212
1187,999
1188,170
1189,6
1190,22
1191,999
1192,999
1193,257
1194,65
1195,0
1196,13
1197,999
1198,999
1199,0
1200,132
1201,0
1202,103
1203,105
1204,0
1205,65
1206,14
1207,999
1208,0
1209,132
1210,67
1211,0
1212,0
1213,319
1214,92
1215,0
1216,284
1217,151
1218,74
1219,0
1220,84
1221,0
1222,214
1223,169
1224,130
1225,121
1226,31
1227,0
1228,7
1229,18
1230,999
1231,999
1232,238
1233,999
1234,0
1235,17
1236,266
1237,49
1238,160
1239,42
1240,7
1241,35
1242,0
1243,67
1244,111
1245,0
1246,370
1247,0
1248,233
1249,0
1250,89
1251,61
1252,28
1253,999
1254,999
1255,999
1256,999
1257,999
1258,999
1259,999
1260,999
1261,999
1262,999
1263,73
1264,999
1265,266
1266,999
1267,999
1268,999
1269,999
1270,999
1271,999
1272,999
1273,999
1274,999
1275,999
1276,999
1277,999
1278,999
1279,999
1280,999
1281,999
1282,999
1283,999
1284,999
1285,999
1286,999
1287,999
1288,999
1289,999
1290,999
1291,999
1292,999
1293,999
1294,999
1295,999
1296,999
1297,999
1298,999
1299,999
1300,999
1301,999
1302,999
1303,999
1304,999
1305,999
1306,999
1307,999
1308,999
1309,999
1310,999
1311,999
1312,999
1313,999
1314,999
1315,999
1316,999
1317,999
1318,999
1319,999
1320,999
1321,999
1322,999
1323,999
1324,999
1325,999
1326,999
1327,999
1328,999
1329,999
1330,999
1331,47
1332,182
1333,140
1334,80
1335,29
1336,46
1337,48
1338,44
1339,999
1340,175
1341,92
1342,12
1343,21
1344,138
1345,0
1346,3
1347,0
1348,47
1349,0
1350,130
1351,0
1352,53
1353,75
1354,36
1355,0
1356,35
1357,46
1358,999
1359,162
1360,0
1361,0
1362,61
1363,0
1364,68
1365,36
1366,999
1367,999
1368,30
1369,68
1370,68
1371,68
1372,108
1373,0
1374,10
1375,999
1376,999
1377,211
1378,139
1379,113
1380,0
1381,67
1382,3
1383,0
1384,999
1385,999
1386,999
1387,0
1388,113
1389,7
1390,13
1391,999
1392,999
1393,999
1394,119
1395,144
1396,17
1397,70
1398,0
1399,999
1400,999
1401,0
1402,999
1403,214
1404,15
1405,124
1406,66
1407,11
1408,999
1409,0
1410,0
1411,60
1412,10
1413,21
1414,999
1415,0
1416,3
1417,48
1418,5
1419,12
1420,999
1421,999
1422,999
1423,999
1424,999
1425,48
1426,34
1427,43
1428,32
1429,25
1430,999
1431,31
1432,11
1433,46
1434,26
1435,44
1436,63
1437,18
1438,40
1439,18
1440,37
1441,55
1442,16
1443,13
1444,8
1445,9
1446,73
1447,25
1448,34
1449,267
1450,221
1451,109
1452,6
1453,27
1454,21
1455,8
1456,10
1457,46
1458,999
1459,999
1460,142
1461,123
1462,999
1463,171
1464,135
1465,70
1466,0
1467,53
1468,76
1469,1
1470,103
1471,82
1472,3
1473,42
1474,999
1475,999
1476,999
1477,999
1478,999
1479,999
1480,999
1481,999
1482,999
1483,999
1484,999
1485,999
1486,999
1487,999
1488,999
1489,999
1490,999
1491,999
1492,999
1493,999
1494,999
1495,999
1496,76
1497,184
1498,134
1499,198
1500,999
1501,999
1502,999
1503,999
1504,999
1505,999
1506,999
1507,999
1508,999
1509,999
1510,999
1511,999
1512,999
1513,85
1514,62
1515,999
1516,149
1517,119
1518,153
1519,1
1520,999
1521,999
1522,999
1523,999
1524,999
1525,999
1526,47
1527,999
1528,96
1529,98
1530,999
1531,999
1532,999
1533,999
1534,999
1535,999
1536,999
1537,999
1538,999
1539,999
1540,999
1541,999
1542,999
1543,999
1544,318
1545,999
1546,999
1547,285
1548,64
1549,134
1550,98
1551,0
1552,167
1553,25
1554,999
1555,392
1556,131
1557,163
1558,158
1559,0
1560,46
1561,5
1562,8
1563,13
1564,38
1565,999
1566,265
1567,32
1568,0
1569,78
1570,0
1571,152
1572,123
1573,51
1574,51
1575,52
1576,2
1577,18
1578,35
1579,0
1580,4
1581,0
1582,90
1583,87
1584,15
1585,37
1586,35
1587,24
1588,68
1589,0
1590,5
1591,8
1592,4
1593,171
1594,156
1595,122
1596,121
1597,7
1598,11
1599,23
1600,252
1601,113
1602,158
1603,125
1604,8
1605,28
1606,999
1607,999
1608,244
1609,0
1610,41
1611,131
1612,0
1613,38
1614,999
1615,999
1616,157
1617,129
1618,40
1619,54
1620,6
1621,5
1622,15
1623,26
1624,438
1625,11
1626,72
1627,0
1628,130
1629,17
1630,0
1631,46
1632,0
1633,9
1634,999
1635,378
1636,170
1637,123
1638,125
1639,123
1640,100
1641,11
1642,29
1643,0
1644,175
1645,999
1646,999
1647,999
1648,999
1649,86
1650,287
1651,70
1652,60
1653,0
1654,352
1655,276
1656,86
1657,0
1658,48
1659,5
1660,999
1661,410
1662,157
1663,84
1664,9
1665,60
1666,94
1667,52
1668,51
1669,72
1670,0
1671,69
1672,132
1673,0
1674,168
1675,120
1676,152
1677,33
1678,72
1679,112
1680,11
1681,190
1682,237
1683,233
1684,0
1685,218
1686,149
1687,0
1688,32
1689,145
1690,0
1691,87
1692,186
1693,0
1694,5
1695,22
1696,999
1697,999
1698,999
1699,999
1700,999
1701,999
1702,999
1703,999
1704,999
1705,999
1706,999
1707,999
1708,999
1709,999
1710,999
1711,999
1712,999
1713,999
1714,999
1715,999
1716,999
1717,999
1718,999
1719,999
1720,999
1721,999
1722,999
1723,999
1724,999
1725,999
1726,999
1727,999
1728,999
1729,999
1730,999
1731,999
1732,999
1733,999
1734,999
1735,999
1736,999
1737,999
1738,999
1739,999
1740,999
1741,999
1742,999
1743,999
1744,999
1745,999
1746,999
1747,999
1748,999
1749,999
1750,999
1751,999
1752,999
1753,999
1754,999
1755,999
1756,999
1757,999
1758,49
1759,999
1760,999
1761,999
1762,999
1763,999
1764,999
1765,999
1766,999
1767,999
1768,999
1769,999
1770,999
1771,999
1772,999
1773,999
1774,999
1775,999
1776,999
1777,999
1778,999
1779,999
1780,999
1781,999
1782,999
1783,999
1784,999
1785,999
1786,999
1787,999
1788,999
1789,999
1790,999
1791,999
1792,999
1793,999
1794,999
1795,999
1796,999
1797,999
1798,999
1799,999
1800,999
1801,999
1802,999
1803,999
1804,999
1805,999
1806,999
1807,999
1808,999
1809,999
1810,999
1811,999
1812,999
1813,999
1814,999
1815,999
1816,999
1817,999
1818,999
1819,999
1820,999
1821,999
1822,999
1823,999
1824,999
1825,999
1826,999
1827,999
1828,999
1829,999
1830,999
1831,999
1832,999
1833,999
1834,999
1835,999
1836,999
1837,999
1838,999
1839,999
1840,999
1841,999
1842,999
1843,999
1844,999
1845,999
1846,999
1847,999
1848,999
1849,999
1850,999
1851,999
1852,999
1853,999
1854,33
1855,55
1856,999
1857,999
1858,999
1859,999
1860,999
1861,999
1862,999
1863,999
1864,999
1865,999
1866,999
1867,999
1868,999
1869,999
1870,999
1871,999
1872,91
1873,999
1874,999
1875,999
1876,0
1877,49
1878,12
1879,999
1880,99
1881,0
1882,55
1883,3
1884,15
1885,0
1886,999
1887,999
1888,999
1889,999
1890,999
1891,999
1892,999
1893,999
1894,999
1895,999
1896,999
1897,999
1898,999
1899,999
1900,999
1901,999
1902,999
1903,999
1904,999
1905,999
1906,999
1907,999
1908,999
1909,999
1910,999
1911,999
1912,999
1913,999
1914,999
1915,999
1916,999
1917,999
1918,999
1919,999
1920,999
1921,999
1922,999
1923,999
1924,999
1925,999
1926,999
1927,999
1928,999
1929,999
1930,999
1931,999
1932,999
1933,999
1934,999
1935,999
1936,999
1937,999
1938,999
1939,38
1940,43
1941,999
1942,36
1943,29
1944,47
1945,33
1946,32
1947,999
1948,35
1949,190
1950,0
1951,128
1952,12
1953,50
1954,32
1955,0
1956,72
1957,0
1958,29
1959,17
1960,0
1961,42
1962,60
1963,0
1964,0
1965,102
1966,115
1967,24
1968,78
1969,60
1970,78
1971,0
1972,0
1973,81
1974,68
1975,50
1976,23
1977,37
1978,0
1979,73
1980,35
1981,6
1982,30
1983,999
1984,999
1985,999
1986,114
1987,0
1988,999
1989,999
1990,999
1991,64
1992,155
1993,0
1994,999
1995,999
1996,999
1997,198
1998,171
1999,0
2000,19
2001,999
2002,157
2003,5
2004,0
2005,142
2006,54
2007,0
2008,0
2009,0
2010,8
2011,50
2012,999
2013,999
2014,0
2015,103
2016,24
2017,20
2018,13
2019,47
2020,0
2021,56
2022,38
2023,30
2024,999
2025,999
2026,999
2027,36
2028,0
2029,94
2030,0
2031,32
2032,63
2033,43
2034,32
2035,55
2036,999
2037,999
2038,90
2039,0
2040,59
2041,24
2042,31
2043,66
2044,18
2045,37
2046,40
2047,7
2048,2
2049,28
2050,23
2051,47
2052,11
2053,0
2054,16
2055,999
2056,999
2057,999
2058,999
2059,999
2060,15
2061,26
2062,46
2063,999
2064,154
2065,25
2066,8
2067,2
2068,0
2069,9
2070,18
2071,0
2072,116
2073,45
2074,14
2075,999
2076,82
2077,0
2078,31
2079,31
2080,2
2081,46
2082,17
2083,14
2084,30
2085,86
2086,999
2087,999
2088,999
2089,999
2090,999
2091,999
2092,999
2093,999
2094,999
2095,999
2096,999
2097,999
2098,999
2099,999
