order,value
1,126
2,134
3,150
4,138
5,163
6,174
7,176
8,183
9,192
10,194
11,190
12,187
13,181
14,178
15,166
16,144
17,124
18,104
19,88
20,84
21,79
22,72
23,69
24,69
25,67
26,62
27,59
28,59
29,55
30,54
31,63
32,45
33,40
34,39
35,40
36,41
37,40
38,40
39,39
40,43
41,41
42,41
43,41
44,42
45,43
46,42
47,41
48,36
49,34
50,34
51,36
52,31
53,32
54,43
55,38
56,28
57,30
58,29
59,28
60,29
61,30
62,30
63,29
64,29
65,29
66,27
67,27
68,25
69,26
70,28
71,28
72,26
73,29
74,36
75,40
76,42
77,37
78,38
79,39
80,44
81,42
82,42
83,39
84,37
85,36
86,37
87,38
88,39
89,38
90,37
91,41
92,39
93,38
94,38
95,41
96,39
97,38
98,38
99,38
100,37
101,37
102,36
103,37
104,38
105,40
106,40
107,40
108,43
109,41
110,42
111,44
112,35
113,30
114,32
115,28
116,36
117,38
118,38
119,37
120,42
121,40
122,42
123,39
124,46
125,46
126,47
127,48
128,48
129,49
130,51
131,49
132,51
133,52
134,52
135,51
136,52
137,51
138,49
139,49
140,49
141,50
142,52
143,52
144,49
145,47
146,49
147,46
148,48
149,46
150,47
151,46
152,48
153,50
154,51
155,51
156,51
157,51
158,51
159,51
160,49
161,51
162,49
163,48
164,51
165,50
166,51
167,50
168,48
169,44
170,51
171,36
172,39
173,41
174,44
175,49
176,52
177,51
178,37
179,31
180,29
181,29
182,41
183,43
184,38
185,39
186,41
187,47
188,51
189,50
190,49
191,48
192,46
193,44
194,44
195,47
196,45
197,43
198,40
199,42
200,39
201,38
202,38
203,34
204,34
205,36
206,37
207,37
208,41
209,39
210,39
211,40
212,39
213,40
214,39
215,38
216,39
217,39
218,39
219,40
220,39
221,39
222,39
223,40
224,40
225,40
226,40
227,36
228,34
229,35
230,33
231,29
232,30
233,29
234,45
235,45
236,46
237,46
238,43
239,43
240,44
241,41
242,42
243,42
244,41
245,39
246,38
247,37
248,37
249,36
250,36
251,35
252,35
253,35
254,36
255,36
256,35
257,36
258,36
259,37
260,37
261,35
262,38
263,39
264,39
265,38
266,39
267,38
268,41
269,39
270,40
271,38
272,40
273,40
274,40
275,39
276,39
277,39
278,40
279,40
280,40
281,41
282,40
283,40
284,41
285,41
286,39
287,36
288,39
289,38
290,34
291,32
292,42
293,45
294,47
295,41
296,39
297,38
298,38
299,37
300,35
301,37
302,37
303,38
304,42
305,44
306,42
307,42
308,41
309,40
310,39
311,40
312,40
313,40
314,41
315,41
316,42
317,42
318,42
319,42
320,42
321,42
322,42
323,42
324,42
325,42
326,42
327,42
328,42
329,42
330,42
331,41
332,41
333,41
334,41
335,41
336,41
337,41
338,42
339,43
340,46
341,46
342,44
343,47
344,47
345,49
346,45
347,35
348,26
349,31
350,38
351,37
352,38
353,38
354,34
