order,value
1,443
2,440
3,440
4,440
5,440
6,440
7,440
8,439
9,439
10,442
11,442
12,442
13,435
14,435
15,435
16,437
17,437
18,437
19,446
20,446
21,446
22,442
23,442
24,449
25,449
26,449
27,439
28,439
29,439
30,440
31,440
32,440
33,441
34,441
35,448
36,448
37,448
38,436
39,436
40,436
41,440
42,440
43,440
44,431
45,431
46,431
47,436
48,436
49,442
50,442
51,442
52,442
53,442
54,442
55,446
56,446
57,446
58,434
59,434
60,441
61,441
62,441
63,444
64,444
65,444
66,439
67,439
68,439
69,444
70,444
71,444
72,442
73,442
74,427
75,427
76,427
77,436
78,436
79,436
80,439
81,439
82,439
83,443
84,443
85,443
86,427
87,427
88,436
89,436
90,436
91,439
92,439
93,439
94,442
95,442
96,442
97,439
98,439
99,456
100,456
101,456
102,436
103,436
104,436
105,460
106,460
107,460
108,458
109,458
110,458
111,461
112,461
113,444
114,444
115,444
116,446
117,446
118,446
119,483
120,483
121,483
122,499
123,499
124,451
125,451
126,451
127,450
128,450
129,450
130,440
131,440
132,440
133,450
134,450
135,450
136,451
137,451
138,436
139,436
140,436
141,442
142,442
143,442
144,434
145,434
146,434
147,443
148,443
149,443
150,443
151,443
152,439
153,439
154,439
155,434
156,434
157,434
158,437
159,437
160,437
161,447
162,447
163,447
164,435
165,435
166,422
167,422
168,422
169,441
170,441
171,441
172,442
173,442
174,442
175,443
176,443
177,431
178,431
179,431
180,440
181,440
182,440
183,436
184,436
185,436
186,439
187,439
188,439
189,439
190,439
191,442
192,442
193,442
194,435
195,435
196,435
197,447
198,447
199,447
200,442
201,442
202,442
203,434
204,434
205,443
206,443
207,443
208,439
209,439
210,439
211,443
212,443
213,443
214,431
215,431
216,440
217,440
218,440
219,430
220,430
221,430
222,441
223,441
224,441
225,448
226,448
227,448
228,431
229,431
230,440
231,440
232,440
233,443
234,443
235,443
236,439
237,439
238,439
239,440
240,440
241,435
242,435
243,435
244,444
245,444
246,444
247,439
248,439
249,439
250,453
251,453
252,453
253,443
254,443
255,444
256,444
257,444
258,442
259,442
260,442
261,440
262,440
263,440
264,446
265,446
266,446
267,440
268,440
269,437
270,437
271,437
272,452
273,452
274,452
275,442
276,442
277,442
278,467
279,467
280,467
281,469
282,469
283,435
284,435
285,435
286,442
287,442
288,442
289,452
290,452
291,452
292,451
293,451
294,437
295,437
296,437
297,443
298,443
299,443
300,448
301,448
302,448
303,479
304,479
305,479
306,455
307,455
308,442
309,442
310,442
311,446
312,446
313,446
314,444
315,444
316,444
317,450
318,450
319,499
320,499
321,499
322,450
323,450
324,450
325,467
326,467
327,467
328,443
329,443
330,443
331,440
332,440
333,452
334,452
335,452
336,441
337,441
338,441
339,447
340,447
341,447
342,444
343,444
344,444
345,439
346,439
347,437
348,437
349,437
350,443
351,443
352,443
353,446
354,446
355,446
356,446
357,446
358,483
359,483
360,483
361,492
362,492
363,492
364,436
365,436
366,436
367,448
368,448
369,448
370,437
371,437
372,456
373,456
374,456
375,451
376,451
377,451
378,447
379,447
380,447
381,463
382,463
383,463
384,449
385,449
386,443
387,443
388,443
389,447
390,447
391,447
392,444
393,444
394,444
395,448
396,448
397,456
398,456
399,456
400,446
401,446
402,446
403,441
404,441
405,441
406,437
407,437
408,437
409,447
410,447
411,444
412,444
413,444
414,446
415,446
416,446
417,449
418,449
419,449
420,448
421,448
422,448
423,442
424,442
425,444
426,444
427,444
428,443
429,443
430,443
431,447
432,447
433,447
434,449
435,449
436,440
437,440
438,440
439,448
440,448
441,448
442,452
443,452
444,452
445,448
446,447
447,447
448,453
