order,value
1,561
2,778
3,974
4,902
5,695
6,676
7,738
8,669
9,696
10,686
11,710
12,617
13,93
14,214
15,30
16,466
17,831
18,182
19,664
20,81
21,198
22,455
23,204
24,818
25,336
26,530
27,0
28,785
29,266
30,655
31,689
32,179
33,493
34,360
35,849
36,678
37,752
38,521
39,480
40,127
41,349
42,628
43,538
44,276
45,385
46,401
47,409
48,690
49,649
50,721
51,780
52,677
53,702
54,183
55,505
56,342
57,651
58,93
59,509
60,695
61,9
62,1214
63,838
64,638
65,1174
66,752
67,622
68,75
69,702
70,790
71,561
72,225
73,70
74,487
75,869
76,606
77,856
78,248
79,286
80,706
81,1161
82,676
83,234
84,706
85,465
86,797
87,511
88,629
89,780
90,272
91,426
92,831
93,611
94,311
95,672
96,708
97,692
98,594
99,310
100,655
101,931
102,2095
103,631
104,307
105,691
106,789
107,476
108,304
109,826
110,675
111,107
112,632
113,188
114,1795
115,728
116,302
117,932
118,784
119,731
120,604
121,687
122,88
123,617
124,455
125,211
126,671
127,1148
128,615
129,672
130,408
131,1052
132,499
133,741
134,154
135,1979
136,656
137,625
138,371
139,322
140,961
141,657
142,648
143,347
144,192
145,663
146,659
147,413
148,111
149,647
150,294
151,735
152,488
153,383
154,641
155,252
156,666
157,509
158,724
159,89
160,690
161,1296
162,500
163,398
164,239
165,630
166,512
167,708
168,694
169,208
170,690
171,473
172,641
173,917
174,569
175,652
176,699
177,684
178,649
179,550
180,282
181,652
182,673
183,450
184,652
185,252
186,668
187,0
188,685
189,1901
190,206
191,686
192,535
193,4
194,756
195,250
196,0
197,688
198,606
199,649
200,647
201,668
202,666
203,952
204,417
205,0
206,2
207,660
208,0
209,666
210,669
211,552
212,424
213,659
214,567
215,682
216,647
217,665
218,462
219,2
220,688
221,430
222,370
223,858
224,438
225,691
226,680
227,0
228,0
229,451
230,586
231,682
232,1
233,851
234,682
235,357
236,683
237,662
238,383
239,547
240,180
241,682
242,107
243,0
244,665
245,26
246,440
247,732
248,0
249,669
250,683
251,139
252,1350
253,511
254,688
255,366
256,692
257,471
258,482
259,19
260,766
261,650
262,668
263,455
264,558
265,111
266,3
267,78
268,0
269,334
270,653
271,554
272,47
273,738
274,767
275,577
276,363
277,409
278,353
279,0
280,434
281,682
282,0
283,531
284,0
285,245
286,0
287,0
288,683
289,426
290,3
291,636
292,615
293,291
294,676
295,646
296,677
297,0
298,648
299,734
300,653
301,555
302,181
303,1620
304,621
305,591
306,0
307,768
308,675
