order,value
1,5079
2,5522
3,5034
4,5147
5,5306
6,5088
7,4985
8,5328
9,5059
10,5043
11,5200
12,5359
13,5047
14,5060
15,5286
16,4865
17,5240
18,5304
19,5062
20,4950
21,5228
22,5182
23,4876
24,5224
25,5172
26,4873
27,5058
28,5169
29,5010
30,4920
31,5315
32,5168
33,4958
34,5260
35,5250
36,4974
37,5116
38,5194
39,5022
40,5120
41,5193
42,5027
43,5003
44,5179
45,5141
46,4960
47,5474
48,5083
49,5034
50,5211
51,5103
52,5074
53,5007
54,5342
55,5173
56,4926
57,5153
58,5094
59,4987
60,5235
61,5185
62,5162
63,4986
64,5303
65,4955
66,4978
67,5375
68,5098
69,4862
70,5185
71,5179
72,4972
73,5139
74,5183
75,4949
76,4968
77,5471
78,4982
79,4938
80,5259
81,5080
82,5006
83,5208
84,5164
85,4915
86,5091
87,5304
88,5033
89,4973
90,5182
91,5039
92,5224
93,5154
94,5284
95,4965
96,5036
97,5219
98,4978
99,5104
100,5241
101,5102
102,5033
103,5116
104,5099
105,5021
106,5167
107,5447
108,17235
109,17192
110,17409
111,17082
112,17099
113,17494
114,17303
115,17093
116,17251
117,17300
118,16949
119,17133
120,17245
121,17082
122,17198
123,17216
124,17106
125,16955
126,17250
127,17022
128,16842
129,17246
130,16964
131,16970
132,16963
133,17231
134,16827
135,16886
136,17121
137,16954
138,17120
139,17014
140,17002
141,16854
142,17121
143,16918
144,16780
145,16805
146,17110
147,16727
148,17707
149,17339
150,17374
151,17498
152,17926
153,17311
154,17369
155,17823
156,17485
157,17235
158,17597
159,17554
160,17158
161,17365
162,17342
163,17128
164,17216
165,17581
166,17176
167,17492
168,17545
169,17186
170,17288
171,17472
172,17161
173,17157
174,17361
175,17544
176,17156
177,17370
178,17381
179,17107
180,17077
181,17430
182,17297
183,17063
184,17386
185,17217
186,17071
187,17258
188,17205
189,16969
190,17203
191,17232
192,16960
193,16980
194,17279
195,17023
196,16819
197,17522
198,17087
199,16910
200,17014
201,17227
202,16835
203,16916
204,17133
205,16887
206,16822
207,17110
208,16855
209,16823
210,17012
211,16926
212,16936
213,16950
214,16808
215,16675
216,17341
217,17701
218,17432
219,17506
220,17687
221,17456
222,17339
223,17619
224,17444
225,17368
226,17531
227,17796
228,17291
229,17350
230,17630
231,17215
232,17297
233,17500
234,17399
235,17209
236,17558
237,17459
238,17130
239,17326
240,17470
241,17173
242,17392
243,17529
244,17337
245,17070
246,17212
247,17285
248,17177
249,17386
250,17303
251,17090
252,17133
253,17301
254,17154
255,16929
256,17152
257,17268
258,17037
259,17130
260,16990
261,17288
262,16928
263,16989
264,17098
265,16992
266,17160
267,16980
268,16841
269,17115
270,16828
271,16797
272,17114
273,16997
274,16700
275,16822
276,17101
277,16784
278,16773
279,17804
280,17331
281,17418
282,17806
283,17467
284,17335
285,17486
286,17638
287,17678
288,17388
289,17638
290,17361
291,17366
292,17758
293,17333
294,17289
295,17430
296,17530
297,17370
298,17355
299,17479
300,17242
301,17297
302,17641
303,17140
304,17190
305,17429
306,17171
307,17196
308,17365
309,17184
310,17055
311,17293
312,17298
313,17111
314,17287
315,17174
316,17081
317,17414
318,17233
319,16954
320,17080
321,17335
322,17027
323,16949
324,17235
325,17064
326,16927
327,17036
328,17282
329,16949
330,16914
331,17122
332,17009
333,16845
334,17162
335,16726
336,16792
337,16973
338,16970
339,16775
340,16981
341,16934
342,17027
343,16809
344,17306
345,17487
346,17546
347,17991
348,17467
349,17360
350,17746
351,17629
352,17383
353,17517
354,17588
355,17309
356,17518
357,17647
358,17219
359,17421
360,17555
361,17364
362,17353
363,17352
364,17388
365,17155
366,17487
367,17471
368,17185
369,17212
370,17758
371,17167
372,17046
373,17281
374,17203
375,17124
376,17214
377,17590
378,17025
379,17081
380,17316
381,17090
382,17039
383,17356
384,17036
385,17041
386,17223
387,17007
388,16837
389,16966
390,17049
391,16882
392,17138
393,17222
394,16827
395,16904
396,17255
397,16888
398,16798
399,17188
400,16966
401,16893
402,17035
403,16970
404,16727
405,16816
406,17161
407,16943
408,17003
409,17524
410,17431
411,17206
412,17613
413,17677
414,17316
415,17434
416,17735
417,17366
418,17404
419,17619
420,17391
421,17276
422,17773
423,17321
424,17297
425,17613
426,17282
427,17342
428,17496
429,17544
430,17267
431,17208
432,17499
433,17273
434,17163
435,17411
436,17163
437,17308
438,17296
439,17396
440,17066
441,17172
442,17416
443,17168
444,17070
445,17267
446,17220
447,17027
448,17169
449,17159
450,16939
451,17019
452,17368
453,16843
454,16913
455,17157
456,16949
457,16922
458,17048
459,16894
460,16739
461,16857
462,17214
463,16862
464,16915
465,17108
466,16796
467,16990
468,16985
469,16941
470,16808
471,16798
472,16880
473,17225
474,17345
475,17778
476,17405
477,17670
478,17719
479,17433
480,17318
481,17726
482,17734
483,17320
484,17617
485,17500
486,17383
487,17454
488,17483
489,17246
490,17360
491,17530
492,17217
493,17144
494,17499
495,17189
496,17095
497,17558
498,17144
499,16989
500,17201
501,17328
502,17209
503,17158
504,17385
505,17032
506,17045
507,17239
508,16973
509,17129
510,17171
511,17116
512,17267
513,17019
514,17192
515,16956
516,17034
517,17186
518,16967
519,17008
520,17076
521,17008
522,16922
523,17047
524,16946
525,16828
526,16920
527,17554
528,17011
529,16973
530,17176
531,16871
532,16771
533,17121
534,16874
535,16682
536,17799
537,17512
538,17224
539,17257
540,17531
541,17456
542,17631
543,17682
544,17633
545,17362
546,17516
547,17570
548,17282
549,17214
550,17417
551,17479
552,17261
553,17561
554,17366
555,17216
556,17537
557,17600
558,17232
559,17297
560,17375
561,17052
562,17242
563,17451
564,17150
565,17251
566,17281
567,17050
568,17105
569,17428
570,17228
571,17093
572,17412
573,17210
574,17030
575,17309
576,17310
577,16951
578,17040
579,17389
580,17060
581,16944
582,17223
583,17018
584,16922
585,17069
586,17097
587,17172
588,17101
589,17084
590,16835
591,16962
592,17050
593,16871
594,16793
595,17028
596,16857
597,16740
598,16986
599,16875
600,16787
601,17325
602,17629
603,16889
604,17396
605,17622
606,17211
607,17349
608,17735
609,17251
610,17355
611,17667
612,17469
613,17316
614,17532
615,17495
616,17134
617,17488
618,17526
619,17264
620,17297
621,17612
622,17219
623,17241
624,17359
625,17178
626,17219
627,17379
628,17296
629,17081
630,17231
631,17346
632,17318
633,17266
634,17378
635,17147
636,17034
637,17313
638,17198
639,17016
640,17185
641,17028
642,17002
643,17243
644,17165
645,17047
646,17066
647,17490
648,16832
649,16905
650,17204
651,16936
652,16893
653,17035
654,16928
655,16946
656,16890
657,17015
658,16706
659,16945
660,17165
661,16971
662,16930
663,17568
664,17587
665,17382
666,17173
667,17601
668,17413
669,17803
670,17654
671,17311
672,17214
673,17571
674,17393
675,17245
676,17419
677,17709
678,17232
679,17539
680,17621
681,17225
682,17246
683,17563
684,17224
685,17211
686,17465
687,17366
688,17112
689,17389
690,17309
691,17082
692,17542
693,17324
694,16973
695,17312
696,17289
697,17144
698,16978
699,17355
700,17178
701,16920
702,17419
703,17197
704,16913
705,16952
706,17156
707,17224
708,16980
709,17245
710,16915
711,16943
712,17175
