Order,Value
1,3073
2,2049
3,2052
4,2053
5,2052
6,2050
7,2048
8,2049
9,2050
10,2050
11,2050
12,2049
13,2050
14,2050
15,2048
16,2048
17,2051
18,2052
19,2051
20,2048
21,2048
22,2050
23,2050
24,2049
25,2050
26,2051
27,2051
28,2050
29,2050
30,2052
31,2052
32,2051
33,2049
34,2050
35,2051
36,2051
37,2049
38,2050
39,2051
40,2050
41,2049
42,2049
43,2050
44,2050
45,2049
46,2049
47,2049
48,2049
49,2049
50,2048
51,2049
52,2050
53,2050
54,2049
55,2049
56,2052
57,2054
58,2053
59,2051
60,2050
61,2052
62,2052
63,2051
64,2049
65,2049
66,2050
67,2050
68,2050
69,2050
70,2050
71,2052
72,2051
73,2049
74,2049
75,2051
76,2052
77,2052
78,2051
79,2050
80,2049
81,2050
82,2051
83,2051
84,2050
85,2048
86,2049
87,2050
88,2051
89,2050
90,2049
91,2049
92,2051
93,2051
94,2051
95,2050
96,2049
97,2048
98,2050
99,2052
100,2052
101,2052
102,2050
103,2048
104,2049
105,2049
106,2049
107,2048
108,2048
109,2049
110,2050
111,2051
112,2050
113,2048
114,2050
115,2050
116,2049
117,2048
118,2048
119,2049
120,2050
121,2050
122,2048
123,2048
124,2050
125,2051
126,2051
127,2050
128,2048
129,2048
130,2049
131,2050
132,2050
133,2049
134,2049
135,2052
136,2054
137,2054
138,2053
139,2050
140,2050
141,2052
142,2052
143,2052
144,2050
145,2048
146,2049
147,2050
148,2051
149,2050
150,2050
151,2052
152,2053
153,2053
154,2051
155,2048
156,2049
157,2050
158,2050
159,2050
160,2050
161,2050
162,2048
163,2049
164,2050
165,2051
166,2052
167,2051
168,2051
169,2050
170,2050
171,2049
172,2052
173,2053
174,2053
175,2051
176,2049
177,2049
178,2052
179,2053
180,2052
181,2051
182,2049
183,2049
184,2051
185,2051
186,2050
187,2049
188,2048
189,2050
190,2052
191,2051
192,2049
193,2051
194,2053
195,2054
196,2053
197,2050
198,2051
199,2054
200,2055
201,2054
202,2050
203,2050
204,2053
205,2053
206,2052
207,2049
208,2050
209,2052
210,2052
211,2051
212,2048
213,2050
214,2053
215,2053
216,2052
217,2049
218,2048
219,2051
220,2053
221,2053
222,2052
223,2050
224,2050
225,2053
226,2053
227,2052
228,2050
229,2048
230,2049
231,2049
232,2050
233,2049
234,2048
235,2048
236,2048
237,2048
238,2049
239,2049
240,2049
241,2049
242,2049
243,2048
244,2049
245,2049
246,2048
247,2049
248,2050
249,2051
250,2052
251,2052
252,2051
253,2048
254,2050
255,2053
256,2053
257,2052
258,2050
259,2049
260,2052
261,2053
262,2053
263,2050
264,2049
265,2050
266,2051
267,2050
268,2050
269,2048
270,2048
271,2049
272,2050
273,2050
274,2050
275,2049
276,2048
277,2049
278,2049
279,2050
280,2050
281,2049
282,2049
283,2051
284,2051
285,2049
286,2050
287,2051
288,2052
289,2052
290,2052
291,2050
292,2050
293,2053
294,2055
295,2054
296,2052
297,2049
298,2052
299,2054
300,2054
301,2052
302,2049
303,2049
304,2049
305,2048
306,2048
307,2049
308,2050
309,2050
310,2049
311,2049
312,2051
313,2051
314,2050
315,2049
316,2049
317,2050
318,2050
319,2049
320,2048
321,2049
322,2048
323,2048
324,2049
325,2049
326,2050
327,2050
328,2048
329,2049
330,2049
331,2049
332,2049
333,2049
334,2048
335,2048
336,2048
337,2048
338,2049
339,2050
340,2049
341,2048
342,2050
343,2052
344,2052
345,2050
346,2048
347,2049
348,2050
349,2049
350,2049
351,2049
352,2048
353,2048
354,2048
355,2048
356,2050
357,2052
358,2053
359,2051
360,2049
361,2050
362,2051
363,2051
364,2051
365,2050
366,2050
367,2049
368,2048
369,2049
370,2050
371,2050
372,2050
373,2050
374,2049
375,2048
376,2048
377,2049
378,2049
379,2050
380,2051
381,2050
382,2049
383,2048
384,2049
385,2050
386,2050
387,2048
388,2049
389,2050
390,2049
391,2049
392,2049
393,2049
394,2049
395,2049
396,2050
397,2051
398,2050
399,2049
400,2049
401,2048
402,2049
403,2049
404,2049
405,2049
406,2049
407,2049
408,2050
409,2050
410,2050
411,2048
412,2048
413,2049
414,2049
415,2048
416,2049
417,2050
418,2050
419,2048
420,2048
421,2049
422,2050
423,2050
424,2049
425,2049
426,2051
427,2051
428,2050
429,2048
430,2048
431,2049
432,2049
433,2050
434,2051
435,2050
436,2048
437,2048
438,2051
439,2052
440,2052
441,2050
442,2048
443,2049
444,2051
445,2052
446,2050
447,2049
448,2048
449,2048
450,2050
451,2051
452,2051
453,2050
454,2048
455,2049
456,2050
457,2050
458,2049
459,2049
460,2051
461,2052
462,2052
463,2050
464,2050
465,2053
466,2054
467,2054
468,2051
469,2048
470,2049
471,2050
472,2050
473,2050
474,2049
475,2048
476,2048
477,2048
478,2049
479,2049
480,2049
481,2049
482,2049
483,2050
484,2050
485,2050
486,2049
487,2048
488,2048
489,2049
490,2050
491,2051
492,2051
493,2050
494,2050
495,2052
496,2052
497,2050
498,2049
499,2048
500,2048
501,2049
502,2050
503,2050
504,2050
505,2050
506,2049
507,2048
508,2049
509,2051
510,2052
511,2052
512,2049
513,2048
514,2052
515,2052
516,2051
517,2049
518,2053
519,2055
520,2055
521,2052
522,2048
523,2049
524,2049
525,2048
526,2048
527,2049
528,2050
529,2049
530,2048
531,2048
532,2049
533,2049
534,2049
535,2051
536,2052
537,2052
538,2051
539,2048
540,2048
541,2050
542,2050
543,2051
544,2051
545,2050
546,2049
547,2051
548,2051
549,2050
550,2049
551,2050
552,2051
553,2052
554,2051
555,2049
556,2049
557,2050
558,2050
559,2048
560,2049
561,2051
562,2051
563,2051
564,2049
565,2051
566,2053
567,2054
568,2053
569,2049
570,2049
571,2052
572,2054
573,2054
574,2052
575,2049
576,2048
577,2051
578,2053
579,2052
580,2050
581,2050
582,2051
583,2052
584,2051
585,2049
586,2049
587,2050
588,2049
589,2049
590,2048
591,2049
592,2050
593,2049
594,2048
595,2051
596,2052
597,2051
598,2050
599,2048
600,2050
601,2052
602,2053
603,2052
604,2050
605,2048
606,2049
607,2049
608,2051
609,2052
610,2051
611,2049
612,2049
613,2049
614,2049
615,2050
616,2051
617,2050
618,2049
619,2048
620,2050
621,2050
622,2049
623,2048
624,2048
625,2049
626,2049
627,2049
628,2049
629,2048
630,2049
631,2051
632,2051
633,2050
634,2049
635,2050
636,2050
637,2050
638,2051
639,2051
640,2050
641,2049
642,2048
643,2048
644,2049
645,2050
646,2050
647,2049
648,2048
649,2049
650,2050
651,2051
652,2049
653,2050
654,2052
655,2052
656,2050
657,2048
658,2049
659,2050
660,2049
661,2048
662,2048
663,2049
664,2050
665,2049
666,2048
667,2050
668,2051
669,2050
670,2049
671,2048
672,2048
673,2049
674,2048
675,2049
676,2051
677,2052
678,2051
679,2049
680,2049
681,2049
682,2049
683,2051
684,2052
685,2051
686,2048
687,2048
688,2049
689,2050
690,2050
691,2050
692,2050
693,2050
694,2049
695,2048
696,2052
697,2054
698,2054
699,2051
700,2048
701,2049
702,2049
703,2049
704,2048
705,2048
706,2049
707,2050
708,2050
709,2049
710,2048
711,2049
712,2050
713,2050
714,2050
715,2049
716,2050
717,2051
718,2051
719,2049
720,2048
721,2048
722,2048
723,2049
724,2050
725,2049
726,2048
727,2050
728,2051
729,2050
730,2049
731,2048
732,2049
733,2049
734,2049
735,2049
736,2049
737,2049
738,2049
739,2048
740,2048
741,2049
742,2049
743,2049
744,2048
745,2052
746,2055
747,2055
748,2053
749,2049
750,2049
751,2051
752,2052
753,2052
754,2051
755,2049
756,2048
757,2049
758,2050
759,2052
760,2053
761,2051
762,2051
763,2054
764,2055
765,2053
766,2051
767,2049
768,2051
769,2052
770,2052
771,2051
772,2050
773,2050
774,2051
775,2049
776,2049
777,2053
778,2055
779,2054
780,2051
781,2050
782,2053
783,2053
784,2052
785,2050
786,2048
787,2050
788,2053
789,2054
790,2053
791,2050
792,2048
793,2049
794,2048
795,2048
796,2049
797,2050
798,2049
799,2049
800,2049
801,2050
802,2050
803,2050
804,2048
805,2049
806,2050
807,2049
808,2049
809,2050
810,2050
811,2049
812,2049
813,2049
814,2050
815,2049
816,2049
817,2050
818,2051
819,2051
820,2049
821,2049
822,2050
823,2048
824,2051
825,2053
826,2053
827,2051
828,2049
829,2050
830,2050
831,2050
832,2050
833,2050
834,2050
835,2050
836,2049
837,2052
838,2053
839,2052
840,2049
841,2049
842,2049
843,2048
844,2048
845,2050
846,2051
847,2051
848,2051
849,2049
850,2049
851,2050
852,2052
853,2052
854,2051
855,2049
856,2049
857,2051
858,2051
859,2050
860,2048
861,2050
862,2052
863,2052
864,2049
865,2049
866,2052
867,2054
868,2054
869,2052
870,2050
871,2048
872,2048
873,2052
874,2053
875,2052
876,2050
877,2048
878,2049
879,2049
880,2048
881,2049
882,2051
883,2052
884,2051
885,2049
886,2048
887,2049
888,2049
889,2049
890,2048
891,2049
892,2050
893,2051
894,2051
895,2050
896,2048
897,2050
898,2051
899,2051
900,2050
901,2048
902,2050
903,2051
904,2050
905,2048
906,2049
907,2050
908,2051
909,2051
910,2049
911,2049
912,2049
913,2049
914,2050
915,2051
916,2051
917,2050
918,2048
919,2049
920,2050
921,2052
922,2052
923,2051
924,2049
925,2048
926,2050
927,2051
928,2051
929,2051
930,2049
931,2050
932,2052
933,2052
934,2050
935,2048
936,2051
937,2053
938,2052
939,2050
940,2049
941,2051
942,2051
943,2050
944,2049
945,2050
946,2052
947,2052
948,2051
949,2048
950,2049
951,2049
952,2050
953,2051
954,2051
955,2050
956,2049
957,2048
958,2049
959,2049
960,2049
961,2048
962,2048
963,2048
964,2049
965,2048
966,2048
967,2049
968,2049
969,2049
970,2048
971,2049
972,2049
973,2048
974,2048
975,2051
976,2052
977,2052
978,2050
979,2049
980,2050
981,2050
982,2049
983,2048
984,2049
985,2050
986,2050
987,2048
988,2050
989,2051
990,2051
991,2050
992,2050
993,2052
994,2052
995,2051
996,2049
997,2050
998,2050
999,2049
1000,2048
1001,2048
1002,2049
1003,2049
1004,2049
1005,2049
1006,2048
1007,2048
1008,2049
1009,2049
1010,2049
1011,2049
1012,2049
1013,2049
1014,2048
1015,2048
1016,2049
1017,2050
1018,2050
1019,2049
1020,2049
1021,2051
1022,2052
1023,2051
1024,2050
1025,2048
1026,2049
1027,2050
1028,2050
1029,2049
1030,2050
1031,2050
1032,2048
1033,2048
1034,2051
1035,2052
1036,2051
1037,2050
1038,2049
1039,2049
1040,2049
1041,2048
1042,2050
1043,2051
1044,2052
1045,2052
1046,2051
1047,2049
1048,2049
1049,2050
1050,2050
1051,2049
1052,2050
1053,2053
1054,2053
1055,2050
1056,2048
1057,2049
1058,2050
1059,2049
1060,2048
1061,2049
1062,2049
1063,2048
1064,2048
1065,2049
1066,2049
1067,2049
1068,2048
1069,2049
1070,2050
1071,2049
1072,2049
1073,2049
1074,2051
1075,2052
1076,2052
1077,2050
1078,2049
1079,2051
1080,2052
1081,2051
1082,2049
1083,2048
1084,2049
1085,2052
1086,2052
1087,2050
1088,2050
1089,2051
1090,2051
1091,2051
1092,2050
1093,2049
1094,2050
1095,2053
1096,2054
1097,2052
1098,2049
1099,2049
1100,2049
1101,2049
1102,2050
1103,2050
1104,2050
1105,2050
1106,2048
1107,2048
1108,2053
1109,2056
1110,2056
1111,2054
1112,2051
1113,2048
1114,2050
1115,2053
1116,2055
1117,2055
1118,2053
1119,2050
1120,2048
1121,2052
1122,2054
1123,2055
1124,2053
1125,2050
1126,2050
1127,2052
1128,2053
1129,2051
1130,2049
1131,2049
1132,2050
1133,2051
1134,2051
1135,2050
1136,2048
1137,2049
1138,2050
1139,2049
1140,2048
1141,2049
1142,2049
1143,2049
1144,2049
1145,2048
1146,2048
1147,2048
1148,2049
1149,2049
1150,2049
1151,2049
1152,2048
1153,2050
1154,2050
1155,2049
1156,2049
1157,2049
1158,2050
1159,2048
1160,2050
1161,2052
1162,2052
1163,2051
1164,2049
1165,2049
1166,2050
1167,2051
1168,2050
1169,2049
1170,2049
1171,2052
1172,2053
1173,2052
1174,2050
1175,2049
1176,2051
1177,2051
1178,2051
1179,2050
1180,2048
1181,2049
1182,2051
1183,2053
1184,2053
1185,2051
1186,2051
1187,2053
1188,2053
1189,2052
1190,2051
1191,2049
1192,2050
1193,2052
1194,2053
1195,2052
1196,2048
1197,2048
1198,2048
1199,2049
1200,2049
1201,2050
1202,2050
1203,2049
1204,2050
1205,2052
1206,2051
1207,2049
1208,2050
1209,2051
1210,2050
1211,2048
1212,2048
1213,2049
1214,2050
1215,2051
1216,2051
1217,2050
1218,2050
1219,2052
1220,2053
1221,2051
1222,2049
1223,2049
1224,2050
1225,2049
1226,2050
1227,2051
1228,2051
1229,2049
1230,2049
1231,2050
1232,2050
1233,2051
1234,2050
1235,2048
1236,2050
1237,2051
1238,2051
1239,2050
1240,2049
1241,2049
1242,2048
1243,2049
1244,2049
1245,2049
1246,2049
1247,2050
1248,2049
1249,2048
1250,2048
1251,2049
1252,2051
1253,2052
1254,2051
1255,2048
1256,2050
1257,2051
1258,2051
1259,2050
1260,2049
1261,2049
1262,2050
1263,2049
1264,2048
1265,2048
1266,2051
1267,2052
1268,2051
1269,2049
1270,2048
1271,2049
1272,2048
1273,2048
1274,2049
1275,2050
1276,2051
1277,2050
1278,2048
1279,2050
1280,2051
1281,2051
1282,2050
1283,2050
1284,2049
1285,2048
1286,2049
1287,2049
1288,2050
1289,2050
1290,2050
1291,2050
1292,2049
1293,2049
1294,2052
1295,2054
1296,2053
1297,2050
1298,2050
1299,2051
1300,2051
1301,2050
1302,2049
1303,2048
1304,2048
1305,2049
1306,2049
1307,2050
1308,2050
1309,2049
1310,2050
1311,2052
1312,2053
1313,2052
1314,2050
1315,2050
1316,2051
1317,2051
1318,2050
1319,2049
1320,2048
1321,2048
1322,2048
1323,2048
1324,2048
1325,2048
1326,2048
1327,2049
1328,2050
1329,2049
1330,2048
1331,2049
1332,2049
1333,2048
1334,2048
1335,2048
1336,2049
1337,2049
1338,2048
1339,2048
1340,2048
1341,2048
1342,2048
1343,2048
1344,2048
1345,2049
1346,2050
1347,2050
1348,2049
1349,2048
1350,2049
1351,2050
1352,2051
1353,2050
1354,2049
1355,2048
1356,2051
1357,2052
1358,2051
1359,2050
1360,2049
1361,2049
1362,2050
1363,2050
1364,2051
1365,2050
1366,2048
1367,2048
1368,2051
1369,2052
1370,2052
1371,2050
1372,2049
1373,2049
1374,2049
1375,2049
1376,2048
1377,2049
1378,2050
1379,2049
1380,2049
1381,2051
1382,2052
1383,2051
1384,2049
1385,2048
1386,2050
1387,2052
1388,2051
1389,2050
1390,2048
1391,2048
1392,2048
1393,2050
1394,2052
1395,2052
1396,2050
1397,2048
1398,2050
1399,2052
1400,2054
1401,2053
1402,2050
1403,2050
1404,2051
1405,2051
1406,2050
1407,2050
1408,2049
1409,2048
1410,2049
1411,2050
1412,2050
1413,2051
1414,2051
1415,2051
1416,2051
1417,2050
1418,2048
1419,2049
1420,2052
1421,2054
1422,2055
1423,2054
1424,2051
1425,2050
1426,2052
1427,2052
1428,2050
1429,2049
1430,2050
1431,2051
1432,2050
1433,2048
1434,2049
1435,2050
1436,2049
1437,2050
1438,2051
1439,2052
1440,2051
1441,2048
1442,2049
1443,2049
1444,2048
1445,2049
1446,2050
1447,2050
1448,2049
1449,2048
1450,2051
1451,2053
1452,2054
1453,2052
1454,2049
1455,2050
1456,2052
1457,2053
1458,2052
1459,2050
1460,2048
1461,2048
1462,2049
1463,2049
1464,2049
1465,2049
1466,2049
1467,2049
1468,2048
1469,2048
1470,2049
1471,2049
1472,2049
1473,2049
1474,2050
1475,2050
1476,2049
1477,2049
1478,2050
1479,2051
1480,2051
1481,2049
1482,2049
1483,2050
1484,2052
1485,2052
1486,2051
1487,2049
1488,2051
1489,2053
1490,2053
1491,2051
1492,2049
1493,2050
1494,2051
1495,2052
1496,2050
1497,2049
1498,2050
1499,2051
1500,2051
1501,2049
1502,2049
1503,2051
1504,2052
1505,2052
1506,2052
1507,2050
1508,2048
1509,2052
1510,2054
1511,2053
1512,2049
1513,2050
1514,2051
1515,2052
1516,2050
1517,2048
1518,2048
1519,2050
1520,2050
1521,2049
1522,2049
1523,2049
1524,2048
1525,2048
1526,2051
1527,2053
1528,2052
1529,2049
1530,2049
1531,2051
1532,2051
1533,2050
1534,2049
1535,2048
1536,2050
1537,2050
1538,2049
1539,2049
1540,2050
1541,2049
1542,2048
1543,2050
1544,2050
1545,2049
1546,2048
1547,2049
1548,2050
1549,2050
1550,2050
1551,2049
1552,2048
1553,2049
1554,2049
1555,2050
1556,2051
1557,2052
1558,2050
1559,2048
1560,2049
1561,2051
1562,2052
1563,2052
1564,2051
1565,2049
1566,2048
1567,2050
1568,2051
1569,2050
1570,2049
1571,2048
1572,2049
1573,2051
1574,2051
1575,2050
1576,2049
1577,2051
1578,2052
1579,2051
1580,2049
1581,2049
1582,2050
1583,2050
1584,2051
1585,2050
1586,2049
1587,2048
1588,2048
1589,2049
1590,2050
1591,2050
1592,2049
1593,2049
1594,2048
1595,2048
1596,2052
1597,2055
1598,2056
1599,2054
1600,2049
1601,2048
1602,2050
1603,2051
1604,2051
1605,2050
1606,2049
1607,2049
1608,2049
1609,2048
1610,2051
1611,2053
1612,2052
1613,2050
1614,2049
1615,2051
1616,2051
1617,2051
1618,2050
1619,2049
1620,2049
1621,2051
1622,2051
1623,2051
1624,2050
1625,2049
1626,2051
1627,2052
1628,2052
1629,2050
1630,2049
1631,2048
1632,2049
1633,2049
1634,2049
1635,2049
1636,2049
1637,2049
1638,2050
1639,2049
1640,2048
1641,2050
1642,2050
1643,2049
1644,2049
1645,2051
1646,2051
1647,2051
1648,2049
1649,2051
1650,2052
1651,2052
1652,2051
1653,2049
1654,2048
1655,2049
1656,2050
1657,2050
1658,2050
1659,2048
1660,2048
1661,2048
1662,2048
1663,2048
1664,2049
1665,2049
1666,2050
1667,2049
1668,2049
1669,2050
1670,2050
1671,2049
1672,2048
1673,2051
1674,2053
1675,2051
1676,2049
1677,2048
1678,2050
1679,2051
1680,2051
1681,2052
1682,2051
1683,2049
1684,2049
1685,2052
1686,2051
1687,2049
1688,2048
1689,2049
1690,2049
1691,2049
1692,2049
1693,2049
1694,2049
1695,2049
1696,2048
1697,2050
1698,2050
1699,2050
1700,2049
1701,2048
1702,2049
1703,2048
1704,2049
1705,2049
1706,2049
1707,2049
1708,2049
1709,2049
1710,2049
1711,2049
1712,2049
1713,2048
1714,2049
1715,2049
1716,2049
1717,2048
1718,2048
1719,2049
1720,2049
1721,2049
1722,2048
1723,2048
1724,2050
1725,2052
1726,2052
1727,2051
1728,2049
1729,2049
1730,2050
1731,2050
1732,2050
1733,2049
1734,2048
1735,2049
1736,2050
1737,2049
1738,2049
1739,2049
1740,2048
1741,2048
1742,2049
1743,2051
1744,2052
1745,2051
1746,2050
1747,2049
1748,2050
1749,2050
1750,2050
1751,2051
1752,2051
1753,2050
1754,2049
1755,2051
1756,2055
1757,2056
1758,2054
1759,2051
1760,2048
1761,2049
1762,2049
1763,2049
1764,2051
1765,2052
1766,2052
1767,2050
1768,2048
1769,2048
1770,2048
1771,2048
1772,2049
1773,2051
1774,2052
1775,2052
1776,2049
1777,2049
1778,2050
1779,2052
1780,2053
1781,2052
1782,2051
1783,2049
1784,2049
1785,2052
1786,2053
1787,2052
1788,2050
1789,2048
1790,2049
1791,2050
1792,2049
1793,2049
1794,2048
1795,2048
1796,2049
1797,2049
1798,2049
1799,2048
1800,2050
1801,2051
1802,2051
1803,2050
1804,2049
1805,2048
1806,2049
1807,2050
1808,2050
1809,2050
1810,2049
1811,2049
1812,2050
1813,2050
1814,2050
1815,2048
1816,2048
1817,2051
1818,2053
1819,2052
1820,2051
1821,2049
1822,2048
1823,2051
1824,2054
1825,2054
1826,2052
1827,2050
1828,2052
1829,2052
1830,2050
1831,2048
1832,2051
1833,2052
1834,2051
1835,2049
1836,2048
1837,2050
1838,2050
1839,2050
1840,2050
1841,2050
1842,2049
1843,2048
1844,2049
1845,2048
1846,2050
1847,2052
1848,2052
1849,2052
1850,2050
1851,2048
1852,2049
1853,2050
1854,2051
1855,2051
1856,2050
1857,2050
1858,2049
1859,2048
1860,2049
1861,2050
1862,2050
1863,2050
1864,2050
1865,2049
1866,2048
1867,2049
1868,2050
1869,2050
1870,2049
1871,2049
1872,2049
1873,2050
1874,2049
1875,2049
1876,2050
1877,2051
1878,2051
1879,2050
1880,2049
1881,2049
1882,2050
1883,2052
1884,2053
1885,2052
1886,2051
1887,2048
1888,2049
1889,2051
1890,2053
1891,2052
1892,2050
1893,2048
1894,2049
1895,2049
1896,2050
1897,2050
1898,2050
1899,2049
1900,2048
1901,2050
1902,2051
1903,2052
1904,2050
1905,2050
1906,2049
1907,2050
1908,2051
1909,2052
1910,2050
1911,2049
1912,2050
1913,2051
1914,2049
1915,2048
1916,2050
1917,2050
1918,2049
1919,2050
1920,2051
1921,2050
1922,2049
1923,2049
1924,2050
1925,2049
1926,2049
1927,2048
1928,2048
1929,2048
1930,2048
1931,2048
1932,2048
1933,2049
1934,2048
1935,2048
1936,2049
1937,2049
1938,2049
1939,2049
1940,2048
1941,2048
1942,2050
1943,2050
1944,2050
1945,2048
1946,2049
1947,2050
1948,2051
1949,2050
1950,2048
1951,2049
1952,2051
1953,2051
1954,2049
1955,2048
1956,2050
1957,2049
1958,2050
1959,2052
1960,2053
1961,2052
1962,2050
1963,2050
1964,2052
1965,2054
1966,2054
1967,2052
1968,2050
1969,2049
1970,2051
1971,2053
1972,2052
1973,2051
1974,2048
1975,2049
1976,2049
1977,2048
1978,2051
1979,2052
1980,2051
1981,2049
1982,2050
1983,2052
1984,2053
1985,2052
1986,2049
1987,2048
1988,2050
1989,2051
1990,2051
1991,2051
1992,2049
1993,2048
1994,2049
1995,2048
1996,2050
1997,2052
1998,2052
1999,2050
2000,2049
2001,2050
2002,2050
2003,2049
2004,2048
2005,2048
2006,2049
2007,2049
2008,2049
2009,2052
2010,2054
2011,2054
2012,2052
2013,2049
2014,2054
2015,2056
2016,2055
2017,2050
2018,2050
2019,2053
2020,2054
2021,2053
2022,2049
2023,2049
2024,2050
2025,2050
2026,2049
2027,2048
2028,2049
2029,2050
2030,2050
2031,2049
2032,2049
2033,2048
2034,2048
2035,2049
2036,2051
2037,2050
2038,2049
2039,2048
2040,2048
2041,2048
2042,2048
2043,2048
2044,2049
2045,2049
2046,2049
2047,2049
2048,2049
2049,2049
2050,2048
2051,2049
2052,2050
2053,2050
2054,2048
2055,2049
2056,2049
2057,2050
2058,2050
2059,2050
2060,2049
2061,2050
2062,2051
2063,2051
2064,2050
2065,2049
2066,2049
2067,2049
2068,2048
2069,2050
2070,2051
2071,2051
2072,2049
2073,2048
2074,2050
2075,2050
2076,2050
2077,2049
2078,2048
2079,2049
2080,2048
2081,2048
2082,2050
2083,2051
2084,2050
2085,2049
2086,2049
2087,2049
2088,2049
2089,2048
2090,2050
2091,2051
2092,2051
2093,2049
2094,2049
2095,2051
2096,2052
2097,2051
2098,2049
2099,2050
2100,2049
2101,2050
2102,2051
2103,2051
2104,2050
2105,2050
2106,2051
2107,2051
2108,2050
2109,2049
2110,2049
2111,2049
2112,2049
2113,2050
2114,2051
2115,2050
2116,2048
2117,2049
2118,2050
2119,2051
2120,2051
2121,2051
2122,2050
2123,2048
2124,2050
2125,2051
2126,2051
2127,2049
2128,2049
2129,2050
2130,2049
2131,2049
2132,2050
2133,2051
2134,2051
2135,2051
2136,2049
2137,2048
2138,2049
2139,2049
2140,2050
2141,2051
2142,2051
2143,2048
2144,2048
2145,2051
2146,2051
2147,2049
2148,2051
2149,2055
2150,2057
2151,2056
2152,2052
2153,2051
2154,2055
2155,2055
2156,2053
2157,2049
2158,2048
2159,2050
2160,2050
2161,2050
2162,2049
2163,2052
2164,2053
2165,2052
2166,2050
2167,2055
2168,2057
2169,2056
2170,2053
2171,2049
2172,2048
2173,2050
2174,2051
2175,2051
2176,2049
2177,2050
2178,2051
2179,2051
2180,2050
2181,2048
2182,2048
2183,2050
2184,2051
2185,2052
2186,2050
2187,2050
2188,2053
2189,2053
2190,2051
2191,2049
2192,2050
2193,2052
2194,2052
2195,2051
2196,2050
2197,2049
2198,2050
2199,2051
2200,2049
2201,2048
2202,2049
2203,2050
2204,2051
2205,2051
2206,2049
2207,2052
2208,2052
2209,2051
2210,2050
2211,2049
2212,2049
2213,2050
2214,2050
2215,2049
2216,2051
2217,2052
2218,2051
2219,2050
2220,2049
2221,2048
2222,2049
2223,2048
2224,2048
2225,2050
2226,2050
2227,2049
2228,2048
2229,2051
2230,2053
2231,2052
2232,2049
2233,2050
2234,2051
2235,2052
2236,2051
2237,2050
2238,2049
2239,2051
2240,2051
2241,2050
2242,2049
2243,2050
2244,2051
2245,2050
2246,2048
2247,2050
2248,2053
2249,2053
2250,2052
2251,2050
2252,2050
2253,2052
2254,2053
2255,2052
2256,2050
2257,2050
2258,2053
2259,2054
2260,2053
2261,2050
2262,2048
2263,2050
2264,2052
2265,2052
2266,2050
2267,2049
2268,2051
2269,2052
2270,2050
2271,2054
2272,2058
2273,2057
2274,2053
2275,2049
2276,2053
2277,2054
2278,2054
2279,2053
2280,2051
2281,2048
2282,2048
2283,2052
2284,2054
2285,2054
2286,2052
2287,2049
2288,2049
2289,2051
2290,2053
2291,2052
2292,2050
2293,2048
2294,2051
2295,2052
2296,2051
2297,2049
2298,2048
2299,2048
2300,2048
2301,2049
2302,2050
2303,2050
2304,2049
2305,2048
2306,2050
2307,2052
2308,2053
2309,2051
2310,2049
2311,2051
2312,2050
2313,2049
2314,2049
2315,2050
2316,2051
2317,2050
2318,2048
2319,2049
2320,2051
2321,2052
2322,2051
2323,2051
2324,2049
2325,2049
2326,2051
2327,2051
2328,2051
2329,2049
2330,2049
2331,2051
2332,2052
2333,2052
2334,2050
2335,2048
2336,2048
2337,2050
2338,2050
2339,2050
2340,2048
2341,2049
2342,2050
2343,2050
2344,2050
2345,2050
2346,2049
2347,2052
2348,2055
2349,2055
2350,2052
2351,2050
2352,2052
2353,2051
2354,2049
2355,2048
2356,2050
2357,2049
2358,2050
2359,2052
2360,2052
2361,2050
2362,2052
2363,2055
2364,2055
2365,2052
2366,2048
2367,2051
2368,2053
2369,2052
2370,2050
2371,2049
2372,2051
2373,2051
2374,2050
2375,2048
2376,2049
