Order,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,32
13,0
14,0
15,0
16,32
17,32
18,48
19,48
20,16
21,16
22,16
23,16
24,0
25,32
26,32
27,32
28,48
29,16
30,48
31,10
32,3073
33,384
34,48
35,12
36,4
37,5
38,4
39,1
40,2049
41,2052
42,2053
43,2052
44,2050
45,2048
46,2
47,3
48,3
49,2
50,1
51,0
52,2049
53,2050
54,2050
55,2050
56,0
57,1
58,1
59,2049
60,2050
61,2050
62,2048
63,2
64,4
65,4
66,2
67,2048
68,2051
69,2052
70,2051
71,2048
72,2
73,2
74,1
75,2048
76,2050
77,2050
78,2049
79,1
80,2
81,2
82,0
83,2050
84,2051
85,2051
86,2050
87,1
88,3
89,4
90,4
91,2
92,0
93,2050
94,2052
95,2052
96,2051
97,2049
98,1
99,3
100,3
101,2
102,0
103,2050
104,2051
105,2051
106,2049
107,1
108,2
109,3
110,2
111,0
112,2050
113,2051
114,2050
115,2049
116,2
117,3
118,3
119,1
120,2049
121,2050
122,2050
123,2049
124,1
125,1
126,1
127,2049
128,2049
129,2049
130,2049
131,0
132,1
133,1
134,2048
135,2049
136,2050
137,2050
138,2049
139,2
140,5
141,5
142,3
143,2049
144,2052
145,2054
146,2053
147,2051
148,1
149,4
150,5
151,6
152,4
153,1
154,2050
155,2052
156,2052
157,2051
158,2049
159,1
160,1
161,2
162,2
163,2
164,2
165,1
166,2049
167,2050
168,2050
169,2050
170,2050
171,0
172,2
173,2
174,0
175,2050
176,2052
177,2051
178,2049
179,2
180,5
181,5
182,4
183,1
184,2049
185,2051
186,2052
187,2052
188,2051
189,2050
190,1
191,3
192,4
193,4
194,3
195,1
196,2049
197,2050
198,2051
199,2051
200,2050
201,0
202,2
203,2
204,2
205,1
206,2048
207,2049
208,2050
209,2051
210,2050
211,2049
212,1
213,3
214,4
215,3
216,2
217,2049
218,2051
219,2051
220,2051
221,2050
222,2049
223,1
224,2
225,4
226,3
227,2
228,1
229,2048
230,2050
231,2052
232,2052
233,2052
234,2050
235,1
236,3
237,4
238,3
239,1
240,2048
241,2049
242,2049
243,2049
244,2048
245,2048
246,2049
247,2050
248,2051
249,2050
250,0
251,2
252,4
