Timestamp,Value
0,0
5,0
7,0
9,0
16,0
23,0
29,0
37,0
38,0
39,0
46,0
53,32
57,0
62,0
71,0
72,32
76,32
84,48
88,48
96,16
105,16
109,16
114,16
122,0
127,32
134,32
135,32
138,48
141,16
146,48
150,10
157,3073
166,384
175,48
180,12
189,4
190,5
198,4
202,1
208,2049
209,2052
213,2053
217,2052
224,2050
232,2048
233,2
235,3
239,3
241,2
246,1
250,0
258,2049
267,2050
275,2050
278,2050
280,0
288,1
296,1
303,2049
309,2050
314,2050
318,2048
324,2
331,4
332,4
336,2
344,2048
346,2051
351,2052
353,2051
359,2048
362,2
367,2
372,1
375,2048
380,2050
387,2050
393,2049
402,1
403,2
405,2
406,0
415,2050
422,2051
427,2051
430,2050
434,1
435,3
443,4
450,4
459,2
467,0
471,2050
479,2052
487,2052
488,2051
494,2049
497,1
502,3
510,3
