Order,Timestamp
1,510
2,502
3,497
4,467
5,459
6,450
7,443
8,435
9,434
10,406
11,405
12,403
13,402
14,372
15,367
16,362
17,336
18,332
19,331
20,324
21,296
22,288
23,280
24,250
25,246
26,241
27,239
28,235
29,233
30,202
31,198
32,190
33,189
34,180
35,175
36,150
37,146
38,141
39,138
40,135
41,134
42,127
43,122
44,114
45,109
46,105
47,96
48,88
49,84
50,76
51,72
52,71
53,62
54,57
55,53
56,46
57,39
58,38
59,37
60,29
61,23
62,16
63,9
64,7
65,5
66,0
67,166
68,494
69,488
70,487
71,479
72,471
73,430
74,427
75,422
76,415
77,393
78,387
79,380
80,375
81,359
82,353
83,351
84,346
85,344
86,318
87,314
88,309
89,303
90,278
91,275
92,267
93,258
94,232
95,224
96,217
97,213
98,209
99,208
100,157
