Order,Timestamp
1,510
2,502
3,497
4,467
5,459
6,450
7,443
8,435
9,434
10,406
11,405
12,403
13,402
14,372
15,367
16,362
17,336
18,332
19,331
20,324
21,296
22,288
23,280
24,250
25,246
26,241
27,239
28,235
29,233
30,202
31,198
32,190
33,189
34,180
35,175
36,166
37,150
38,146
39,141
40,138
41,135
42,134
43,127
44,122
45,114
46,109
47,105
48,96
49,88
50,84
51,76
52,72
53,71
54,62
55,57
56,53
57,46
58,39
59,38
60,37
61,29
62,23
63,16
64,9
65,7
66,5
67,0
68,494
69,488
70,487
71,479
72,471
73,430
74,427
75,422
76,415
77,393
78,387
79,380
80,375
81,359
82,353
83,351
84,346
85,344
86,318
87,314
88,309
89,303
90,278
91,275
92,267
93,258
94,232
95,224
96,217
97,213
98,209
99,208
100,157
