Order,Value
1,3
2,3
3,1
4,0
5,2
6,4
7,4
8,3
9,1
10,0
11,2
12,2
13,1
14,1
15,2
16,2
17,2
18,4
19,4
20,2
21,1
22,1
23,0
24,0
25,1
26,2
27,3
28,3
29,2
30,1
31,4
32,5
33,4
34,12
35,48
36,384
37,10
38,48
39,16
40,48
41,32
42,32
43,32
44,0
45,16
46,16
47,16
48,16
49,48
50,48
51,32
52,32
53,0
54,0
55,0
56,32
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,2049
69,2051
70,2052
71,2052
72,2050
73,2050
74,2051
75,2051
76,2050
77,2049
78,2050
79,2050
80,2048
81,2048
82,2051
83,2052
84,2051
85,2048
86,2048
87,2050
88,2050
89,2049
90,2050
91,2050
92,2050
93,2049
94,2048
95,2050
96,2052
97,2053
98,2052
99,2049
100,3073
