Order,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,3
38,3
39,3
40,3
41,3
42,4
43,4
44,4
45,4
46,4
47,4
48,5
49,10
50,12
51,16
52,16
53,16
54,16
55,16
56,32
57,32
58,32
59,32
60,32
61,32
62,48
63,48
64,48
65,48
66,48
67,384
68,2048
69,2048
70,2048
71,2048
72,2048
73,2049
74,2049
75,2049
76,2049
77,2049
78,2050
79,2050
80,2050
81,2050
82,2050
83,2050
84,2050
85,2050
86,2050
87,2050
88,2050
89,2051
90,2051
91,2051
92,2051
93,2051
94,2052
95,2052
96,2052
97,2052
98,2052
99,2053
100,3073
